Drexel ID,Last Name,First Name,Middle Name,Date of Birth,Chosen Name,Personal Pronouns,Email,Department,Gender,Marital Status,Ethnicity,Race,Living Address,Mailing Address,Phone Number,Role
mkf828,Freeman,Mariano,Kendall,9/15/1952,Mariano,He/Him/His,mkf828@drexel.edu,,M,Single,Non Hispanic,Asian,3819 Vineyard Avenue,3819 Vineyard Avenue,492-522-9921,Human Resources
cht48,Tasson,Charlotte,Helen,5/28/1978,Charlotte,She/Her/Hers,cht48@drexel.edu,,F,Seperated,Hispanic or Latino,African American/Black,19416 Barclay Road,19416 Barclay Road,302-235-1237,Technician
ljt73,Turner,Lillian,Josephine,3/15/1963,Lillian,She/Her/Hers,ljt73@drexel.edu,,F,Widow,Non Hispanic,Native,33655 5th Street,33655 5th Street,790-948-2851,Human Resources
vgf23,Farrell,Valentin,Gregory,3/4/1955,Valentin,He/Him/His,vgf23@drexel.edu,,M,Widow,Non Hispanic,Asian,1352 Purdue Street,8934 Arrowrock Trail,529-243-1064,Learning Specialist
mjp90,Portsche,Marie,Jane,6/15/1964,Marie,She/Her/Hers,mjp90@drexel.edu,,F,Divorced,Non Hispanic,African American/Black,3483 Canyon Creek Drive,3483 Canyon Creek Drive,332-414-9118,Science Librarian
rtv708,Verhaag,Richard,Tracy,6/22/1956,Richard,He/Him/His,rtv708@drexel.edu,,M,Married,Hispanic or Latino,Asian,30451 Servilla Place,30451 Servilla Place,619-216-7242,Accountant
dlh97,Hudson,Deborah,Luz,4/23/1980,Deborah,She/Her/Hers,dlh97@drexel.edu,,F,Widow,Non Hispanic,Native,680 Quintana Road,680 Quintana Road,211-112-1265,Deputy Director
kds989,Saad,Kelly,Dorothy,12/3/1953,Kelly,She/Her/Hers,kds989@drexel.edu,,F,Widow,Non Hispanic,Other,2835 Jed Road,2835 Jed Road,984-145-8210,Talent Acquistion Consultant
ams43,Suter,Anthony,Michael,7/22/1955,Anthony,He/Him/His,ams43@drexel.edu,,M,Seperated,Hispanic or Latino,African American/Black,18789 Crane Avenue,18789 Crane Avenue,616-968-1950,Deputy Director
jcr84,Rivera,Jason,Charles,9/26/1987,Jason,He/Him/His,jcr84@drexel.edu,,M,Divorced,Non Hispanic,Asian,2640 8th Avenue,2640 8th Avenue,499-822-9815,Accountant
mwr84,Rutledge,Maurice,Willie,10/15/1989,Maurice,He/Him/His,mwr84@drexel.edu,,M,Single,Non Hispanic,White,152 Teddy Drive,152 Teddy Drive,573-928-3052,Drexel Central Coordinator
vts60,Sutton,Verna,Tamika,5/25/1987,Verna,She/Her/Hers,vts60@drexel.edu,,F,Married,Non Hispanic,Native,1732 27th Avenue,1732 27th Avenue,661-208-2142,Learning Specialist
tml29,Leach,Timothy,Michael,11/5/1985,Timothy,He/Him/His,tml29@drexel.edu,,M,Divorced,Hispanic or Latino,Other,1870 A Street,7800 River Mist Avenue,801-288-7365,Science Librarian
rmp454,Pennington,Ricky,Michael,11/27/1994,Ricky,He/Him/His,rmp454@drexel.edu,,M,Divorced,Non Hispanic,Other,16502 South Main Street,16502 South Main Street,447-323-4312,Executive Director
ddl88,Levesque,Della,David,3/26/1954,Della,She/Her/Hers,ddl88@drexel.edu,,F,Divorced,Non Hispanic,White,15267 Hesperian Boulevard,15267 Hesperian Boulevard,345-401-5965,Assistant Professor
bmw66,White,Brittany,Mary,7/27/1951,Brittany,She/Her/Hers,bmw66@drexel.edu,,F,Widow,Non Hispanic,White,2335 Orchard View Lane,2335 Orchard View Lane,316-663-8151,Research Coordinator
ctd89,Demora,Cindy,Tara,6/28/1957,Cindy,She/Her/Hers,ctd89@drexel.edu,,F,Married,Non Hispanic,Native,2755 Country Drive,2755 Country Drive,953-998-9199,Systems Analyst
fns867,Speedy,Fred,Norman,6/10/1988,Fred,He/Him/His,fns867@drexel.edu,,M,Seperated,Non Hispanic,Other,1870 A Street,1870 A Street,542-591-8639,Financial Aid Officer
kic72,Cromwell,Katie,Irene,7/25/1980,Katie,She/Her/Hers,kic72@drexel.edu,,F,Married,Non Hispanic,African American/Black,4500 Margalo Avenue,4500 Margalo Avenue,889-338-9357,Psychologist
edg56,Greenhalge,Eric,David,9/3/1954,Eric,He/Him/His,edg56@drexel.edu,,M,Seperated,Hispanic or Latino,White,28250 Dickens Avenue,28250 Dickens Avenue,258-778-2469,Public Safety Officer
jsw90,Wynn,Jessica,Shawn,2/4/1972,Jessica,She/Her/Hers,jsw90@drexel.edu,,F,Divorced,Non Hispanic,African American/Black,4540 Phyllis Court,4540 Phyllis Court,281-877-6641,Accountant
amp38,Parra,Annie,Maria,10/7/1966,Annie,She/Her/Hers,amp38@drexel.edu,,F,Widow,Hispanic or Latino,White,942 Lewis Road,942 Lewis Road,911-643-7850,Talent Acquistion Consultant
egf765,Fletcher,Ella,Glenda,12/20/1980,Ella,She/Her/Hers,egf765@drexel.edu,,F,Seperated,Hispanic or Latino,White,31 Yosemite Avenue,16502 South Main Street,310-827-7425,Accountant
mrm51,Mcneill,Mary,Roxanne,3/5/1992,Mary,She/Her/Hers,mrm51@drexel.edu,,F,Seperated,Hispanic or Latino,Other,33655 5th Street,33655 5th Street,709-963-8661,Public Safety Officer
jjh111,Hobbs,Julia,Janette,12/1/1992,Julia,She/Her/Hers,jjh111@drexel.edu,,F,Divorced,Non Hispanic,African American/Black,1108 Slater Street,38252 Farwell Drive,510-314-7937,Academic Advisor
cct46,Turner,Christopher,Calvin,11/2/1992,Christopher,He/Him/His,cct46@drexel.edu,,M,Single,Non Hispanic,Other,22538 6th Street,22538 6th Street,321-885-7252,Financial Aid Officer
jdp66,Perrin,John,David,10/12/1994,John,He/Him/His,jdp66@drexel.edu,,M,Married,Non Hispanic,African American/Black,73455 Twentynine Palms Highway,1040 University Avenue,318-725-9478,Technician
sec92,Cotter,Stanley,Edward,5/12/1988,Stanley,He/Him/His,sec92@drexel.edu,,M,Divorced,Non Hispanic,Asian,649 Praderia Circle,649 Praderia Circle,743-108-6053,Talent Acquistion Consultant
lrr43,Roach,Louis,Russell,1/7/1992,Louis,He/Him/His,lrr43@drexel.edu,,M,Single,Hispanic or Latino,Other,2708 Mabel Street,3578 Galindo Street,818-166-4265,Systems Analyst
sjm55,Meeks,Sarah,Jackie,11/16/1958,Sarah,She/Her/Hers,sjm55@drexel.edu,,F,Single,Hispanic or Latino,White,2400 Easy Street,2400 Easy Street,380-354-6889,Talent Acquistion Consultant
cer492,Ross,Clyde,Elliott,4/1/1984,Clyde,He/Him/His,cer492@drexel.edu,,M,Single,Non Hispanic,Asian,90 Via Verde,450 C Street,933-213-6800,Administrative Coordinator
gms16,Sohre,Gloria,Marla,4/1/1971,Gloria,She/Her/Hers,gms16@drexel.edu,,F,Divorced,Hispanic or Latino,African American/Black,4253 San Juan Avenue,1234 Carmel Street,891-958-2707,Software Engineer
abp90,Prout,Andrew,Bob,5/22/1976,Elizabeth,He/Him/His,abp90@drexel.edu,,F,Divorced,Non Hispanic,Native,2750 Gilmore Lane,2750 Gilmore Lane,715-434-1848,Research Coordinator
ctw731,Williams,Corey,Thomas,8/23/1993,Corey,He/Him/His,ctw731@drexel.edu,,M,Divorced,Non Hispanic,Other,441 Merritt Avenue,3415 Brookdale Drive,812-674-8163,Human Resources
hjt85,Townsend,Heather,Janet,5/18/1974,Heather,She/Her/Hers,hjt85@drexel.edu,,F,Widow,Hispanic or Latino,Other,1 Kelton Court,1 Kelton Court,814-732-4343,Psychologist
msh77,Hayes,Melissa,Sarah,2/2/1987,Melissa,She/Her/Hers,msh77@drexel.edu,,F,Widow,Non Hispanic,Native,2313 Vegas Avenue,9300 C Street,360-152-2599,Administrative Coordinator
vcf60,Fogg,Verna,Carrie,4/9/1974,Verna,She/Her/Hers,vcf60@drexel.edu,,F,Married,Non Hispanic,White,1732 27th Avenue,5410 McLean Drive,809-571-7769,Reference Librarian
itt39,Tillery,Ian,Todd,8/20/1981,Ian,He/Him/His,itt39@drexel.edu,,M,Widow,Non Hispanic,Native,9300 C Street,9300 C Street,577-132-5947,Human Resources
jpv51,Vasquez,Judy,Patty,11/20/1992,Judy,She/Her/Hers,jpv51@drexel.edu,,F,Divorced,Non Hispanic,Native,3377 Sandstone Court,3377 Sandstone Court,533-702-2411,Software Engineer
jwm783,Malone,Joshua,Willie,7/11/1978,Joshua,He/Him/His,jwm783@drexel.edu,,M,Married,Non Hispanic,White,654 Laurette Place,654 Laurette Place,896-591-2313,Administrative Coordinator
sdw11,Witt,Sharon,Denise,2/2/1962,Sharon,She/Her/Hers,sdw11@drexel.edu,,F,Single,Non Hispanic,Native,55620 Jolon Road,22538 6th Street,560-362-3241,Designer
jls46,Shaw,Janet,Loretta,4/27/1988,Janet,She/Her/Hers,jls46@drexel.edu,,F,Widow,Hispanic or Latino,Asian,30451 Servilla Place,30451 Servilla Place,781-990-1954,Janitor
swy31,Young,Scott,William,1/22/1983,Scott,He/Him/His,swy31@drexel.edu,,M,Divorced,Non Hispanic,White,14347 Corvallis Street,14347 Corvallis Street,867-688-1165,Talent Acquistion Consultant
mds466,Smith,Michael,Daniel,10/19/1953,Michael,He/Him/His,mds466@drexel.edu,,M,Married,Non Hispanic,Native,20375 Wisteria Street,20375 Wisteria Street,748-145-6091,Drexel Central Coordinator
rjo84,Olson,Richard,Jerry,10/25/1956,Richard,He/Him/His,rjo84@drexel.edu,,M,Seperated,Non Hispanic,African American/Black,31250 Courthouse Drive,31250 Courthouse Drive,708-550-2589,Assistant Professor
mkc68,Charpentier,Melissa,Kimberly,11/25/1957,Melissa,She/Her/Hers,mkc68@drexel.edu,,F,Seperated,Non Hispanic,Native,158 Euclid Avenue,6057 Griffith Avenue,745-713-1785,Technician
rct39,Thomson,Rolando,Christopher,3/4/1963,Rolando,He/Him/His,rct39@drexel.edu,,M,Divorced,Hispanic or Latino,Other,22572 Toreador Drive,22572 Toreador Drive,455-206-9666,Technician
ktr86,Roberts,Kurt,Terence,1/18/1972,Kurt,He/Him/His,ktr86@drexel.edu,,M,Widow,Hispanic or Latino,African American/Black,35805 Alcazar Court,35805 Alcazar Court,354-657-3709,Receptionist/Scheduler
caj295,Jenkins,Carol,Allison,4/12/1952,Carol,She/Her/Hers,caj295@drexel.edu,,F,Single,Non Hispanic,Native,2641 Heather Lane,32512 Christine Drive,279-538-9191,Administrative Coordinator
plw50,Washington,Phyllis,Lillian,12/20/1984,Phyllis,She/Her/Hers,plw50@drexel.edu,,F,Widow,Non Hispanic,Native,210 Beachcomber Drive,210 Beachcomber Drive,721-752-5220,Assistant Professor
gjm354,Mcclendon,Giovanni,James,5/8/1980,Giovanni,He/Him/His,gjm354@drexel.edu,,M,Widow,Hispanic or Latino,Asian,38676 Greenwich Circle,38676 Greenwich Circle,959-134-1485,Designer
atk62,Kelley,Anne,Theresa,11/15/1965,Anne,She/Her/Hers,atk62@drexel.edu,,F,Single,Non Hispanic,Native,201 Juniper Springs Drive,201 Juniper Springs Drive,606-304-5950,Talent Acquistion Consultant
pcd81,Daughtry,Patricia,Connie,5/2/1974,Patricia,She/Her/Hers,pcd81@drexel.edu,,F,Seperated,Non Hispanic,Asian,1679 Frederick Michael Way,1679 Frederick Michael Way,748-496-9920,Designer
mhr96,Richard,May,Heather,9/3/1976,May,She/Her/Hers,mhr96@drexel.edu,,F,Married,Non Hispanic,African American/Black,1753 Carswell Court,1643 Oxford Street,851-601-1302,Reference Librarian
jrp26,Pekarek,James,Robert,11/5/1990,James,He/Him/His,jrp26@drexel.edu,,M,Widow,Non Hispanic,Asian,2 Sotelo Avenue,2 Sotelo Avenue,751-289-1951,Talent Acquistion Consultant
amc66,Coleman,Andrew,Malcolm,12/16/1956,Andrew,He/Him/His,amc66@drexel.edu,,M,Seperated,Non Hispanic,African American/Black,40700 Penn Lane,22207 Quinterno Court,397-122-7309,Software Engineer
csa62,Allen,Cindy,Samantha,3/13/1982,Cindy,She/Her/Hers,csa62@drexel.edu,,F,Married,Hispanic or Latino,White,5264 Shafter Avenue,5264 Shafter Avenue,914-144-8763,Psychologist
css29,Sutton,Carolyn,Sarah,11/2/1993,Carolyn,She/Her/Hers,css29@drexel.edu,,F,Married,Hispanic or Latino,Asian,37675 Fremont Boulevard,37675 Fremont Boulevard,887-978-5480,Reference Librarian
atv96,Vetter,Adam,Thomas,7/22/1961,Adam,He/Him/His,atv96@drexel.edu,,M,Seperated,Hispanic or Latino,Native,1820 Scenic Avenue,1820 Scenic Avenue,449-613-9160,Assistant Professor
nao189,Orlando,Natasha,Angela,12/7/1977,Natasha,She/Her/Hers,nao189@drexel.edu,,F,Married,Non Hispanic,Asian,22709 Canyon Terrace Drive,22709 Canyon Terrace Drive,392-575-7593,Drexel Central Coordinator
jjs24,Suggs,Joshua,Jerry,12/23/1959,Joshua,He/Him/His,jjs24@drexel.edu,,M,Divorced,Non Hispanic,Asian,37608 2nd Street,37608 2nd Street,281-936-1643,Designer
vjm581,Mccalmont,Victoria,Joanna,9/28/1978,Victoria,She/Her/Hers,vjm581@drexel.edu,,F,Divorced,Non Hispanic,African American/Black,4876 Norris Road,4876 Norris Road,226-802-4886,Psychologist
cjw10,Wick,Charles,Jerry,8/2/1964,Charles,He/Him/His,cjw10@drexel.edu,,M,Seperated,Hispanic or Latino,Native,1890 Orchard View Road,1890 Orchard View Road,212-438-5785,Accountant
dwk876,Keen,Dale,Walter,12/21/1985,Dale,He/Him/His,dwk876@drexel.edu,,M,Seperated,Non Hispanic,White,6148 Avon Avenue,6148 Avon Avenue,848-743-3476,Technician
