Drexel ID,First Name,Middle Name,Last Name,Date of Birth,Email,Chosen Name,Gender,Expected Graduation Year,Student Program Type,Phone,Home Address
vjf297,Vernon,John,Fortin,12/22/2002,vjf297@drexel.edu,Vernon,M,2026,Graduate,320-337-8529,2400 Easy Street
dtb58,Daniel,Timothy,Bellocchio,11/21/2000,dtb58@drexel.edu,Daniel,M,2026,Graduate,777-631-6376,3827 West Chapman Avenue
jim98,James,Irving,Mccormick,11/21/2004,jim98@drexel.edu,April,F,2026,Undergraduate,260-801-7023,203 N. 34th Street
bec40,Beth,Elizabeth,Cousins,10/20/2004,bec40@drexel.edu,Beth,F,2025,Undergraduate,547-944-5038,3578 Galindo Street
kah29,Kimberly,Ashley,Heard,11/18/2000,kah29@drexel.edu,Kimberly,F,2024,Graduate,717-401-3628,1194 Cragmont Avenue
gas55,Gerald,Arnulfo,Smith,7/15/2001,gas55@drexel.edu,Gerald,M,2025,Graduate,984-546-1712,3200 Race Street
keb99,Kathleen,Evelyn,Bramble,2/18/2000,keb99@drexel.edu,Kathleen,F,2024,Graduate,500-310-8480,3301 Arch Street
jbc90,Jan,Barbara,Cox,9/2/1999,jbc90@drexel.edu,Jan,F,2023,Graduate,377-706-3332,3400 Lancaster Avenue
deg55,Daniel,Efren,Guglielmi,1/11/1999,deg55@drexel.edu,Daniel,M,2023,Graduate,424-503-1379,11522 Country Spring Court
jks75,Janet,Krista,Shaw,8/25/2000,jks75@drexel.edu,Janet,F,2024,Graduate,522-126-7567,3400 Lancaster Avenue
css65,Crystal,Socorro,Smith,5/27/1999,css65@drexel.edu,Crystal,F,2023,Undergraduate,578-792-3908,5938 Laguna Honda Street
bcf39,Bobby,Chad,Fisher,11/7/2002,bcf39@drexel.edu,Bobby,M,2026,Undergraduate,715-379-9566,72 Salmon Road
rmf84,Renee,Minnie,Folsom,12/6/2002,rmf84@drexel.edu,Renee,F,2026,Graduate,310-904-2196,612 E Street
wsm96,Wanda,Sandra,Mosquera,9/23/2003,wsm96@drexel.edu,Wanda,F,2027,Graduate,298-477-8625,31770 Alvarado Boulevard
dhm34,Darrell,Henry,Mickolick,11/21/2001,dhm34@drexel.edu,Darrell,M,2025,Undergraduate,674-819-5154,3400 Lancaster Avenue
khb91,Kirby,Herman,Bailey,2/21/1999,khb91@drexel.edu,Kirby,M,2023,Undergraduate,929-764-5493,3400 Lancaster Avenue
bns11,Brittany,Natalie,Smeltzer,3/7/2001,bns11@drexel.edu,Brittany,F,2025,Graduate,784-568-1444,3610 Story Road
pdn47,Patsy,Dorothy,Norman,8/8/2000,pdn47@drexel.edu,Patsy,F,2024,Graduate,261-782-8750,3320 Powelton Avenue
llc149,Larry,Larry,Colby,10/8/2003,llc149@drexel.edu,Larry,M,2027,Undergraduate,673-239-4033,725 65th Street
tpb86,Tabitha,Phyllis,Braziel,6/21/1983,tpb86@drexel.edu,Tabitha,F,2024,Graduate,767-929-8814,3320 Powelton Avenue
bdc80,Beulah,Donetta,Clark,5/9/2001,bdc80@drexel.edu,Beulah,F,2025,Graduate,851-772-4128,24147 Clinton Court
edw426,Edward,Dennis,Wells,1/17/2004,edw426@drexel.edu,Edward,M,2025,Graduate,299-175-2111,101 N 34th Street
jcg11,Jimmy,Christopher,Gregson,3/25/2000,jcg11@drexel.edu,Jimmy,M,2024,Undergraduate,322-603-4391,203 N. 34th Street
dra749,Diane,Reva,Auld,9/10/1999,dra749@drexel.edu,Diane,F,2023,Undergraduate,824-440-9493,3301 Arch Street
mps20,Marilyn,Patricia,Salinas,10/26/1999,mps20@drexel.edu,Marilyn,F,2023,Graduate,370-130-7813,1300 Lemos Lane
ssc93,Steven,Stanley,Costa,3/7/2001,ssc93@drexel.edu,Steven,M,2025,Graduate,878-598-7759,7573 National Drive
rwf95,Robin,Wendy,Fellman,1/22/2003,rwf95@drexel.edu,Robin,F,2027,Undergraduate,279-438-8404,3526 Sutton Loop
mdb36,Maria,Dorothy,Barker,1/15/2001,mdb36@drexel.edu,Maria,F,2025,Graduate,534-752-6212,3301 Arch Street
kjg44,Katherine,Jenell,Grant,1/26/2004,kjg44@drexel.edu,Katherine,F,2025,Undergraduate,471-596-8171,1108 Slater Street
arh309,Arnold,Raymond,Huff,5/22/1984,arh309@drexel.edu,Arnold,M,2026,Graduate,569-319-7466,281 MacArthur Boulevard
hac567,Heidi,Alice,Cherry,7/24/1999,hac567@drexel.edu,Heidi,F,2023,Graduate,267-586-2523,8934 Arrowrock Trail
ppp74,Peter,Peter,Price,1/16/2000,ppp74@drexel.edu,Peter,M,2024,Graduate,507-154-2327,36043 Soapberry Commons
kda255,Kyle,Donald,Ahuna,4/24/1999,kda255@drexel.edu,Kyle,M,2027,Graduate,396-151-8031,5805 Armada Drive
rwg615,Richard,William,Gleason,8/23/1999,rwg615@drexel.edu,Richard,M,2023,Graduate,907-802-1720,3320 Powelton Avenue
rms53,Roberta,Mildred,Shade,3/5/2003,rms53@drexel.edu,Roberta,F,2027,Graduate,382-507-9525,2313 Vegas Avenue
alf95,Amelia,Lisa,Franks,11/25/1999,alf95@drexel.edu,Amelia,F,2023,Undergraduate,306-222-1952,11522 Country Spring Court
hes828,Hazel,Elva,Shyne,7/8/1999,hes828@drexel.edu,Hazel,F,2023,Graduate,453-183-6318,2 Sotelo Avenue
cef74,Clyde,Emory,Franklin,6/12/1999,cef74@drexel.edu,Clyde,M,2023,Graduate,665-281-4039,22825 Paseo Place
gmp58,Geneva,Meredith,Pearson,2/16/2003,gmp58@drexel.edu,Geneva,F,2027,Undergraduate,919-851-9497,26334 Adrian Avenue
jef66,Jeffery,Earl,Fontana,5/16/1999,jef66@drexel.edu,Jeffery,M,2023,Undergraduate,874-499-3156,3200 Race Street
sso21,Susan,Susan,Oshea,7/27/2003,sso21@drexel.edu,Susan,F,2027,Undergraduate,905-502-3138,6420 Via Baron
dnl426,Douglas,Nicholas,Lederman,3/28/2000,dnl426@drexel.edu,Douglas,M,2024,Undergraduate,847-904-4361,3400 Lancaster Avenue
vjf39,Virgil,John,Fontes,4/22/2002,vjf39@drexel.edu,Virgil,M,2026,Undergraduate,473-411-7992,203 N. 34th Street
mdw298,Margaret,Deann,Wright,8/28/2002,mdw298@drexel.edu,Margaret,F,2026,Undergraduate,784-642-9430,3200 Chestnut Street
jbb74,Jessica,Betty,Becker,11/22/1999,jbb74@drexel.edu,Jessica,F,2023,Undergraduate,405-765-8320,3400 Lancaster Avenue
jjw81,Jenifer,Judith,Walters,10/21/2000,jjw81@drexel.edu,Jenifer,F,2024,Graduate,576-239-5834,680 Quintana Road
amd543,Anthony,Michael,Davis,1/8/2000,amd543@drexel.edu,Anthony,M,2024,Graduate,967-407-1365,3301 Arch Street
csc31,Carol,Susan,Clinton,6/27/2003,csc31@drexel.edu,Carol,F,2027,Graduate,532-201-6650,101 Mustang Drive
mdb35,Minh,Donald,Butterfield,10/24/2001,mdb35@drexel.edu,Minh,M,2025,Undergraduate,314-213-9267,11150 Sun Valley Drive
lbj30,Lorraine,Bonnie,Johnston,1/15/2002,lbj30@drexel.edu,Lorraine,F,2026,Graduate,260-894-3032,203 N. 34th Street
