Drexel ID,First Name,Middle Name,Last Name,Major,Minor
ekw64,Eric,Kevin,White,Doctor of Philosophy in Couple and Family Therapy,
sjc55,Sam,James,Combs,"Bachelor of Arts in English, Literary Studies Concentration",Minor in Politics
rbs44,Ruth,Bernice,Solomon,Bachelor of Science in Film & Television,Minor in Performing Arts
sch56,Susan,Christine,Harris,Bachelor of Science in User Experience and Interaction Design,
jcs884,Jared,Cory,Seiter,Bachelor of Science in Film & Television,
rng848,Rita,Naomi,Gable,Master of Science in Intensive Medical Sciences,
lsp45,Lucila,Stella,Pullen,Bachelor of Science in Health Services Administration,Minor in War and Society
jef836,Jaime,Emilie,Folk,Bachelor of Arts in Political Science,
dcs46,Doris,Carol,Stcyr,Bachelor of Science in Custom-Designed Major,Minor in Justice Studies
mnw42,Michael,Nicholas,Winston,Bachelor of Science in Engineering Technology in Engineering Technology,Minor in Medical Sociology
dsm494,Diane,Sherrie,Mcbride,Master of Science in Food Science,
aaf41,Amber,Amber,Ferguson,"Bachelor of Science in Learning Sciences, Experience Design, and Technology",
lmm96,Lenore,Melinda,May,Bachelor of Arts in Sociology,
pcj49,Pedro,Cody,Jankowski,Bachelor of Science in User Experience and Interaction Design,
mnh736,Michael,Norman,Harris,Bachelor of Science in Exercise Science,Minor in Fine Arts
dpk58,Donna,Paula,Krings,Bachelor of Science in Business Administration in Operations and Supply Chain Management,Minor in Economics
rrv44,Ruth,Rachael,Vargas,Master of Business Administration in MBA,
cch887,Chrystal,Carol,Hunter,Bachelor of Science in User Experience and Interaction Design,Minor in Theatre
amp20,Alice,Maria,Pelayo,Bachelor of Science in Digital Media and Virtual Production,
fas218,Felicia,April,Smith,Master of Laws in Health Care and Pharmaceutical Compliance (LLM) - Quarter Calendar,Minor in Global Studies
mjb14,Mertie,Judith,Ballard,Bachelor of Arts in History,
ltr75,Linda,Tina,Rowell,Master of Laws in Trial Advocacy and Dispute Resolution,Minor in Computer Science
stj488,Shannon,Tammy,Jackson,Doctor of Physical Therapy in Physical Therapy,
jdb31,James,Domingo,Bowles,Bachelor of Arts in Computer Science in Computer Science,Minor in Esports
mhd198,Melissa,Heather,Davis,Master of Legal Studies in Legal Studies (MLS) - Quarter Calendar,
jsl65,James,Stephen,Lewis,Bachelor of Arts in Global Public Health,Minor in Sports Media Production
akb408,Amanda,Kelly,Bell,Bachelor of Science in Graphic Design,
fpc32,Frances,Pauline,Cain,Bachelor of Science in Geoscience,Minor in History of Capitalism
mlb92,Michele,Laura,Bay,Bachelor of Science in Economics and Public Health,Minor in Psychology
mrw38,Marcus,Robert,Wood,Bachelor of Science in Business Administration in Sport Business,
tag39,Tiffany,Alma,Guthrie,Bachelor of Science in Health Sciences,
tgp548,Thaddeus,George,Pogue,Bachelor of Science in Graphic Design,
cdg76,Colleen,Dorothy,Guerrero,Master of Science in the Internet of Things,Minor in Nutrition
rwn289,Reynaldo,Wayne,Noonan,Bachelor of Science in Biomedical Engineering in Biomedical Engineering,
jfw13,Jeffrey,Fredrick,Wilson,Bachelor of Science in Chemistry,
amh72,Avis,Martha,Haynesworth,Master of Science in Medical Science,
spm68,Simonne,Penny,Morrison,Bachelor of Science in Business Administration in Organizational Management (co-major),
shc878,Shane,Howard,Collier,Bachelor of Science in Public Health,
mcv732,Martha,Constance,Valenzvela,Bachelor of Science in Hospitality Management in Hospitality Management,
rbk77,Ronda,Brenda,Kelsey,Bachelor of Science in Exercise Science,
jns39,Jeff,Norberto,Sutton,Master of Science in Public Policy,
jcf81,Joseph,Chase,Foster,Bachelor of Science in Business and Engineering in Business and Engineering,Minor in Entertainment Engineering
ejb84,Edgardo,Juan,Boyles,Bachelor of Arts in Sociology,
arb53,Alexander,Ralph,Brown,Master of Science in Design Research in Design Research,
fbf674,Frances,Brittany,Flack,Bachelor of Arts in Economics in Economic Analysis,
mls94,Michael,Leonard,Smith,Bachelor of Architecture in Architecture,Minor in Materials Science and Engineering
mdl28,Michael,Dwayne,Lymon,Master of Public Health in Public Health,Minor in Health Services Administration
dah76,Denver,Arthur,Herndon,Bachelor of Science in Film & Television,
def67,Delores,Elisa,Freuden,Bachelor of Science in Digital Media and Virtual Production,Minor in Health Services Administration
bec869,Billy,Eric,Cyr,Bachelor of Science in Business Administration in Marketing,Minor in Software Engineering
sdj70,Susie,Doris,Jordan,Bachelor of Science in Health Sciences,
amc38,April,Myra,Cannon,Bachelor of Science Degree inNursing in Nursing,
ajp27,Alfred,Julius,Proctor,Bachelor of Science in Screenwriting and Playwriting,Minor in DragonsTeach Math Certification Minor
gsd39,Geraldine,Selma,Dellavalle,Bachelor of Science in Data Science in Data Science,
cjr23,Catherine,Julia,Rollinger,Bachelor of Science in Behavioral Health Counseling,Minor in Epidemiology
kcd13,Karl,Carl,Dalke,Bachelor of Science in Art History,
jjw51,Jean,Joyce,Woods,Master of Science in Public Policy,
lnm28,Lindsey,Nancy,Mitchell,Bachelor of Arts in Philosophy,
niw998,Nana,Irma,Wallace,Bachelor of Science in Business and Engineering in Business and Engineering,Minor in Art History
dnr12,Dale,Nathan,Rude,Bachelor of Science in Public Health,Minor in Systems Engineering
rmm702,Raul,Marcelino,Morter,Doctor of Philosophy in Information Science,
mdk776,Marcel,David,Kissane,Bachelor of Science in Business Administration in Legal Studies,
rja726,Ramiro,John,Allen,Bachelor of Science in Information Systems in Information Systems,
swb45,Sharon,Wendy,Bates,Master of Science in Fashion Design,Minor in English
cjl54,Carl,Jeffrey,Ludeker,Master of Health Science in Physician Assistant,
jrm48,Jean,Rebecca,Moore,Bachelor of Science in Screenwriting and Playwriting,
aah12,Alan,Andrew,Hartshorn,Bachelor of Science in Chemical Engineering in Chemical Engineering,
pps44,Peter,Patrick,Sorell,Bachelor of Science in Westphal Studies Program,Minor in Biophysics
sjg93,Stephen,Jackson,Green,Master of Public Health in Health Management and Policy,
nmc86,Nana,Mary,Champion,Bachelor of Science in Business Administration in Finance,Minor in Health Services Administration
aph64,Alfredo,Pierre,Hamil,Master of Science in Mechanical Engineering and Mechanics,
dab19,Denise,Angeline,Brakefield,Master of Public Health in Global Health,Minor in Culinary Arts
ams87,Arlene,Mary,Seiter,"Bachelor of Science in Learning Sciences, Experience Design, and Technology",
cbr168,Carolyn,Betty,Roy,Bachelor of Science in Graphic Design,
ccw84,Catherine,Cathy,Williams,Master of Science in Global Health,Minor in Biochemistry
ced77,Clifford,Eugene,Davis,Master of Science in Population Health Science,
nma28,Nancy,Martha,Anderson,Master of Science in Information Systems in Information Systems,
mhb66,Max,Harry,Batson,Master of Science in Professional Studies,Minor in Business Administration
wbm31,Wanetta,Brenda,Malave,Master of Science in Clinical Research Organization & Management,
dbs849,Dena,Barbara,Strefeler,"Bachelor of Arts in English, Writing Concentration",
jjp32,John,Justin,Patton,Bachelor of Science in Architectural Engineering in Architectural Engineering,
jjw84,James,John,Wilson,Bachelor of Science in Product Design,
slh582,Shanna,Linda,Herrera,Master of Science in Accounting in Accounting,Minor in Environmental Studies
der481,Damian,Edward,Ruffner,Bachelor of Arts in Economics in Economic Analysis,
krp847,Kim,Ramiro,Peeler,Bachelor of Science in Biomedical Engineering in Biomedical Engineering,
sbb59,Sandra,Betty,Brown,Doctor of Philosophy in Architectural Engineering,
ajd11,Amanda,Julia,Dorcy,Master of Science in Computer Engineering,
fmb88,Felipe,Martin,Buchanan,Master of Science in Urban Strategy,
ejh19,Ellen,Joyce,Herman,Bachelor of Science in Product Design,
cke81,Chris,Kendall,Epstein,Doctor of Philosophy in Chemical Engineering,
jjs677,John,Jermaine,Savage,Doctor of Education in Educational Leadership and Management,
cta587,Cindy,Teresa,Anderson,Bachelor of Science in Engineering Technology in Engineering Technology,Minor in Music Theory and Composition
lhs42,Ladawn,Heather,Sanchez,Bachelor of Science in Dance - Part-time Professional,Minor in Criminal Justice
jas748,John,Anthony,Severance,Doctor of Medicine (MD) and Doctor of Philosophy in Medicine (MD) / PhD,
rmw68,Randy,Matthew,Wilson,Bachelor of Science in Construction Management in Construction Management,
jwa32,James,William,Aho,Bachelor of Arts in Entrepreneurship & Innovation 3-year Option,
emb87,Edith,Margaret,Bateman,Bachelor of Science in Health Data Analytics,
esg72,Esther,Susan,Green,Bachelor of Architecture in Architecture,
cmh63,Cheryl,Monica,Horsley,"Bachelor of Arts in English, Literary Studies Concentration",
gab11,Gwendolyn,Agnes,Beverly,Master of Science in Computer Security and Privacy in Computer Security and Privacy,
cjm579,Christena,Joan,Maines,Bachelor of Science in Biological Sciences,
jjc70,Jesse,Jason,Cook,Bachelor of Arts in Mathematics,
ttb69,Tara,Tonya,Brown,"Bachelor of Science in Behavioral Economics, Business and Organizations",
gab18,Gladys,Alicia,Bourque,program_name,
dsp712,Darryl,Steven,Peters,"Bachelor of Science in Behavioral Economics, Business and Organizations",Minor in Interdisciplinary Problem Solving
njd61,Nancy,Jane,Diaz,Bachelor of Science in Biological Sciences,
sah57,Stacy,Alberto,Harris,Bachelor of Science in Nutrition and Foods,Minor in Economics
ppr306,Paul,Peter,Reid,Bachelor of Science in Chemistry-Biochemistry Concentration,Minor in Corporate Entrepreneurship
lpm28,Lawrence,Patrick,Mccracken,Bachelor of Science in Mathematics,
dbm29,Doris,Barbara,Moore,Master of Science in Professional Studies,Minor in Ecology
prd63,Philip,Robert,Dabbs,Bachelor of Arts in Economics in Economic Analysis,
sbp93,Sharita,Betty,Pullen,"Master of Science in Transdisciplinary Science, Computing, and Engineering Design",
jay48,Joy,Alice,Young,Bachelor of Science in Economics and Public Health,
smk82,Sandra,Mary,Keeney,Master of Science in Biostatistics,Minor in Addictions Counseling
rgr67,Robert,Gary,Reeves,Bachelor of Science in Data Science in Data Science,
ssf616,Stephen,Steven,Farris,Bachelor of Science in Business Administration(BSBA) in International Business,
bfk17,Brittany,Flora,Kossman,Master of Science in Television & Media Management,
ncc36,Nathan,Charles,Coble,Bachelor of Science in Business Administration in Esport Business,
jjf307,Joe,James,Frank,Bachelor of Science in Fashion Design,
sls85,Sarah,Loren,Sills,Bachelor of Science in Business Administration in Real Estate Management and Development,
nar26,Nancy,Amanda,Rivers,"Bachelor of Arts in English, Writing Concentration",
slt241,Sandra,Lisa,Turner,Master of Science in Professional Studies,
rna399,Robert,Nick,Anderson,Bachelor of Science in Environmental Science,
rmm62,Robert,Michael,Miller,Master of Science in Integrated Biomedical Engineering and Business,Minor in Communication
gkv983,Greg,Kenneth,Vogel,Master of Science in Biomedicine and Entrepreneurship,
pdc297,Patrick,Dwayne,Carver,Master of Science in Epidemiology,
lmt43,Leslie,Mary,Taft,Bachelor of Science in Fashion Design,
lvm16,Lucille,Victoria,Mcgary,Master of Laboratory Animal Science in Laboratory Animal Science,Minor in Public Health
wpk37,William,Percy,Kellems,Master of Science in Histotechnology,
jdm49,Joan,Dorothy,Murray,Master of Science in Accounting in Accounting,
mmc20,Mark,Matthew,Crosby,Bachelor of Science in Business Administration in Marketing,
rlc88,Roy,Lloyd,Ciaburri,"Doctor of Philosophy in Ecology, Evolution, and Earth Systems",
lmp404,Lashaun,Margaret,Perego,Doctor of Philosophy in Chemical Engineering,
ctp26,Christopher,Timothy,Penland,"Bachelor of Arts in English, Literary Studies Concentration",Minor in Graphic Design
rjo46,Riley,Jeffrey,Oneal,Bachelor of Science in Digital Media and Virtual Production,
emc35,Evelyn,Maria,Cho,Bachelor of Science in Civil Engineering in Civil Engineering,Minor in Sustainability in the Built Environment
swc196,Scott,William,Chin,Master of Science in Biomedicine and Entrepreneurship,Minor in Information Systems
edp34,Elaine,Denise,Parker,Bachelor of Arts in Mathematics,Minor in Addictions Counseling
mcl43,Maricela,Carol,Lin,Bachelor of Science in Software Engineering in Software Engineering,Minor in DragonsTeach Certification Minor
waa96,William,Antonio,Arias,Bachelor of Science in Special Education (PK-12),
crs815,Caleb,Ronald,Smith,Doctor of Philosophy in Civil Engineering,
jaj386,Joyce,Ann,Johnson,Bachelor of Science in Business Administration in Real Estate Management and Development,Minor in Fine Arts
tbp24,Tony,Bryan,Pisano,Bachelor of Science in Information Systems in Information Systems,
jat14,Joseph,Allen,Turner,Bachelor of Arts in History,
mda35,Marguerite,Dixie,Allman,Bachelor of Science in Business Administration in Accounting,
jer60,James,Emanuel,Reed,Master of Science in Learning Technologies,
jje23,Joseph,Jose,Estep,Bachelor of Science in Behavioral Health Counseling,
jem36,John,Elmer,Montague,Doctor of Philosophy in Creative Arts in Therapy,
jrd25,Joe,Raymond,Degarmo,Bachelor of Science in Graphic Design,
bwl66,Barry,William,Lacy,Bachelor of Science in Psychology,Minor in Performing Arts
mac83,Micheal,Arnold,Cruz,"Doctor of Philosophy in Biomedical Engineering (PhD: School of Biomedical Engineering, Science and Health Systems)",Minor in Screenwriting
jiz96,Jennifer,Isabella,Zander,program_name,
ges60,Glenn,Earl,Smith,Bachelor of Science in Software Engineering in Software Engineering,
sjg67,Sylvia,Janis,Graff,Bachelor of Science in Computer Science in Computer Science,
hmm41,Heather,Molly,Matthews,"Doctor of Philosophy in Ecology, Evolution, and Earth Systems",
hbr57,Helen,Brenda,Randolph,Master of Science in Strategic and Digital Communication,
dgb85,Don,Gregory,Bogart,Doctor of Philosophy in Education,Minor in Culinary Arts
dtr10,Damon,Tim,Ramos,Master of Science in Fashion Design,
mbh832,Mercedes,Bonnie,Henry,Bachelor of Science in Biomedical Engineering in Biomedical Engineering,Minor in Neuroscience
krm422,Keith,Richard,Murawski,Bachelor of Science in Education: Non-Certification,
jfb526,John,Franklyn,Boyd,Master of Science in Learning Technologies,
mmp40,Melody,Mary,Pitcock,Master of Public Health in Urban Health,
rgg79,Robert,George,Gill,Bachelor of Science in Game Design & Production,
jml15,Jennifer,Meghan,Lee,Bachelor of Science in Health Data Analytics,
akp31,Amanda,Karen,Parker,Doctor of Philosophy in Chemistry,Minor in Operations and Supply Chain Management
prr91,Peter,Robert,Rankin,Bachelor of Science in Behavioral Health Counseling,Minor in Behavioral Economics and Business
acn30,Anthony,Charles,Neil,Bachelor of Science in Business Administration in Business Analytics (co-major),
ets377,Edwardo,Timothy,Stuckey,Bachelor of Science Degree inNursing in Nursing,Minor in Psychology
mlp17,Mary,Lillie,Patton,Bachelor of Science in Exercise Science,
cap64,Charles,Antonio,Paddick,Bachelor of Science in Engineering in Engineering,Minor in Engineering Leadership
lmr46,Loretta,Maurine,Reeves,Master of Family Therapy in Family Therapy,Minor in DragonsTeach Math Certification Minor
adc22,Andrew,Daniel,Cessna,Bachelor of Science in Mechanical Engineering in Mechanical Engineering & Mechanics,
dlc81,Delilah,Laci,Corkins,Master of Science in Project Management,
jek19,Jane,Esther,Keane,Master of Science in Urban Strategy,
mpp21,Manuel,Phillip,Pidgeon,Bachelor of Science in Information Systems in Information Systems,Minor in Mathematics
lbb914,Loren,Brent,Black,Master of Science in Arts Administration and Museum Leadership,Minor in Somatics
agf16,Avril,Gladys,Frank,Master of Science in Intensive Medical Sciences,
ces928,Crystal,Evelyn,Smith,Bachelor of Science in Business Administration in Legal Studies,Minor in Finance
rkc79,Robert,Kenneth,Covington,Bachelor of Science in Animation & Visual Effects,
hmb27,Hosea,Matt,Brown,Bachelor of Science in Information Systems in Information Systems,
mae58,Mathew,Arthur,Earl,Bachelor of Science in Entertainment and Arts Management,
kam213,Kenneth,Alfred,Mosher,Bachelor of Arts in Philosophy,Minor in Ecology
fmb24,Francine,Melissa,Bradley,Doctor of Philosophy in Environmental Engineering,
jrp85,John,Robert,Prout,Bachelor of Science in Business Administration in International Business Co-Major,
emh17,Eleanor,Minnie,Harnden,Bachelor of Arts in Global Studies,Minor in Photography
jds93,Jennifer,Deborah,Sheppard,"Master of Science in Biomedical Engineering (MS: School of Biomedical Engineering, Science and Health Systems)",Minor in Epidemiology
rcj82,Rachel,Connie,Jimenez,Master of Science in Biotechnology,
lrb369,Laura,Ramona,Behrendt,Bachelor of Arts in Political Science,Minor in Performing Arts
mnb362,Michelle,Nelly,Buczek,Doctor of Philosophy in Creative Arts in Therapy,
wcf70,William,Chad,Farmer,Bachelor of Science in Construction Management in Construction Management,
gst33,Gisela,Sadie,Torrie,Bachelor of Science in Photography,
rms21,Ruby,Ma,Simpson,Master of Science in Educational Administration,
dew92,Doris,Etta,White,Master of Public Health in Environmental and Occupational Health,
tjr32,Terrance,Jose,Ripka,Bachelor of Science in Biological Sciences,
pes54,Pamela,Emily,Singley,Bachelor of Science in Westphal Studies Program,Minor in Interdisciplinary Problem Solving
aem65,Andy,Edward,Morrison,Bachelor of Arts in Global Studies,
wim26,William,Isaac,Miller,Bachelor of Science in Nutrition and Foods,
jmq389,Jennifer,Mary,Quintana,Doctor of Philosophy in Chemical Engineering,
jal30,Janet,Ann,Lane,Master of Science in Information Systems in Information Systems,Minor in Global Public Health
gjt43,George,Johnny,Thompson,Master of Science in Pathologists' Assistant,Minor in Finance
aak24,Angel,Alicia,Kelly,Bachelor of Science in Software Engineering in Software Engineering,Minor in Animation and Visual Effects
rac42,Rachel,Andrea,Collett,Bachelor of Arts in Environmental Studies and Sustainability,
fwl30,Florence,Wendi,Lynch,Bachelor of Science in Animation & Visual Effects,
ajg87,Alvin,John,Gregory,Bachelor of Science in Business Administration in Technology Innovation Management (co-major),
chw604,Carlos,Harold,Wilson,Bachelor of Science in Digital Media and Virtual Production,
awc45,Antonio,Wayne,Cobb,Doctor of Philosophy in Architectural Engineering,Minor in Esports
std17,Sam,Timothy,Deere,Bachelor of Science in Business Administration in Management Information Systems,
jjb603,Jesica,Josephine,Balistrieri,Doctor of Philosophy in Chemical Engineering,
sam335,Shana,Anna,Moss,Bachelor of Science in Hospitality Management in Hospitality Management,
amj15,Anthony,Mark,Jones,Bachelor of Science in Graphic Design,
pjs96,Paul,Joseph,Still,Master of Science in Engineering Technology,
rwp754,Roger,Walter,Perez,Doctor of Philosophy in Health Services Research and Policy,
pvp39,Patricia,Vicky,Posadas,Bachelor of Arts in Art History,Minor in Operations and Supply Chain Management
pmw636,Peggy,Myra,Willett,Bachelor of Arts in Law,
akm361,Anthony,Keith,Martinez,Bachelor of Arts in Entrepreneurship & Innovation 3-year Option,
dmr98,Duane,Michael,Ronning,Bachelor of Science in Business Administration in International Business Co-Major,
sch17,Sterling,Claude,Hodges,Doctor of Philosophy in Community Health and Prevention,
dvc38,David,Valentin,Cox,"Bachelor of Science in Behavioral Economics, Business and Organizations",
jkc414,Joshua,Kenneth,Castillo,Bachelor of Science in Economics in Economics,
trs29,Thomas,Ron,Sullivan,Bachelor of Arts in Computer Science in Computer Science,Minor in Addictions Counseling
rpp76,Robert,Paul,Phillips,Bachelor of Science in Psychology,
dgp781,David,George,Parker,Bachelor of Science in Chemistry-Biochemistry Concentration,Minor in History
psw45,Pamela,Sheena,Williams,Bachelor of Arts in Law,
ssb492,Sammy,Stephen,Bunker,Bachelor of Science in Business and Engineering in Business and Engineering,
tlp30,Troy,Lee,Perry,Bachelor of Science in Business Administration in Legal Studies,
rpl96,Ralph,Paul,Luper,Bachelor of Science in Psychology,Minor in Neuroscience
ebm38,Eleanore,Betty,Measheaw,Bachelor of Science in Health Sciences,
jnj612,Janet,Nancy,Jackson,Master of Science in Retail & Merchandising,
