date_of_birth,primary_department,annual_salary,job_title,drexel_id,drexel_id,full_name
12/24/1957,Electrical and Computer Engineering,111233,Adjunct Instructor,acs83,acs83,Allan Sellers
12/15/1974,Materials Science and Engineering,98374,Professor,acs94,acs94,Adrian Shieh
12/18/1959,Materials Science and Engineering,110403,Professor,acw55,acw55,Anne Willkomm
6/25/1990,Electrical and Computer Engineering,107187,Professor,ad257,ad257,Anup Das
1/2/1954,Electrical and Computer Engineering,89529,Professor,ad295,ad295,Aditi Dasre
3/25/1984,Politics,97508,Professor,ad497,ad497,Anna Denise
3/28/1995,Sociology,97877,Professor,ad499,ad499,Andrew Dobshinsky
11/27/1968,Biology,98390,Professor,ad685,ad685,Ann Davis
4/25/1988,Criminology & Justice Studies,107897,Professor,ad692,ad692,Abby Dougherty
6/27/1990,Materials Science and Engineering,100454,Professor,ad716,ad716,Alex Djordjevic
12/5/1965,Chemistry,109723,Professor,ada913,ada913,Alexus Aiken
1/21/1974,Politics,92944,Professor,adb20,adb20,Adam Baurkot
9/25/1969,Politics,99400,Professor,adb83,adb83,Aneesa Bey
3/5/1984,Communication,40729,Technician,add26,add26,Allison Davis
2/19/1980,,29395,Janitor,add57,add57,Alberta Davis
2/10/1983,Electrical and Computer Engineering,82648,Professor,ade10,ade10,Amy Edwards
12/26/1975,Politics,35246,Science Librarian,adf885,adf885,Alexander Faber
9/2/1967,,61837,Financial Aid Officer,adg35,adg35,Amelia Goddard
5/3/1954,Biology,85287,Professor,adm41,adm41,Alphonso McClendon
7/10/1979,Politics,94610,Professor,ado66,ado66,Amy Orlando
1/9/1977,Psychological and Brain Sciences,103728,Payroll Administrator,ado757,ado757,Andrew Olson
9/18/1972,Global Studies and Modern Languages,100683,Professor,adr38,adr38,Ana Roux
9/5/1990,Materials Science and Engineering,62953,Assistant Professor,ads26,ads26,Anthony Stevens
10/11/1959,Politics,111691,Professor,ads77,ads77,Arin Sullivan
11/13/1961,English & Philosophy,108021,Professor,ads94,ads94,Alison Standefer
7/19/1964,English & Philosophy,26921,Receptionist/Scheduler,adt61,adt61,Alan Troke
1/15/1993,Materials Science and Engineering,57851,Accountant,adu16,adu16,Andrew Usher
8/5/1991,History,110381,Professor,ae398,ae398,Allison E
9/13/1980,Criminology & Justice Studies,102846,Professor,ae739,ae739,Arvin Ebrahimkhanlou
3/10/1957,English & Philosophy,100224,Research Professor,aec89,aec89,Anthony Carroll
6/20/1979,Physics,107902,Professor,aem15,aem15,Alison Moyer
7/26/1979,Communication,112383,Adjunct Instructor,aem89,aem89,Arianna Mcbride
10/27/1954,Mechanical Engineering and Mechanics,104968,Professor,aer84,aer84,Adams Rackes
4/4/1964,Chemistry,104089,Professor,aes411,aes411,Amy Slaton
8/2/1992,Materials Science and Engineering,84705,Professor,af539,af539,Adam Fontecchio
12/18/1961,Engineering Leadership and Society,105216,Professor,af631,af631,Alexander Fridman
2/11/1958,History,99998,Professor,af636,af636,Amir Farnam
6/22/1980,"""Civil",106115,Professor,af778,af778,Ana Florencia
10/16/1950,"""Civil",108973,Professor,af846,af846,Albert Fung
11/9/1978,Physics,91057,Professor,afs20,afs20,Andrew Smith
8/24/1991,Politics,105735,Professor,ag121,ag121,Anatolii Grinshpan
3/14/1971,English & Philosophy,85699,Professor,ag257,ag257,Allon Guez
1/6/1975,History,102272,Professor,ag448,ag448,Ama Gora
9/18/1990,Electrical and Computer Engineering,87516,Professor,aga46,aga46,Alex Arriaga
5/9/1963,Chemical and Biological Engineering,64940,Software Engineer,agb298,agb298,Angelique Buhmann
1/17/1955,Electrical and Computer Engineering,61562,Software Engineer,agb84,agb84,Allan Baskin
8/8/1967,English & Philosophy,101211,Professor,agd15,agd15,Anna Devlin
5/23/1969,Politics,84308,Payroll Administrator,age18,age18,Ashley Erickson
12/23/1961,Biology,86753,Professor,agi44,agi44,Andrea Irvine
12/21/1993,Psychological and Brain Sciences,96380,Professor,agj26,agj26,Andrei Jablokow
3/10/1995,Mathematics,84687,Professor,agj43,agj43,Amanda Johnson
7/20/1972,Mathematics,86088,Professor,agk42,agk42,Alexander Kopp
5/18/1961,Global Studies and Modern Languages,84405,Professor,agn864,agn864,Alexander Nikolaev
2/25/1989,,42281,Public Safety Officer,ago91,ago91,Anthony Oconnor
9/14/1985,Global Studies and Modern Languages,110998,Professor,ags83,ags83,Abigail Stein
4/26/1962,Electrical and Computer Engineering,82729,Professor,ah397,ah397,Anna Hill
5/28/1981,Chemical and Biological Engineering,93121,Professor,ah574,ah574,Alyssa Haney
2/24/1989,Electrical and Computer Engineering,94196,Professor,ah989,ah989,Audrey Hausig
9/9/1987,Communication,99738,Professor,aha86,aha86,Amy Auchincloss
2/21/1992,Mathematics,68328,Talent Acquistion Consultant,ahb32,ahb32,Anthony Burchett
1/22/1957,Psychological and Brain Sciences,83715,Professor,ahi57,ahi57,Abdellah Islam
10/17/1986,Chemistry,85476,Professor,ahk468,ahk468,Aiza Kabeer
5/23/1973,History,90596,Professor,ahp767,ahp767,Alexander Poole
2/16/1971,Electrical and Computer Engineering,101010,Adjunct Instructor,ahs89,ahs89,Arthur Swartz
3/12/1958,Communication,30162,Technician,ahw824,ahw824,Alfonso Wesley
4/20/1957,Criminology & Justice Studies,83167,Professor,aie86,aie86,Akudo Ejelonu
4/23/1958,English & Philosophy,106969,Professor,aig56,aig56,Ann Gerondelis
6/23/1957,Engineering Leadership and Society,90742,Professor,air502,air502,Alesa Rubendall
9/25/1970,Global Studies and Modern Languages,97305,Professor,ais86,ais86,Ayden Scheim
11/17/1986,Materials Science and Engineering,90541,Professor,aj959,aj959,Anneclaire J
10/24/1955,Sociology,96128,Professor,aja32,aja32,Andrew Altrichter
7/20/1990,English & Philosophy,90094,Professor,ajb537,ajb537,Anthony Bracali
11/20/1993,Biology,110391,Finance Coordinator,ajb566,ajb566,Alana Baginski
9/10/1954,Sociology,91391,Adjunct Instructor,ajb85,ajb85,Ariel Bettencourt
12/14/1995,Mathematics,94189,Professor,ajc578,ajc578,Antonia Cianfrani
10/6/1966,Chemical and Biological Engineering,100689,Professor,ajd854,ajd854,Anthony D'Alesandro
10/21/1988,Chemical and Biological Engineering,98342,Payroll Administrator,ajf38,ajf38,Ashley Franklin
3/17/1954,Sociology,83091,Professor,ajf40,ajf40,Alexander Furia
3/27/1958,Psychological and Brain Sciences,83707,Professor,ajf95,ajf95,Alex Feldman
12/2/1991,Biology,85711,Professor,ajg70,ajg70,Alan Greenberger
2/18/1962,Criminology & Justice Studies,64678,Assistant Professor,ajh141,ajh141,Alise Hanks
4/5/1950,Criminology & Justice Studies,90491,Professor,ajh37,ajh37,Aaron Hurley
8/9/1970,Chemical and Biological Engineering,42739,Receptionist/Scheduler,ajk20,ajk20,Aron Kiehne
5/22/1967,,28081,Janitor,ajk253,ajk253,Alfred Knowles
2/24/1993,Engineering Leadership and Society,87559,Professor,ajk742,ajk742,Andrew Kane
5/1/1988,History,110811,Professor,ajk808,ajk808,Adam Knowles
1/6/1952,"""Biodiversity",107908,Professor,ajm189,ajm189,Angelo Milone
8/27/1964,Communication,111823,Professor,ajm54,ajm54,Andrew Magenau
2/17/1978,Mechanical Engineering and Mechanics,88748,Professor,ajm63,ajm63,Anthony Marotta
10/11/1994,English & Philosophy,97112,Professor,ajs78,ajs78,Alex Stadel
7/5/1984,Electrical and Computer Engineering,92141,Professor,ajs83,ajs83,Aleister Saunders
12/25/1989,Mechanical Engineering and Mechanics,96707,Professor,ajt44,ajt44,Adam Thomas
6/15/1956,Global Studies and Modern Languages,99920,Professor,ajv40,ajv40,Albert Vario
5/25/1975,Psychological and Brain Sciences,107344,Research Manager,ajw22,ajw22,Alicia Williams
10/18/1953,Chemical and Biological Engineering,86437,Professor,ak113,ak113,Aleksandra Kirilakha
11/7/1990,Chemical and Biological Engineering,95310,Professor,ak235,ak235,Alexander Kornick
1/19/1962,Communication,93374,Professor,ak269,ak269,Aaron Kucyi
3/19/1986,History,103616,Professor,ak356,ak356,Alison Kenner
4/4/1961,Chemistry,97182,Professor,ak365,ak365,Andres Kriete
4/19/1979,Criminology & Justice Studies,101211,Professor,ak422,ak422,Andre Kurmann
4/28/1968,Psychological and Brain Sciences,90333,Professor,ak529,ak529,Ankita Kulkarni
11/22/1954,"""Civil",102929,Professor,ak582,ak582,Antonios Kontsos
11/10/1981,"""Civil",93769,Professor,ak905,ak905,Andrew Klimas
7/23/1983,Biology,92448,Professor,akb842,akb842,Amber Bolli
4/12/1989,Politics,112082,Professor,ake144,ake144,Anne Erickson
4/14/1981,"""Biodiversity",47798,Science Librarian,akg10,akg10,Abigail Grijalva
12/28/1975,Biology,100463,Professor,akg33,akg33,Allison Groves
8/13/1988,Mathematics,86624,Professor,akk38,akk38,Anastasia Kolker
7/24/1980,Physics,86543,Professor,aks26,aks26,Alexander Stone
10/21/1983,Physics,65076,Accountant,aks77,aks77,Amy Snell
9/20/1959,Chemical and Biological Engineering,99306,Professor,akt47,akt47,Amanda Tinker
12/2/1982,Chemical and Biological Engineering,93779,Professor,akt694,akt694,Alyssa Thiede
12/2/1961,Politics,100845,Professor,al697,al697,Allison Lukachik
1/19/1962,Mathematics,89805,Professor,al715,al715,Ashley LaTorre
6/8/1973,Mathematics,109932,Professor,al849,al849,Alice Liu
7/8/1983,Psychological and Brain Sciences,107213,Professor,al997,al997,Ali L
7/27/1968,Biology,111614,Professor,ala53,ala53,Amanda Acevedo
5/26/1963,Chemistry,99545,Professor,ald39,ald39,Ashley Dickinson
12/14/1991,"""Biodiversity",93728,Professor,alf30,alf30,Arthur Frank
2/16/1964,Biology,106578,Professor,alh21,alh21,Amy Hennessey
6/4/1970,,66640,Financial Aid Officer,alh975,alh975,Ashley Hoover
3/25/1957,Engineering Leadership and Society,98490,Professor,alk519,alk519,Amy Kesslick
1/24/1989,Chemistry,111749,Professor,all22,all22,Amanda Lannie
11/26/1962,,40042,Janitor,all78,all78,Angela Lucio
8/22/1994,Chemistry,58966,Systems Analyst,alm17,alm17,Amy Mondier
10/13/1958,Global Studies and Modern Languages,103572,Professor,alm66,alm66,Andrea Modica
6/19/1982,Engineering Leadership and Society,109443,Professor,aln79,aln79,Anh Nguyen
5/3/1963,Chemical and Biological Engineering,111529,Professor,alr693,alr693,Amanda Reinsburrow
2/11/1981,Electrical and Computer Engineering,90040,Professor,alr923,alr923,Angel Royal
3/28/1956,Mathematics,87759,Professor,als773,als773,Allan Stegeman
10/7/1960,Biology,93312,Professor,alt54,alt54,Amy Throckmorton
11/10/1951,Psychological and Brain Sciences,107028,Professor,alt65,alt65,Ashley Todd-Diaz
2/12/1966,"""Biodiversity",83076,Adjunct Instructor,alt66,alt66,Arnold Treadwell
8/8/1982,History,103863,Professor,alz59,alz59,Adam Zahn
4/24/1961,Materials Science and Engineering,91641,Professor,am164,am164,Adrienne Manno
11/14/1971,Chemistry,109359,Professor,am234,am234,Antonio Martinez-Molina
9/15/1987,Biology,101201,Professor,am674,am674,Amel Mili
11/2/1983,Chemical and Biological Engineering,104402,Professor,am727,am727,Andrea Magyar
5/4/1955,History,106148,Professor,am808,am808,Ague Mae
10/14/1963,Materials Science and Engineering,91356,Payroll Administrator,ama32,ama32,Amanda Adams
8/25/1953,Chemistry,82583,Professor,ama88,ama88,Anthony Angelow
9/7/1982,Mechanical Engineering and Mechanics,93670,Professor,amb86,amb86,Allyce Barron
3/25/1991,Chemistry,104704,Professor,amb92,amb92,Amanda Barany
12/25/1954,Global Studies and Modern Languages,91441,Professor,amc916,amc916,Antoinette Coward-Gilmore
12/23/1950,English & Philosophy,91777,Professor,amd47,amd47,Anne Dower
9/2/1964,English & Philosophy,83423,Professor,amf16,amf16,Alonzo Flowers
9/25/1995,Mechanical Engineering and Mechanics,97941,Professor,amf62,amf62,Alison Friedlander
6/25/1970,,46222,Public Safety Officer,amg28,amg28,Angelica Grizzel
4/15/1954,Politics,90394,Professor,amh22,amh22,Annette Hladio
2/15/1976,Mathematics,84172,Professor,aml38,aml38,Amanda Lequieu
5/28/1965,Biology,31397,Event Services Specialist,amm60,amm60,Ada Malcom
1/24/1971,Chemical and Biological Engineering,103611,Professor,amm79,amm79,Amanda Maher
1/16/1991,Biology,89954,Professor,amm87,amm87,Annie Madden
10/19/1967,Materials Science and Engineering,108326,Professor,amn16,amn16,Art Nezu
3/3/1993,Chemistry,94702,Professor,amp35,amp35,Abioseh Porter
4/16/1988,English & Philosophy,100377,Professor,amp42,amp42,Adrienne Pesce
10/10/1983,Communication,103283,Professor,amp56,amp56,Andrea Perry
6/7/1953,Physics,96245,Professor,amr29,amr29,Alexa Rhoads
6/3/1993,Criminology & Justice Studies,89069,Professor,amr68,amr68,Alexis Roth
6/6/1951,Electrical and Computer Engineering,111253,Professor,amt13,amt13,Alejandro Tinoco
10/7/1988,Criminology & Justice Studies,96026,Professor,amt73,amt73,Ada Tremonte
5/5/1957,Chemical and Biological Engineering,46763,Technician,amv458,amv458,Alton Vigil
7/6/1970,History,109591,Professor,an398,an398,Annalisa Na
7/27/1953,Global Studies and Modern Languages,104259,Professor,ana72,ana72,Ashley Archer
10/26/1982,Electrical and Computer Engineering,29743,Reference Librarian,anc592,anc592,Antonio Chisolm
7/23/1992,History,83590,Professor,and59,and59,Alyssa Davella
11/2/1968,Chemical and Biological Engineering,94816,Professor,anf73,anf73,Aroutis Foster
11/26/1979,Mechanical Engineering and Mechanics,101265,Program Coordinator,anh988,anh988,Annie Hedgepeth
12/13/1964,Chemical and Biological Engineering,85642,Professor,ank73,ank73,Alexander Kalafatides
7/22/1969,Mathematics,106178,Professor,anl32,anl32,Arthur Levy
10/5/1968,Politics,85725,Professor,ano67,ano67,Alexander Ortega
9/26/1995,History,101315,Finance Coordinator,anp79,anp79,Amanda Pounds
3/13/1982,Chemistry,109533,Professor,ans22,ans22,Alice Stevens
10/26/1951,Mechanical Engineering and Mechanics,91222,Professor,aoa72,aoa72,Abieyuwa Aghayere
11/15/1964,History,84376,Professor,aon30,aon30,Assal Nasir
2/17/1982,Communication,85766,Professor,ap466,ap466,Alessia Polemi
4/9/1959,Chemical and Biological Engineering,33695,Learning Specialist,apb60,apb60,Anthony Bancroft
11/14/1958,Materials Science and Engineering,93844,Research Professor,apk52,apk52,Aaron Keiss
9/17/1988,Sociology,101473,Professor,apm48,apm48,Alina Macneal
6/12/1956,Electrical and Computer Engineering,97602,Professor,apm67,apm67,Ana Martinez-Donate
10/9/1987,"""Civil",102122,Professor,aq576,aq576,Albert Quesada
11/27/1955,"""Civil",82491,Professor,ar374,ar374,AJ Raven
6/5/1975,Psychological and Brain Sciences,101531,Professor,ar512,ar512,Anjani Ravi
1/21/1954,Engineering Leadership and Society,106589,Professor,ar684,ar684,Astha Ramaiya
3/19/1963,History,88332,Professor,ar944,ar944,Afsaneh Razi
8/23/1989,Biology,90331,Professor,ara47,ara47,Alexis Apfelbaum
7/12/1987,History,104681,Payroll Administrator,arb23,arb23,Annie Brown
1/3/1983,Physics,86288,Professor,arb49,arb49,Adena Brewington-Brown
11/14/1986,Chemical and Biological Engineering,95424,Professor,arb68,arb68,Alexa Bosse
10/4/1989,Global Studies and Modern Languages,111288,Professor,arc13,arc13,Andrew Cohen
2/3/1973,Communication,30083,Event Services Specialist,arc93,arc93,Alex Campbell
6/23/1977,History,62320,Designer,ard45,ard45,Allen Denham
3/21/1974,Electrical and Computer Engineering,99407,Professor,arg39,arg39,Anna Greenwald
2/12/1983,Criminology & Justice Studies,100273,Professor,arg92,arg92,Amanda Gilhool
7/7/1964,Politics,86190,Professor,arh82,arh82,Annie Haftl
10/1/1979,Electrical and Computer Engineering,102664,Professor,arj13,arj13,Alexander Jenkins
9/1/1985,English & Philosophy,85541,Professor,ark88,ark88,Andrew Kennedy
1/25/1987,Electrical and Computer Engineering,82852,Research Manager,arm96,arm96,Antonio Maxey
10/7/1988,Electrical and Computer Engineering,89555,Professor,arn473,arn473,Ahmad Najafi
10/19/1956,Sociology,108600,Professor,aro77,aro77,Alex Osidach
3/11/1995,Mathematics,88073,Professor,arp47,arp47,Anne Portner
11/25/1974,Communication,83445,Professor,arp54,arp54,Andrew Phillips
11/27/1993,Psychological and Brain Sciences,89826,Professor,arp59,arp59,Alicemarie Poyss
3/5/1974,History,91569,Professor,ars52,ars52,Ashley Szyper
7/3/1995,Mechanical Engineering and Mechanics,112550,Research Manager,ars68,ars68,Alvin Sinkler
5/2/1977,Chemistry,109489,Professor,art15,art15,Amanda Tessler
11/27/1994,English & Philosophy,99765,Professor,as366,as366,Ann S
1/10/1952,Materials Science and Engineering,107073,Professor,as367,as367,Ash Suresh
8/14/1957,Materials Science and Engineering,105505,Professor,as563,as563,Angelise Stuhl
6/16/1966,English & Philosophy,110509,Professor,as599,as599,Alexis Schulman
4/12/1952,History,106089,Professor,as668,as668,Andrew Snover
4/28/1955,Psychological and Brain Sciences,85852,Professor,as796,as796,Arnav Sharma
3/9/1956,Criminology & Justice Studies,95358,Professor,as811,as811,Aleksandra Sarcevic
1/14/1969,Mechanical Engineering and Mechanics,110499,Professor,as934,as934,Alina Schnake-Mahl
4/14/1968,Psychological and Brain Sciences,101030,Professor,as942,as942,Ahmet Sacan
8/26/1969,Mathematics,82655,Professor,asb707,asb707,Adrian Banning
9/14/1985,Materials Science and Engineering,84643,Professor,asb99,asb99,Amy Bush
1/21/1988,Materials Science and Engineering,58376,Systems Analyst,asc552,asc552,Anthony Collins
5/21/1986,Mechanical Engineering and Mechanics,43813,Reference Librarian,asc69,asc69,Anna Cummings
10/19/1991,Psychological and Brain Sciences,110355,Professor,asd79,asd79,Afshin Daryoush
4/8/1977,"""Biodiversity",98415,Senior Advisor,asf40,asf40,Adam Floyd
3/17/1983,"""Civil",86411,Professor,asf515,asf515,Alecia Fox
12/21/1970,History,108898,Professor,asg19,asg19,Andrew Genetta
2/3/1990,,36741,Public Safety Officer,ash31,ash31,Arlene Hartly
11/21/1974,"""Civil",82289,Clinician,ash81,ash81,April Holmes
4/14/1950,Electrical and Computer Engineering,33859,Technician,ask33,ask33,Augusta Kohl
9/13/1960,,72994,Financial Aid Officer,asm416,asm416,Alice Marchant
8/5/1981,Engineering Leadership and Society,82640,Professor,asn58,asn58,Adam Nash
5/12/1988,Mathematics,83959,Professor,asp54,asp54,Alex Palmatier
8/23/1955,Physics,96749,Professor,asp881,asp881,Alan Penziner
3/1/1970,"""Biodiversity",91097,Professor,asr16,asr16,Allison Rusgo
12/27/1961,History,106010,Adjunct Instructor,ass41,ass41,April Stelter
4/17/1993,Criminology & Justice Studies,100599,Professor,ast488,ast488,Abigail Toll
10/7/1974,Politics,176478,Executive Director,ata22,ata22,Andy Anderson
11/27/1953,Physics,65093,Accountant,atb586,atb586,Andrew Bentley
7/10/1956,Electrical and Computer Engineering,58704,Psychologist,atc853,atc853,Alan Cockrell
7/7/1954,"""Biodiversity",101894,Clinician,atd84,atd84,Ashli Drewes
6/22/1978,Mechanical Engineering and Mechanics,102165,Professor,atf442,atf442,Aaron Fafarman
12/23/1950,Politics,33681,Event Services Specialist,atm69,atm69,Aaron Morris
5/13/1963,Electrical and Computer Engineering,95738,Professor,ats12,ats12,Adrian Sandoval
5/8/1995,Politics,100116,Professor,ats93,ats93,Abigail Stein
12/17/1986,English & Philosophy,96533,Professor,atw38,atw38,Andrea Wieckowski
11/19/1965,"""Biodiversity",108802,Professor,av333,av333,Ariel Vazquez
4/16/1976,"""Biodiversity",100725,Professor,ava63,ava63,Anthony Assetto
6/1/1964,Not Applicable,145000,Dean,avd37,avd37,Ana Diez Roux
6/15/1962,Mechanical Engineering and Mechanics,87593,Research Manager,avg10,avg10,Anne Garcia
7/26/1973,Physics,73604,Administrative Coordinator,avs67,avs67,Alice Schueler
8/13/1988,"""Biodiversity",58675,Software Engineer,avs83,avs83,Alice Sparks
3/23/1972,Global Studies and Modern Languages,89017,Professor,avt11,avt11,Ann Thiel-Barrett
4/24/1950,Mechanical Engineering and Mechanics,89063,Professor,aw156,aw156,Anthony Wambsgans
10/15/1984,Physics,82281,Professor,aw569,aw569,Abbie Williams
11/28/1955,Sociology,100241,Professor,awc94,awc94,Andrew Calhoun
1/9/1982,Mechanical Engineering and Mechanics,110754,Professor,awd41,awd41,Albert DeRitis
11/21/1994,Chemical and Biological Engineering,102318,Professor,awh26,awh26,Anthony Howcroft
5/26/1993,Chemical and Biological Engineering,149152,Executive Director,aww61,aww61,Antonio Warner
4/7/1994,Mathematics,110367,Professor,awz20,awz20,Andrew Zitcer
12/19/1958,Mathematics,109061,Professor,ay351,ay351,Ajmal Yousuff
12/27/1994,Sociology,103896,Professor,ay397,ay397,Aimee Yuka
11/11/1986,Physics,93696,Professor,ayb47,ayb47,Alexandra Bonner
6/4/1994,History,108577,Professor,az115,az115,Antonios Zavaliangos
11/2/1986,History,99346,Professor,az363,az363,Angelina Zebuski
3/3/1968,Global Studies and Modern Languages,83492,Professor,az512,az512,Aspasia Zerva
5/18/1967,Communication,111315,Professor,az702,az702,Asta Zelenkauskaite
6/20/1964,Politics,105957,Professor,az802,az802,Aprem Zaya
11/8/1964,English & Philosophy,103173,Professor,ba564,ba564,Bita Alizadehtazi
5/19/1995,Engineering Leadership and Society,85721,Professor,baa94,baa94,Brook Antalosky
12/28/1956,Sociology,99016,Professor,bab38,bab38,Bruce Boylston
12/22/1961,Communication,105672,Professor,bad70,bad70,Brenda Dyer
5/9/1955,Sociology,90521,Professor,bae71,bae71,Bruce Eisenstein
2/22/1956,Communication,111405,Research Professor,bah63,bah63,Brian Holyfield
10/15/1957,Criminology & Justice Studies,90715,Professor,bal14,bal14,Brent Luvaas
2/18/1967,"""Civil",103365,Professor,bal53,bal53,Brent Langellier
2/9/1954,English & Philosophy,103122,Professor,bal92,bal92,Bruce Levine
9/20/1970,Chemistry,101892,Professor,bap68,bap68,Bruce Pashko
11/19/1950,Engineering Leadership and Society,108036,Professor,bar273,bar273,Brett Robinson
9/8/1988,Physics,102956,Professor,bar715,bar715,Becka Rich
12/10/1972,,55444,Financial Aid Officer,bas56,bas56,Bruna Sultzer
6/13/1959,Mechanical Engineering and Mechanics,86483,Professor,bb179,bb179,Benoit Bechade
11/14/1952,Engineering Leadership and Society,96018,Professor,bb212,bb212,Ben Binder-Markey
3/16/1992,English & Philosophy,84717,Professor,bb401,bb401,Brittany Blair
3/22/1990,Communication,65735,Psychologist,bbh23,bbh23,Barrett Hill
2/25/1951,Physics,69512,Accountant,bbk24,bbk24,Bill Kim
8/8/1955,Mechanical Engineering and Mechanics,73881,Accountant,bbm74,bbm74,Brent Miller
10/1/1989,Psychological and Brain Sciences,31035,Event Services Specialist,bbn13,bbn13,Beverly Newell
2/26/1956,Electrical and Computer Engineering,109962,Professor,bbr46,bbr46,Ben Runyan
7/4/1971,"""Civil",93966,Professor,bbr93,bbr93,Bill Rees
11/9/1980,Biology,45291,Reference Librarian,bbt838,bbt838,Barbara Trejo
1/22/1979,Psychological and Brain Sciences,86190,Professor,bc599,bc599,Blair Chase
1/11/1994,Communication,102862,Professor,bc779,bc779,Bor-Chin Chang
6/15/1965,Politics,85382,Professor,bc818,bc818,Beth Ceccarelli
8/13/1966,Psychological and Brain Sciences,36710,Learning Specialist,bcm19,bcm19,Blanche Maldonado
5/11/1953,Chemistry,84288,Professor,bcp14,bcp14,Brianna Pezzato
3/6/1983,Sociology,108913,Senior Advisor,bcs28,bcs28,Brenda Smith
8/16/1965,History,87898,Professor,bcs909,bcs909,Bradford Sodowick
6/4/1956,Chemical and Biological Engineering,74333,Software Engineer,bct56,bct56,Betty Townsend
7/4/1968,Sociology,110063,Finance Coordinator,bcw335,bcw335,Brandon Ware
