date_of_birth,living_address,is_communter,email,student_program_type,phone,home_address,majors,minors,annual_financial_aid_award,outstanding_balances,drexel_id,drexel_id,drexel_id,drexel_id,full_name
9/2/1999,28250 Dickens Avenue,0,aaf286@drexel.edu,Graduate,638-778-6893,28250 Dickens Avenue,Master of Science in Higher Education Leadership,,18600.0,0.0,aaf286,aaf286,aaf286,aaf286,Alma Aimee Flores
7/8/2000,1761 Thousand Oaks Boulevard,0,aaf34@drexel.edu,Undergraduate,737-563-7395,1761 Thousand Oaks Boulevard,"Bachelor of Arts in English, Literary Studies Concentration",,18600.0,0.0,aaf34,aaf34,aaf34,aaf34,Al Adam Forrest
5/23/2002,125 John Street,0,aaf41@drexel.edu,Undergraduate,432-347-5794,125 John Street,"Bachelor of Science in Learning Sciences, Experience Design, and Technology",,18600.0,0.0,aaf41,aaf41,aaf41,aaf41,Amber Amber Ferguson
9/11/1999,"""115 N. 32nd Street Philadelphia",0,aaf59@drexel.edu,Undergraduate,520-873-9488,"""115 N. 32nd Street Philadelphia","Bachelor of Arts in English, Secondary Education Concentration",Minor in Justice Studies,20000.0,70.8,aaf59,aaf59,aaf59,aaf59,Armando Aaron Fuller
10/13/2000,2313 Vegas Avenue,0,aag138@drexel.edu,Undergraduate,553-810-7321,2313 Vegas Avenue,Bachelor of Science in Biomedical Engineering in Biomedical Engineering,,16200.0,93.17,aag138,aag138,aag138,aag138,Anna Anya Grossman
11/16/2004,"""3320 Powelton Avenue Philadelphia",0,aag736@drexel.edu,Undergraduate,956-566-7022,"""3320 Powelton Avenue Philadelphia",Bachelor of Science in Chemistry,,20000.0,0.0,aag736,aag736,aag736,aag736,Andrea Amy Gilliam
5/28/2003,"""325 N. 15th Street Philadelphia",0,aah12@drexel.edu,Undergraduate,315-784-1129,"""325 N. 15th Street Philadelphia",Bachelor of Science in Chemical Engineering in Chemical Engineering,,16200.0,0.0,aah12,aah12,aah12,aah12,Alan Andrew Hartshorn
10/15/2004,25793 Durrwood Court,0,aah13@drexel.edu,Undergraduate,252-936-3306,25793 Durrwood Court,Bachelor of Science in Electrical Engineering in Electrical Engineering,,16200.0,0.0,aah13,aah13,aah13,aah13,Andre Andy Honaker
10/17/2001,210 Beachcomber Drive,0,aah579@drexel.edu,Graduate,938-381-4971,210 Beachcomber Drive,"Master of Science in Teaching, Learning and Curriculum",Minor in Justice Studies,20000.0,55.98,aah579,aah579,aah579,aah579,Alberto Allen Harvey
12/17/2004,1820 Scenic Avenue,0,aah89@drexel.edu,Undergraduate,262-887-1336,1820 Scenic Avenue,Bachelor of Arts in Philosophy,,16200.0,0.0,aah89,aah89,aah89,aah89,Angie Agatha Haughney
6/2/2000,3365 Wyndham Drive,0,aah91@drexel.edu,Graduate,899-309-7192,3365 Wyndham Drive,Master of Science in Public Policy,,16200.0,67.5,aah91,aah91,aah91,aah91,Anna Ana Helland
10/20/2002,"""3200 Race Street Philadelphia",0,aak227@drexel.edu,Undergraduate,883-775-1998,"""3200 Race Street Philadelphia",Bachelor of Science in Exercise Science,Minor in Environmental Engineering,20000.0,49.78,aak227,aak227,aak227,aak227,Anna Amy Kaiser
2/27/1999,"""3400 Lancaster Avenue Philadelphia",0,aak24@drexel.edu,Undergraduate,760-884-3898,"""3400 Lancaster Avenue Philadelphia",Bachelor of Science in Software Engineering in Software Engineering,Minor in Animation and Visual Effects,20000.0,0.0,aak24,aak24,aak24,aak24,Angel Alicia Kelly
3/18/2000,2042 High Street,0,aal119@drexel.edu,Undergraduate,711-603-7651,2042 High Street,Bachelor of Science in Information Systems in Information Systems,,18600.0,0.0,aal119,aal119,aal119,aal119,Andrea Aura Loth
2/10/2001,1481 Stannage Avenue,0,aal19@drexel.edu,Undergraduate,843-319-6345,1481 Stannage Avenue,Bachelor of Science in Business Administration in Business (General),Minor in History of Capitalism,18600.0,0.0,aal19,aal19,aal19,aal19,Angela Amy Langowski
12/27/1999,"""325 N. 15th Street Philadelphia",0,aal27@drexel.edu,Undergraduate,795-566-7637,"""325 N. 15th Street Philadelphia",Bachelor of Science in Architectural Engineering in Architectural Engineering,,20000.0,0.0,aal27,aal27,aal27,aal27,Alice Ana Lentz
5/14/2004,637 Britannia Drive,0,aal76@drexel.edu,Graduate,501-339-4611,637 Britannia Drive,Doctor of Philosophy in Chemical Engineering,Minor in Materials Science and Engineering,20000.0,95.5,aal76,aal76,aal76,aal76,Anne Amber Lorenzo
2/20/2000,"""3200 Chestnut Street Philadelphia",0,aam225@drexel.edu,Undergraduate,978-887-3123,"""3200 Chestnut Street Philadelphia",Bachelor of Science in Photography,,16200.0,0.0,aam225,aam225,aam225,aam225,Allen Andrew Mccullough
12/28/2000,2409 Park Street,0,aam34@drexel.edu,Graduate,468-473-6177,2409 Park Street,Master of Science in Drug Discovery and Development,,18600.0,83.28,aam34,aam34,aam34,aam34,Alice Anna Moreno
12/7/1999,"""3200 Race Street Philadelphia",0,aam776@drexel.edu,Undergraduate,284-923-2434,"""3200 Race Street Philadelphia",Bachelor of Science in Photography,,18600.0,0.0,aam776,aam776,aam776,aam776,Antonia Alice Moore
4/4/2002,46710 Crawford Street,0,aam78@drexel.edu,Undergraduate,515-449-6192,46710 Crawford Street,Bachelor of Science in Exercise Science,,18600.0,79.4,aam78,aam78,aam78,aam78,Ann Amparo Murphy
1/24/1999,8934 Arrowrock Trail,0,aam86@drexel.edu,Graduate,561-185-2981,8934 Arrowrock Trail,Master of Science in Applied Behavior Analysis,,18600.0,0.0,aam86,aam86,aam86,aam86,Annette Anna Moore
10/25/2004,152 Holly Court,0,aan10@drexel.edu,Graduate,673-775-1612,152 Holly Court,"Master of Science in Teaching, Learning and Curriculum",,16200.0,12.88,aan10,aan10,aan10,aan10,Aline Anna Nilson
10/24/2003,5397 Wentworth Avenue,0,aap11@drexel.edu,Undergraduate,874-997-1726,5397 Wentworth Avenue,Doctor in Couple and Family Therapy in Couple and Family Therapy,,18600.0,79.4,aap11,aap11,aap11,aap11,Alisha Ashley Paramore
11/8/2004,19416 Barclay Road,0,aap30@drexel.edu,Undergraduate,441-646-8311,19416 Barclay Road,Bachelor of Arts in Mathematics,Minor in Psychiatric Rehabilitation,18600.0,0.0,aap30,aap30,aap30,aap30,Angela Alana Polaco
2/10/2001,4444 Central Avenue,0,aap31@drexel.edu,Graduate,708-314-4647,4444 Central Avenue,Doctor of Philosophy in Pharmacology & Physiology,,20000.0,0.0,aap31,aap31,aap31,aap31,Ann Anne Price
4/19/2000,2632 Jackson Street East,0,aap59@drexel.edu,Undergraduate,957-484-2226,2632 Jackson Street East,Bachelor of Science in Game Design & Production,,18600.0,0.0,aap59,aap59,aap59,aap59,Anna Amy Prichard
4/22/1999,1797 Pasatiempo Drive,0,aap91@drexel.edu,Graduate,631-530-7650,1797 Pasatiempo Drive,Doctor of Philosophy in Architectural Engineering,,16200.0,0.0,aap91,aap91,aap91,aap91,Andre Ada Pace
4/28/2001,32512 Christine Drive,0,aar47@drexel.edu,Graduate,961-456-4027,32512 Christine Drive,Master of Science in Clinical Research for Health Professionals,Minor in Jazz and African-American Music,16200.0,0.0,aar47,aar47,aar47,aar47,Addie Anna Reason
5/16/2002,6148 Avon Avenue,0,aas15@drexel.edu,Graduate,446-890-9628,6148 Avon Avenue,Master of Science in Marketing in Marketing,,20000.0,0.0,aas15,aas15,aas15,aas15,Adrienne Alejandra Sabad
6/7/2000,61 Callahan Way,0,aas18@drexel.edu,Undergraduate,933-725-1408,61 Callahan Way,Bachelor of Science in Computing and Security Technology in Computing and Security Technology,,18600.0,76.76,aas18,aas18,aas18,aas18,Audrey Ann Sanderson
12/11/2002,1818 Bay Street,0,aas21@drexel.edu,Undergraduate,621-124-9762,1818 Bay Street,program_name,,20000.0,0.0,aas21,aas21,aas21,aas21,Ann Alyssa Skeens
4/25/2001,"""325 N. 15th Street Philadelphia",0,aas30@drexel.edu,Undergraduate,934-799-8191,"""325 N. 15th Street Philadelphia",Bachelor of Science in Economics and Data Science,Minor in Music,16200.0,0.0,aas30,aas30,aas30,aas30,Albert Andy Smith
6/7/2004,7725 Ney Avenue,0,aas50@drexel.edu,Undergraduate,538-125-2244,7725 Ney Avenue,Bachelor of Science in Business Administration in Sport Business,,20000.0,58.82,aas50,aas50,aas50,aas50,Alton Andre Sowers
7/5/2002,"""101 N 34th Street Philadelphia",0,aas88@drexel.edu,Undergraduate,310-977-7928,"""101 N 34th Street Philadelphia",Bachelor of Science in Dance - Part-time Professional,Minor in Behavioral Economics and Business,18600.0,0.0,aas88,aas88,aas88,aas88,Angelita Ashley Scales
2/3/2004,"""3300 Race Street Philadelphia",0,aas94@drexel.edu,Undergraduate,476-804-4525,"""3300 Race Street Philadelphia",Bachelor of Science in Behavioral Health Counseling,,18600.0,0.0,aas94,aas94,aas94,aas94,Alphonso Antony Saraiva
12/1/2000,1528 Spruce Street,0,aat18@drexel.edu,Graduate,604-313-2694,1528 Spruce Street,"Master of Science(MS) in Ecology, Evolution, and Earth Systems",,16200.0,0.0,aat18,aat18,aat18,aat18,Amy Ann Tibbs
8/1/2002,55620 Jolon Road,0,aat24@drexel.edu,Graduate,492-692-1401,55620 Jolon Road,Doctor of Philosophy in Chemical Engineering,Minor in Human Computer Interaction,16200.0,0.0,aat24,aat24,aat24,aat24,Ana Anita Travis
12/23/2001,Is Affiliated Housing,0,aat64@drexel.edu,Undergraduate,524-855-3298,Is Affiliated Housing,Bachelor of Science in Environmental Science,Minor in Data Science,18600.0,0.0,aat64,aat64,aat64,aat64,Alma Amanda Tidwell
2/8/2001,14285 Wycliff Way,0,aat87@drexel.edu,Graduate,558-291-2857,14285 Wycliff Way,Doctor of Philosophy in Computer Science,,20000.0,79.84,aat87,aat87,aat87,aat87,Andrea Altha Teixeira
1/22/2004,654 Laurette Place,0,aav62@drexel.edu,Undergraduate,252-237-3330,654 Laurette Place,Bachelor of Science in Public Health,,18600.0,26.17,aav62,aav62,aav62,aav62,Ardis Ashley Verstraete
8/19/2003,28250 Dickens Avenue,0,aaw17@drexel.edu,Graduate,875-250-8625,28250 Dickens Avenue,Master of Science in Data Science in Data Science,,18600.0,0.0,aaw17,aaw17,aaw17,aaw17,Abigail Andrea Williams
10/1/1999,"""115 N. 32nd Street Philadelphia",0,aaw59@drexel.edu,Undergraduate,683-655-6576,"""115 N. 32nd Street Philadelphia",Bachelor of Science in Entertainment and Arts Management,Minor in Engineering Management,18600.0,97.11,aaw59,aaw59,aaw59,aaw59,Adam Anthony White
9/9/2002,3 Carson Street,0,abb20@drexel.edu,Graduate,862-338-1269,3 Carson Street,Master of Business Administration in MBA,,18600.0,44.53,abb20,abb20,abb20,abb20,Audrey Brittany Burges
3/7/2004,1725 Oxford Street,0,abb24@drexel.edu,Undergraduate,357-855-2465,1725 Oxford Street,Bachelor of Science in Business Administration in Sport Business,Minor in Music,16200.0,0.0,abb24,abb24,abb24,abb24,Aaron Bradley Burks
8/5/1999,"""325 N. 15th Street Philadelphia",0,abb35@drexel.edu,Undergraduate,357-333-5094,"""325 N. 15th Street Philadelphia",Bachelor of Science in Business Administration in General Business,,16200.0,80.54,abb35,abb35,abb35,abb35,Athena Bonnie Bramuchi
9/14/2002,42223 Edgewood Street,0,abb62@drexel.edu,Undergraduate,709-839-4217,42223 Edgewood Street,Bachelor of Science in Dance - Part-time Professional,Minor in Entrepreneurship and Innovation,18600.0,0.0,abb62,abb62,abb62,abb62,Ann Bonnie Bridge
9/19/2002,22062 Cameron Street,0,abb658@drexel.edu,Undergraduate,432-263-5788,22062 Cameron Street,Bachelor of Science in Graphic Design,Minor in Health Services Administration,18600.0,0.0,abb658,abb658,abb658,abb658,Andrea Brianne Baker
6/13/2002,328 17th Street,0,abc12@drexel.edu,Undergraduate,707-328-5406,328 17th Street,Bachelor of Science in Business Administration in Legal Studies,,20000.0,0.0,abc12,abc12,abc12,abc12,Alissa Beth Cleek
2/11/1999,33300 Mission Boulevard,0,abc16@drexel.edu,Undergraduate,867-316-1264,33300 Mission Boulevard,Bachelor of Arts in Communication,,16200.0,0.0,abc16,abc16,abc16,abc16,Aubrey Benjamin Caruso
3/4/2003,"""3400 Lancaster Avenue Philadelphia",0,abc17@drexel.edu,Undergraduate,673-143-8235,"""3400 Lancaster Avenue Philadelphia",Bachelor of Science in Engineering Technology in Engineering Technology,,16200.0,91.35,abc17,abc17,abc17,abc17,Annie Brenda Childress
11/3/2002,560 Penstock Drive,0,abc24@drexel.edu,Graduate,928-142-4432,560 Penstock Drive,Doctor of Philosophy in Chemistry,,20000.0,0.0,abc24,abc24,abc24,abc24,Annie Bernice Cothran
7/4/2002,3008 Russell Street,0,abc32@drexel.edu,Graduate,631-641-1224,3008 Russell Street,Master of Public Health in Health Management and Policy,,16200.0,0.0,abc32,abc32,abc32,abc32,Annie Beverly Clark
2/11/2003,7725 Ney Avenue,0,abc34@drexel.edu,Graduate,279-925-8011,7725 Ney Avenue,Master of Science in Environmental Policy in Environmental Policy,,20000.0,95.45,abc34,abc34,abc34,abc34,Ann Brittany Carrillo
4/5/2002,1818 Bay Street,0,abc39@drexel.edu,Undergraduate,467-893-9471,1818 Bay Street,Bachelor of Science in Westphal Studies Program,,16200.0,0.0,abc39,abc39,abc39,abc39,Albert Barry Cano
3/24/1999,1528 Spruce Street,0,abc50@drexel.edu,Graduate,414-874-2889,1528 Spruce Street,Master of Public Health in Environmental and Occupational Health,,18600.0,0.0,abc50,abc50,abc50,abc50,Alice Bernice Cassidy
2/26/2004,612 E Street,0,abc99@drexel.edu,Graduate,677-619-3382,612 E Street,Master of Science in Clinical Research for Health Professionals,Minor in Mathematics,18600.0,92.34,abc99,abc99,abc99,abc99,Amy Beth Crain
6/20/2001,2414 Parker Street,0,abd534@drexel.edu,Undergraduate,922-102-9831,2414 Parker Street,Bachelor of Science in Business Administration in Operations and Supply Chain Management,,20000.0,0.0,abd534,abd534,abd534,abd534,Anthony Bill Davis
2/2/2000,"""3200 Race Street Philadelphia",0,abf19@drexel.edu,Undergraduate,382-392-9471,"""3200 Race Street Philadelphia",Bachelor of Science in Biomedical Engineering in Biomedical Engineering,,20000.0,0.0,abf19,abf19,abf19,abf19,Angela Beth Figueroa
9/22/2001,1234 Carmel Street,0,abg31@drexel.edu,Graduate,520-291-4608,1234 Carmel Street,Master of Science in Mechanical Engineering and Mechanics,,20000.0,0.0,abg31,abg31,abg31,abg31,Alan Bradford Giles
4/4/2002,222 Quince Street,0,abg47@drexel.edu,Undergraduate,472-447-7727,222 Quince Street,Bachelor of Arts in Global Public Health,,18600.0,0.0,abg47,abg47,abg47,abg47,Annie Brenda Greig
9/18/2000,1821 Catalpa Way,0,abg55@drexel.edu,Undergraduate,231-229-8688,1821 Catalpa Way,Bachelor of Science in Business Administration in Business Economics (co-major),,16200.0,0.0,abg55,abg55,abg55,abg55,Andrea Brenda Garcia
11/28/2001,1139 Addison Street,0,abg72@drexel.edu,Undergraduate,432-800-5226,1139 Addison Street,Bachelor of Science in Westphal Studies Program,,18600.0,0.0,abg72,abg72,abg72,abg72,Antoinette Betty Goad
3/26/2003,22207 Quinterno Court,0,abh24@drexel.edu,Undergraduate,400-995-9504,22207 Quinterno Court,Bachelor of Science in Economics and Mathematics,,18600.0,0.0,abh24,abh24,abh24,abh24,Armand Brad Harwell
11/23/2002,1937 Carleton Street,0,abh61@drexel.edu,Undergraduate,926-833-3344,1937 Carleton Street,Bachelor of Science in Product Design,Minor in Military Science,16200.0,0.0,abh61,abh61,abh61,abh61,April Bonnie Hernandez
10/24/2002,3027 Badger Drive,0,abh94@drexel.edu,Undergraduate,616-488-3795,3027 Badger Drive,Bachelor of Science in Business Administration in Organizational Management (co-major),,20000.0,93.52,abh94,abh94,abh94,abh94,Arthur Billy Harper
3/25/2003,"""3320 Powelton Avenue Philadelphia",0,abj75@drexel.edu,Undergraduate,670-885-8491,"""3320 Powelton Avenue Philadelphia",Bachelor of Science in Custom-Designed Major,,20000.0,0.0,abj75,abj75,abj75,abj75,Amy Blanca Johnson
6/20/2003,"""101 N 34th Street Philadelphia",0,abk23@drexel.edu,Undergraduate,695-210-9649,"""101 N 34th Street Philadelphia",Bachelor of Arts in Sociology,Minor in Interdisciplinary Problem Solving,20000.0,0.0,abk23,abk23,abk23,abk23,April Belinda Kimme
5/9/1999,12091 Mierkey Road,0,abl24@drexel.edu,Undergraduate,347-259-3655,12091 Mierkey Road,Bachelor of Science in Engineering Technology in Engineering Technology,,18600.0,0.0,abl24,abl24,abl24,abl24,Amanda Barbara Lewis
8/7/2002,"""325 N. 15th Street Philadelphia",0,abm42@drexel.edu,Undergraduate,375-869-7787,"""325 N. 15th Street Philadelphia",Bachelor of Arts in Global Studies,,16200.0,48.83,abm42,abm42,abm42,abm42,Andrea Bernice Mcclay
11/19/2003,2086 Hillside Drive,0,abn83@drexel.edu,Undergraduate,293-547-1524,2086 Hillside Drive,Bachelor of Arts in Political Science,,16200.0,0.0,abn83,abn83,abn83,abn83,Alicia Bonnie Nichols
3/25/2004,3115 North Lake Boulevard,0,abr51@drexel.edu,Graduate,229-836-9785,3115 North Lake Boulevard,Master of Science/Master of Business Administration in Television & Media Management (MS) / Business Administration,,20000.0,77.68,abr51,abr51,abr51,abr51,Anthony Brian Raderstorf
10/3/2000,"""325 N. 15th Street Philadelphia",0,abs233@drexel.edu,Undergraduate,367-916-7458,"""325 N. 15th Street Philadelphia",Bachelor of Science in Architectural Studies,,20000.0,0.0,abs233,abs233,abs233,abs233,Audrey Beatrice Smith
5/12/2004,1481 Stannage Avenue,0,abs49@drexel.edu,Undergraduate,352-331-4694,1481 Stannage Avenue,Bachelor of Science in Data Science in Data Science,Minor in Nonprofit Communication,20000.0,0.0,abs49,abs49,abs49,abs49,Anthony Bryant Stafford
10/24/2002,"""3175 John F Kennedy Boulevard Philadelphia",0,abs824@drexel.edu,Undergraduate,214-640-8729,"""3175 John F Kennedy Boulevard Philadelphia",Bachelor of Science in Game Design & Production,,20000.0,51.7,abs824,abs824,abs824,abs824,Alice Brandy Schlenker
3/9/2001,40902 Ingersoll Terrace,0,aca65@drexel.edu,Graduate,959-739-2511,40902 Ingersoll Terrace,"Master of Science in Biomedical Engineering (MS: School of Biomedical Engineering, Science and Health Systems)",,16200.0,0.0,aca65,aca65,aca65,aca65,Arleen Cathy Allen
2/24/2000,1357 Addison Street,0,aca69@drexel.edu,Graduate,738-218-8718,1357 Addison Street,Master of Science in Business Analytics in Business Analytics,,20000.0,53.38,aca69,aca69,aca69,aca69,Adelaide Carmen Apo
9/23/1999,"""3300 Race Street Philadelphia",0,acc34@drexel.edu,Undergraduate,366-301-9599,"""3300 Race Street Philadelphia",Bachelor of Science in Physics,,20000.0,92.83,acc34,acc34,acc34,acc34,Althea Carol Crittle
11/25/2000,2335 Orchard View Lane,0,acc44@drexel.edu,Undergraduate,937-532-7862,2335 Orchard View Lane,Bachelor of Science in User Experience and Interaction Design,,20000.0,73.19,acc44,acc44,acc44,acc44,Arlene Cecelia Currie
9/28/1999,"""3400 Lancaster Avenue Philadelphia",0,acc85@drexel.edu,Undergraduate,676-673-6274,"""3400 Lancaster Avenue Philadelphia",Bachelor of Arts in Entrepreneurship and Innovation,Minor in Economics,20000.0,0.0,acc85,acc85,acc85,acc85,Addie Cherelle Campbell
8/20/2002,"""3400 Lancaster Avenue Philadelphia",0,acc91@drexel.edu,Undergraduate,480-246-8001,"""3400 Lancaster Avenue Philadelphia",Bachelor of Science in Geoscience,,16200.0,98.17,acc91,acc91,acc91,acc91,Agustin Carlos Cooper
1/27/2001,3819 Vineyard Avenue,0,acc95@drexel.edu,Graduate,217-953-8514,3819 Vineyard Avenue,Master of Science in Nanomaterials,,18600.0,25.52,acc95,acc95,acc95,acc95,Angelo Christopher Clarke
8/21/1999,441 Merritt Avenue,0,acd16@drexel.edu,Undergraduate,248-363-6778,441 Merritt Avenue,Bachelor of Arts in Art History,,18600.0,35.6,acd16,acd16,acd16,acd16,Alisha Carole Dillon
8/11/2003,Is Affiliated Housing,0,acd40@drexel.edu,Undergraduate,359-675-7069,Is Affiliated Housing,Bachelor of Science in Business Administration in Business Economics (co-major),,20000.0,81.89,acd40,acd40,acd40,acd40,Amanda Corinne Deisher
11/4/2000,"""101 N 34th Street Philadelphia",0,acd77@drexel.edu,Undergraduate,555-590-3494,"""101 N 34th Street Philadelphia",Bachelor of Science in Graphic Design,Minor in Fine Arts,18600.0,0.0,acd77,acd77,acd77,acd77,Antonio Clarence Davidson
11/15/2002,30451 Servilla Place,0,ace413@drexel.edu,Undergraduate,763-615-3459,30451 Servilla Place,Bachelor of Science in Behavioral Health Counseling,,16200.0,24.72,ace413,ace413,ace413,ace413,Allen Chris Elswick
12/20/2003,612 E Street,0,acf238@drexel.edu,Undergraduate,840-634-4604,612 E Street,Bachelor of Science in Business Administration in Sport Business,Minor in Women's and Gender Studies,18600.0,1.28,acf238,acf238,acf238,acf238,Antonette Corina Fierst
2/14/2003,"""3175 John F Kennedy Boulevard Philadelphia",0,acf571@drexel.edu,Undergraduate,899-532-3437,"""3175 John F Kennedy Boulevard Philadelphia",Bachelor of Science in General Studies,,20000.0,22.91,acf571,acf571,acf571,acf571,April Claire Fazzone
10/14/2002,918 Cheryl Ann Circle,0,ach20@drexel.edu,Undergraduate,878-935-4861,918 Cheryl Ann Circle,Bachelor of Architecture in Architecture,,16200.0,0.0,ach20,ach20,ach20,ach20,Andrew Charles Harris
9/26/2000,26563 Chisholm Court,0,ach47@drexel.edu,Undergraduate,772-375-1877,26563 Chisholm Court,Bachelor of Science in Computing and Security Technology in Computing and Security Technology,,18600.0,0.0,ach47,ach47,ach47,ach47,Alice Carolyn Hunter
11/8/2002,"""325 N. 15th Street Philadelphia",0,ach88@drexel.edu,Undergraduate,675-642-5082,"""325 N. 15th Street Philadelphia",Bachelor of Science in Interior Design,,16200.0,84.47,ach88,ach88,ach88,ach88,Alicia Cynthia Harrison
4/18/2003,46710 Crawford Street,0,acj32@drexel.edu,Undergraduate,419-204-8801,46710 Crawford Street,Bachelor of Science in Biological Sciences,,18600.0,0.0,acj32,acj32,acj32,acj32,Adrian Charles Jolly
11/16/1999,14524 Lodestar Drive,0,acj55@drexel.edu,Graduate,532-647-4568,14524 Lodestar Drive,Master of Science in Fashion Design,,18600.0,88.72,acj55,acj55,acj55,acj55,Anna Catherine Johnson
8/12/2004,16502 South Main Street,0,acl48@drexel.edu,Graduate,720-464-4694,16502 South Main Street,Master of Science in Applied Behavior Analysis and Special Education,,20000.0,0.0,acl48,acl48,acl48,acl48,Arnulfo Chester Love
1/11/1999,22538 6th Street,0,acl51@drexel.edu,Graduate,498-154-7919,22538 6th Street,Master of Laws in Cyber Law and Data Privacy (LLM) - Quarter Calendar,Minor in English,16200.0,46.78,acl51,acl51,acl51,acl51,Ann Connie Lupien
7/10/2000,24647 Patricia Court,0,acm17@drexel.edu,Graduate,332-472-6604,24647 Patricia Court,Doctor of Philosophy in Mechanical Engineering and Mechanics,Minor in Behavioral Economics and Business,16200.0,79.48,acm17,acm17,acm17,acm17,Aimee Claire Morrison
1/20/2002,22572 Toreador Drive,0,acm24@drexel.edu,Graduate,502-561-6666,22572 Toreador Drive,Master of Science in Nursing (MSN) and Master of Science in Business Administration in Nursing Leadership in Health Systems Management (MSN) / Business Administration,,20000.0,0.0,acm24,acm24,acm24,acm24,Angelina Cynthia Mccabe
8/21/2000,"""101 N 34th Street Philadelphia",0,acm33@drexel.edu,Undergraduate,742-872-1200,"""101 N 34th Street Philadelphia",Bachelor of Science in Architectural Engineering in Architectural Engineering,,18600.0,0.0,acm33,acm33,acm33,acm33,Adeline Charlene Miller
11/3/2001,26466 Mockingbird Lane,0,acm43@drexel.edu,Undergraduate,785-894-3504,26466 Mockingbird Lane,Bachelor of Science in Chemical Engineering in Chemical Engineering,Minor in Sport Coaching Leadership,18600.0,37.6,acm43,acm43,acm43,acm43,Anthony Clifford Miranda
3/2/2003,1753 Carswell Court,0,acm457@drexel.edu,Graduate,444-175-4732,1753 Carswell Court,Master of Science in Biomedicine and Digital Media,,18600.0,25.13,acm457,acm457,acm457,acm457,Alicia Cynthia Moore
2/28/2000,"""3301 Arch Street Philadelphia",0,acm656@drexel.edu,Undergraduate,340-441-6855,"""3301 Arch Street Philadelphia",Doctor in Couple and Family Therapy in Couple and Family Therapy,,16200.0,0.0,acm656,acm656,acm656,acm656,Alfred Charles Moses
