Drexel ID,Last Name,First Name,Middle Name,Date of Birth,Chosen Name,Personal Pronouns,Email,Department,Gender,Marital Status,Ethnicity,Race,Living Address,Mailing Address,Phone Number,Role
ad499,Dobshinsky,Andrew,,3/28/1995,Andrew,,ad499@drexel.edu,Sociology,,Divorced,Non Hispanic,Native,1219 Carleton Street,1219 Carleton Street,371-692-5448,Professor
mr368,Ramaswami,Murali,,2/14/1966,Murali,,mr368@drexel.edu,"Civil, Architectural and Environmental Engineering",,Married,Hispanic or Latino,Other,11 Alden Court,11 Alden Court,889-998-2579,Professor
tpk76,Kirchner,Thomas,P,12/11/1965,Thomas,,tpk76@drexel.edu,Politics,,Married,Hispanic or Latino,Native,7435 East Tulare Avenue,7435 East Tulare Avenue,487-637-3888,Professor
sc905,Cantando,Stephen,,2/4/1953,Stephen,,sc905@drexel.edu,"Biodiversity, Earth & Environmental Science",,Divorced,Non Hispanic,African American/Black,6244 Sun River Drive,6244 Sun River Drive,685-268-2173,Professor
ja522,Aitken,Joanne,,3/12/1974,Joanne,,ja522@drexel.edu,Communication,,Seperated,Non Hispanic,White,2511 Hearst Avenue,2511 Hearst Avenue,653-763-1711,Professor
kfv44,Vresilovic,Kelly,F,1/12/1958,Kelly,,kfv44@drexel.edu,Biology,,Divorced,Non Hispanic,Other,2685 California Street,3526 Sutton Loop,917-125-2660,Professor
cgb939,Broh,Catherine,G,2/8/1992,Catherine,,cgb939@drexel.edu,Chemical and Biological Engineering,,Single,Non Hispanic,Asian,2064 West Columbia Way,2064 West Columbia Way,485-639-9949,Professor
jtd89,Defazio,John,T,3/9/1952,John,,jtd89@drexel.edu,Mathematics,,Divorced,Non Hispanic,White,3610 Story Road,1818 Bay Street,810-231-8149,Professor
dmj535,Jones,Don,M,8/23/1991,Don,,dmj535@drexel.edu,Psychological and Brain Sciences,,Single,Non Hispanic,Native,7435 East Tulare Avenue,7435 East Tulare Avenue,340-229-9552,Professor
rk721,King,Richard,,3/11/1967,Richard,,rk721@drexel.edu,"Biodiversity, Earth & Environmental Science",,Married,Non Hispanic,Native,3008 Russell Street,3008 Russell Street,712-894-2430,Professor
jfk28,Krieger,Jeffrey,F,2/15/1952,Jeffrey,,jfk28@drexel.edu,Engineering Leadership and Society,,Divorced,Non Hispanic,African American/Black,2414 Parker Street,125 John Street,585-748-8092,Professor
ren396,Nalls,Robert,E,7/10/1993,Robert,,ren396@drexel.edu,"Biodiversity, Earth & Environmental Science",,Divorced,Hispanic or Latino,White,32532 Jean Drive,32532 Jean Drive,808-751-9488,Professor
mah422,Heckendorn,Matthew,A,12/22/1974,Matthew,,mah422@drexel.edu,History,,Married,Hispanic or Latino,White,1106 Mission Drive,1106 Mission Drive,251-786-5882,Professor
pb529,Brancaccio,Pia,,2/15/1956,Pia,,pb529@drexel.edu,Chemical and Biological Engineering,,Single,Non Hispanic,African American/Black,145 Grau Drive,145 Grau Drive,456-472-3664,Professor
jfg62,Gregory,Joseph,F,8/25/1992,Joseph,,jfg62@drexel.edu,"Biodiversity, Earth & Environmental Science",,Married,Non Hispanic,Native,43626 Bryant Street,22709 Canyon Terrace Drive,304-632-5116,Professor
dls55,Solomons,Delia,L,9/2/1972,Delia,,dls55@drexel.edu,Global Studies and Modern Languages,,Divorced,Non Hispanic,White,1820 Scenic Avenue,1820 Scenic Avenue,433-964-5162,Professor
hgm62,Moqtaderi,Heather,G,11/20/1963,Heather,,hgm62@drexel.edu,Engineering Leadership and Society,,Divorced,Non Hispanic,African American/Black,5130 Morris Way,37122 Contra Costa Avenue,536-293-5886,Professor
jhl447,Larnerd,Joseph,H,4/8/1979,Joseph,,jhl447@drexel.edu,Communication,,Married,Non Hispanic,Native,5264 Shafter Avenue,5264 Shafter Avenue,354-637-4502,Professor
mb827,B,Monica,,8/2/1991,Monica,,mb827@drexel.edu,Communication,,Widow,Non Hispanic,Native,22207 Quinterno Court,22207 Quinterno Court,787-289-7805,Professor
ks687,Sabo,Katie,,6/27/1983,Katie,,ks687@drexel.edu,Biology,,Married,Hispanic or Latino,Asian,45430 Lauri Lane,2511 Hearst Avenue,389-977-4638,Professor
km246,Metzner,Kenneth,,5/10/1962,Kenneth,,km246@drexel.edu,Chemical and Biological Engineering,,Seperated,Non Hispanic,White,1818 Bay Street,1818 Bay Street,332-448-6622,Professor
sme786,Erwin,Sharon,M,5/10/1980,Sharon,,sme786@drexel.edu,"Civil, Architectural and Environmental Engineering",,Seperated,Non Hispanic,African American/Black,3526 Sutton Loop,3526 Sutton Loop,504-560-8966,Professor
nkv40,Vakharia,Neville,K,5/20/1994,Neville,,nkv40@drexel.edu,Communication,,Widow,Non Hispanic,White,3819 Vineyard Avenue,3819 Vineyard Avenue,964-974-3270,Professor
ceh45,Hernandez,Catherine,E,4/15/1976,Catherine,,ceh45@drexel.edu,Politics,,Single,Hispanic or Latino,Other,3819 Vineyard Avenue,10841 Sutter Circle,592-157-2157,Professor
jrg88,Goodman,Julie,R,7/18/1964,Julie,,jrg88@drexel.edu,Politics,,Married,Hispanic or Latino,Asian,65 Hilltop Lane,65 Hilltop Lane,985-810-6255,Professor
py989,Yau,Pamela,,1/6/1986,Pamela,,py989@drexel.edu,Communication,,Seperated,Hispanic or Latino,White,618 Staley Avenue,618 Staley Avenue,435-287-7797,Professor
jej515,Johnson,Jasmine,E,4/5/1978,Jasmine,,jej515@drexel.edu,Chemistry,,Widow,Hispanic or Latino,Asian,422 Richmond Street,422 Richmond Street,697-944-9548,Professor
lsc74,Coleman,Laura-Edythe,S,10/18/1961,Laura-Edythe,,lsc74@drexel.edu,"Biodiversity, Earth & Environmental Science",,Seperated,Hispanic or Latino,African American/Black,619 Colusa Avenue,619 Colusa Avenue,214-951-5988,Professor
ljb53,Browning,Lindsay,J,8/14/1971,Lindsay,,ljb53@drexel.edu,Mechanical Engineering and Mechanics,,Divorced,Non Hispanic,Native,1357 Addison Street,1357 Addison Street,417-927-4435,Professor
cem278,Moten,Camille,E,9/13/1991,Camille,,cem278@drexel.edu,Chemistry,,Seperated,Non Hispanic,Other,201 Juniper Springs Drive,201 Juniper Springs Drive,246-396-6268,Professor
bh542,Huertas-Agnew,Blanca,,12/24/1956,Blanca,,bh542@drexel.edu,Mechanical Engineering and Mechanics,,Seperated,Hispanic or Latino,Native,915 Sacramento Street,915 Sacramento Street,982-835-7560,Professor
jsm828,Morley,Jennifer,S,6/24/1961,Jennifer,,jsm828@drexel.edu,Mathematics,,Seperated,Hispanic or Latino,White,16502 South Main Street,2747 68th Avenue,449-691-2576,Professor
bwf39,Fishel,Britt,W,9/13/1992,Britt,,bwf39@drexel.edu,"Biodiversity, Earth & Environmental Science",,Divorced,Non Hispanic,Asian,2755 Country Drive,2755 Country Drive,942-905-5319,Professor
ce267,Evans,Clyde,,9/3/1973,Clyde,,ce267@drexel.edu,Politics,,Married,Non Hispanic,African American/Black,553 South Arlington Road,11 Alden Court,525-130-6317,Professor
aq576,Quesada,Albert,,10/9/1987,Albert,,aq576@drexel.edu,"Civil, Architectural and Environmental Engineering",,Divorced,Hispanic or Latino,Native,32532 Jean Drive,20097 Butterfield Drive,269-263-3804,Professor
djm71,Meredith,Dara,J,11/19/1991,Dara,,djm71@drexel.edu,"Biodiversity, Earth & Environmental Science",,Single,Hispanic or Latino,African American/Black,19416 Barclay Road,14347 Corvallis Street,325-336-3491,Professor
mf847,Frederick,Meghan,,2/22/1976,Meghan,,mf847@drexel.edu,Criminology & Justice Studies,,Single,Non Hispanic,Asian,1139 Addison Street,637 Laurelwood Circle,277-919-6572,Professor
vji81,Ifill,Val,J,2/9/1985,Val,,vji81@drexel.edu,"Civil, Architectural and Environmental Engineering",,Single,Hispanic or Latino,White,1821 Catalpa Way,1821 Catalpa Way,248-449-8435,Professor
hs483,Syed,Hassan,,2/27/1971,Hassan,,hs483@drexel.edu,Communication,,Single,Non Hispanic,White,682 Brighton Way,682 Brighton Way,788-525-4938,Professor
ast488,Toll,Abigail,S,4/17/1993,Abigail,,ast488@drexel.edu,Criminology & Justice Studies,,Divorced,Non Hispanic,Native,2335 Orchard View Lane,2335 Orchard View Lane,969-690-1099,Professor
okp451,Prince,Olive,K,9/25/1980,Olive,,okp451@drexel.edu,Chemical and Biological Engineering,,Divorced,Non Hispanic,African American/Black,7573 National Drive,51035 Conifer Drive,962-660-3182,Professor
sed72,Deutsch,Susan,E,6/7/1951,Susan,,sed72@drexel.edu,Materials Science and Engineering,,Seperated,Non Hispanic,Asian,30451 Servilla Place,3905 Lyceum Avenue,882-955-6317,Professor
mcd451,DeSimone,Maureen,C,9/15/1980,Maureen,,mcd451@drexel.edu,Psychological and Brain Sciences,,Seperated,Non Hispanic,White,7435 East Tulare Avenue,12156 Oslo Drive,399-603-9608,Professor
cdb28,Baeza,Chris,D,7/13/1956,Chris,,cdb28@drexel.edu,Mechanical Engineering and Mechanics,,Divorced,Non Hispanic,African American/Black,4936 Sequoia Avenue,4936 Sequoia Avenue,433-323-9564,Professor
nac87,Cassway,Nick,A,12/28/1981,Nick,,nac87@drexel.edu,Global Studies and Modern Languages,,Single,Non Hispanic,African American/Black,6452 El Camino Real,6452 El Camino Real,618-446-3139,Professor
knm78,McGlonn,Kimberly,N,10/10/1967,Kimberly,,knm78@drexel.edu,Chemistry,,Widow,Non Hispanic,Native,23501 Ida Lane,23501 Ida Lane,841-906-5105,Professor
adm41,McClendon,Alphonso,D,5/3/1954,Alphonso,,adm41@drexel.edu,Biology,,Seperated,Non Hispanic,Asian,7573 National Drive,7573 National Drive,850-548-6511,Professor
rah80,Higgins,Rachel,A,6/23/1972,Rachel,,rah80@drexel.edu,Criminology & Justice Studies,,Single,Hispanic or Latino,White,73455 Twentynine Palms Highway,3228 Chettenham Drive,673-644-1092,Professor
tkk23,Kwok,Tsz,K,9/9/1965,Tsz,,tkk23@drexel.edu,Psychological and Brain Sciences,,Divorced,Non Hispanic,African American/Black,654 Laurette Place,654 Laurette Place,424-453-8691,Professor
cq636,Quay,Catherine,,1/12/1959,Catherine,,cq636@drexel.edu,Physics,,Single,Non Hispanic,African American/Black,619 Colusa Avenue,619 Colusa Avenue,469-410-1323,Professor
jh879,He,June,,4/20/1986,June,,jh879@drexel.edu,"Civil, Architectural and Environmental Engineering",,Divorced,Hispanic or Latino,Other,3027 Badger Drive,3027 Badger Drive,428-807-9282,Professor
gm243,Muschio,Glen,,2/24/1956,Glen,,gm243@drexel.edu,Chemical and Biological Engineering,,Married,Non Hispanic,Asian,637 Laurelwood Circle,637 Laurelwood Circle,839-196-1930,Professor
mep601,Petrovich,Mark,E,2/23/1956,Mark,,mep601@drexel.edu,Psychological and Brain Sciences,,Seperated,Hispanic or Latino,White,22207 Quinterno Court,22207 Quinterno Court,751-470-4602,Professor
kmg715,Gross,Kevin,M,8/16/1972,Kevin,,kmg715@drexel.edu,English & Philosophy,,Married,Hispanic or Latino,African American/Black,468 Raymond Drive,468 Raymond Drive,443-474-2085,Professor
mgw62,Wagner,Michael,G,1/16/1977,Michael,,mgw62@drexel.edu,Chemistry,,Widow,Non Hispanic,African American/Black,11256 Palos Verdes Court,11256 Palos Verdes Court,906-737-2357,Professor
rel795,Lloyd,Rob,E,6/7/1981,Rob,,rel795@drexel.edu,Global Studies and Modern Languages,,Single,Non Hispanic,Native,1013 Balboa Avenue,6716 South Mariposa Lane,529-658-7055,Professor
nej42,Jushchyshyn,Nicholas,E,2/14/1953,Nicholas,,nej42@drexel.edu,Physics,,Married,Non Hispanic,White,33300 Mission Boulevard,33300 Mission Boulevard,563-536-9835,Professor
tar342,Rowe,Tony,A,8/27/1980,Tony,,tar342@drexel.edu,Psychological and Brain Sciences,,Single,Hispanic or Latino,White,2708 Mabel Street,2708 Mabel Street,821-108-7089,Professor
msb23,Bridges,Milady,S,10/11/1978,Milady,,msb23@drexel.edu,Chemical and Biological Engineering,,Seperated,Non Hispanic,Native,465 Humboldt Way,465 Humboldt Way,838-759-6364,Professor
fjl84,Lee,Frank,J,2/25/1976,Frank,,fjl84@drexel.edu,History,,Seperated,Hispanic or Latino,Asian,266 South J Street,1219 Carleton Street,673-780-8483,Professor
mcm36,Mouat,Maria,Cecilia,10/13/1956,Maria,,mcm36@drexel.edu,Chemistry,,Single,Non Hispanic,Other,612 E Street,612 E Street,872-225-6886,Professor
ep958,Polyak,Emil,,2/11/1963,Emil,,ep958@drexel.edu,History,,Seperated,Hispanic or Latino,Asian,3115 North Lake Boulevard,3115 North Lake Boulevard,575-910-2545,Professor
ats93,Stein,Abigail,T,5/8/1995,Abigail,,ats93@drexel.edu,Politics,,Divorced,Hispanic or Latino,Native,3072 The Alameda,3072 The Alameda,344-775-9636,Professor
sr195,Rank,Stefan,,10/25/1972,Stefan,,sr195@drexel.edu,History,,Single,Non Hispanic,White,4876 Norris Road,4876 Norris Road,235-824-5965,Professor
pjd84,Diefenbach,Paul,J,7/28/1967,Paul,,pjd84@drexel.edu,Criminology & Justice Studies,,Married,Non Hispanic,Native,618 Staley Avenue,618 Staley Avenue,787-468-2466,Professor
jmw20,Waite,Jeanne,M,3/5/1963,Jeanne,,jmw20@drexel.edu,Engineering Leadership and Society,,Single,Non Hispanic,Other,65 Hilltop Lane,65 Hilltop Lane,344-743-1507,Professor
sl206,Lacek,Shannon,,1/13/1984,Shannon,,sl206@drexel.edu,Chemical and Biological Engineering,,Married,Hispanic or Latino,White,856 Milton Street,856 Milton Street,776-848-3432,Professor
tnl78,Laird,Taneshia,N,10/4/1978,Taneshia,,tnl78@drexel.edu,Mechanical Engineering and Mechanics,,Single,Non Hispanic,Other,2134 West Mills Drive,2134 West Mills Drive,722-440-2430,Professor
