drexelID,name,action,system,date,time
lew11,Lauren Wiemer,logged-in,PuTTY,2021-01-31,00:15:55
abd534,Anthony Davis,logged-in,PuTTY,2021-01-31,00:27:45
drn45,Donald Navarra,logged-in,Degree Works,2021-01-31,01:59:26
pte89,Peter Elmore,logged-in,Tux,2021-01-31,04:14:37
sjn25,Sabrina Nunez,logged-in,McGraw-Hill Connect,2021-01-31,04:54:48
erm71,Eugene Monteiro,logged-in,Degree Works,2021-01-31,05:22:42
cnm84,Carmen Maldonado,accessed,Zoom,2021-01-31,09:12:25
lha18,Lillian Anderson,logged-in,Blackboard Learn,2021-01-31,10:46:43
tet75,Theresa Taylor,logged-in,PuTTY,2021-01-31,13:05:05
tto40,Thomas Osmond,logged-in,Degree Works,2021-01-31,13:54:57
mes13,Melissa Shields,logged-in,Degree Works,2021-01-31,16:51:46
tjw601,Terry Weems,logged-in,PuTTY,2021-01-31,17:13:22
bls49,Bernice Simmons,logged-in,Tux,2021-01-31,17:37:53
mtb23,Marilyn Berger,logged-in,Blackboard Learn,2021-01-31,20:02:44
sla20,Stephen Aikens,logged-in,McGraw-Hill Connect,2021-01-31,21:40:41
fam99,Fred Melendez,logged-in,Degree Works,2021-01-31,23:37:27
jrf64,John Felder,logged-in,Blackboard Learn,2021-02-01,00:02:47
ejb84,Edgardo Boyles,logged-in,McGraw-Hill Connect,2021-02-01,02:34:49
led958,Linda Dickerson,logged-in,Blackboard Learn,2021-02-01,05:22:52
cng48,Carmen Goodson,logged-in,Blackboard Learn,2021-02-01,06:08:47
jhv18,James Valentine,logged-in,Degree Works,2021-02-01,08:36:46
jlc68,John Chapman,logged-in,McGraw-Hill Connect,2021-02-01,10:26:50
jjs95,John Simmons,logged-in,PuTTY,2021-02-01,13:58:09
cjd98,Charles Davis,logged-in,Degree Works,2021-02-01,16:53:49
rwp27,Ronald Peterson,logged-in,Degree Works,2021-02-01,18:15:11
gjc952,George Cooper,logged-in,Blackboard Learn,2021-02-01,22:03:43
ejg83,Eddie Groth,logged-in,McGraw-Hill Connect,2021-02-02,00:12:15
rjl477,Robert Lee,logged-in,Tux,2021-02-02,04:01:31
hgg78,Helen Gard,logged-in,Tux,2021-02-02,06:07:16
ljm94,Luther Moczygemba,logged-in,Blackboard Learn,2021-02-02,06:55:20
nar26,Nancy Rivers,logged-in,PuTTY,2021-02-02,10:29:53
chs51,Christopher Stansberry,accessed,Zoom,2021-02-02,10:34:58
bmm55,Bruce Murphy,accessed,Zoom,2021-02-02,11:13:59
scg104,Sylvia Gerrity,logged-in,Blackboard Learn,2021-02-02,13:32:05
kap39,Kimberly Powell,logged-in,Degree Works,2021-02-02,15:35:21
atm699,Angie Mccammon,accessed,Zoom,2021-02-02,16:18:47
fcm58,Fawn Morrow,logged-in,Degree Works,2021-02-02,19:53:37
drh316,Douglas Hamrick,created-room,Zoom,2021-02-02,22:31:58
kkm49,Keri Mcwhorter,logged-in,McGraw-Hill Connect,2021-02-02,23:24:44
mgs32,Mack Strother,logged-in,McGraw-Hill Connect,2021-02-03,03:15:51
cak842,Cinda Kellogg,accessed,Zoom,2021-02-03,04:52:53
jew81,Jeffrey Webb,logged-in,Blackboard Learn,2021-02-03,07:43:31
gsd76,Grace Dean,logged-in,McGraw-Hill Connect,2021-02-03,11:13:35
jwl72,Joel Losey,logged-in,Degree Works,2021-02-03,12:52:53
ejw99,Eric West,logged-in,Degree Works,2021-02-03,16:07:19
tjm49,Tom Morales,accessed,Zoom,2021-02-03,19:46:34
mjd41,Michael Ditman,logged-in,McGraw-Hill Connect,2021-02-03,21:05:47
cek89,Carolyn Kinnan,logged-in,PuTTY,2021-02-03,22:59:32
sns39,Stanley Steckler,logged-in,Blackboard Learn,2021-02-04,00:31:50
mvs869,Marsha Santana,logged-in,McGraw-Hill Connect,2021-02-04,01:57:31
acc91,Agustin Cooper,logged-in,Degree Works,2021-02-04,03:44:42
bka82,Betty Allain,logged-in,Blackboard Learn,2021-02-04,06:40:36
dpm592,David Miller,logged-in,Blackboard Learn,2021-02-04,08:37:59
wjs833,William Sullivan,logged-in,Degree Works,2021-02-04,09:47:31
mcr68,Mildred Rayburn,logged-in,McGraw-Hill Connect,2021-02-04,12:13:37
csa28,Casey Alverez,logged-in,Tux,2021-02-04,14:31:57
paf13,Phyllis Frisco,logged-in,Blackboard Learn,2021-02-04,16:49:16
skk589,Stephen Kirby,logged-in,McGraw-Hill Connect,2021-02-04,18:39:41
slp16,Steve Pound,logged-in,Tux,2021-02-04,20:15:48
gad99,Gloria Davie,accessed,Zoom,2021-02-04,23:18:11
vrf63,Valerie Furnace,logged-in,McGraw-Hill Connect,2021-02-05,02:59:06
mhg89,Milton Garza,logged-in,Blackboard Learn,2021-02-05,06:01:33
vjn90,Virginia Nardini,logged-in,Tux,2021-02-05,07:04:06
jhg19,John Gee,logged-in,McGraw-Hill Connect,2021-02-05,07:37:55
sjg93,Stephen Green,logged-in,Tux,2021-02-05,08:42:51
lgs12,Laura Self,logged-in,PuTTY,2021-02-05,10:09:30
wjh56,Wilbur Hunter,logged-in,PuTTY,2021-02-05,10:44:53
pgg82,Phillip Gilchrest,logged-in,McGraw-Hill Connect,2021-02-05,13:37:37
jcl74,Jeffrey Leggett,logged-in,PuTTY,2021-02-05,14:01:25
csd64,Curtis Dean,logged-in,McGraw-Hill Connect,2021-02-05,14:54:14
err22,Esther Reyna,logged-in,McGraw-Hill Connect,2021-02-05,15:11:09
lws482,Luis Santiago,logged-in,McGraw-Hill Connect,2021-02-05,15:13:00
amd19,Andrew Dwyer,logged-in,McGraw-Hill Connect,2021-02-05,17:25:25
ans75,Amelia Shilt,logged-in,Tux,2021-02-05,17:28:11
jjr412,Julian Roberts,accessed,Zoom,2021-02-05,19:39:41
kcf801,Kathryn Foreman,logged-in,McGraw-Hill Connect,2021-02-05,21:49:13
lmd36,Latisha Dorman,logged-in,Degree Works,2021-02-05,22:16:08
cmd12,Cleo Denny,logged-in,Degree Works,2021-02-05,22:27:43
akp31,Amanda Parker,logged-in,Degree Works,2021-02-05,22:39:26
avd71,Anna Dahlheimer,logged-in,Tux,2021-02-06,00:56:17
cjc45,Cindy Cole,logged-in,McGraw-Hill Connect,2021-02-06,03:18:14
lmk37,Luz King,logged-in,Blackboard Learn,2021-02-06,06:45:35
dno26,Diana Oliver,logged-in,PuTTY,2021-02-06,07:45:09
drc57,David Coates,logged-in,Degree Works,2021-02-06,09:13:10
cke15,Chris Erickson,logged-in,Degree Works,2021-02-06,10:17:47
sem52,Shannon Monroe,logged-in,Blackboard Learn,2021-02-06,13:16:54
rps43,Rafael Swain,logged-in,Blackboard Learn,2021-02-06,14:26:43
mwm50,Mark Mccord,logged-in,McGraw-Hill Connect,2021-02-06,16:16:29
kmc79,Karin Cervera,logged-in,Tux,2021-02-06,17:49:42
mgb55,Marion Bichler,accessed,Zoom,2021-02-06,19:34:37
mdb76,Margaret Burgess,accessed,Zoom,2021-02-06,20:19:02
dba45,David Alexander,logged-in,Degree Works,2021-02-06,21:02:34
gpr95,Gloria Rhodes,logged-in,McGraw-Hill Connect,2021-02-07,00:30:18
lml913,Laura Low,logged-in,McGraw-Hill Connect,2021-02-07,00:53:48
rpb63,Robert Bell,logged-in,Tux,2021-02-07,02:47:05
dmv86,Dale Visick,logged-in,Degree Works,2021-02-07,06:25:27
lgm60,Luke Murphy,logged-in,Tux,2021-02-07,09:04:01
wrw23,William Watson,logged-in,Tux,2021-02-07,10:46:42
crt652,Connie Taylor,logged-in,Degree Works,2021-02-07,14:15:16
jjs24,Jose Simmons,logged-in,Tux,2021-02-07,15:42:27
mty50,Michael Yoder,logged-in,Degree Works,2021-02-07,19:11:07
lmr26,Lindsay Rodriguez,logged-in,PuTTY,2021-02-07,21:22:53
jjp51,Judith Paul,logged-in,Degree Works,2021-02-07,22:07:24
pta80,Preston Anderson,logged-in,Degree Works,2021-02-07,22:13:07
mks65,Monique Sanders,created-room,Zoom,2021-02-08,01:48:28
ccj84,Charlotte Johnson,logged-in,McGraw-Hill Connect,2021-02-08,02:20:14
jsp14,Jo Phillips,logged-in,Degree Works,2021-02-08,05:44:27
bfk17,Brittany Kossman,logged-in,PuTTY,2021-02-08,08:33:58
vjk37,Vincent Kelly,logged-in,McGraw-Hill Connect,2021-02-08,12:19:26
drp571,Devin Pierce,logged-in,Blackboard Learn,2021-02-08,13:12:12
btg15,Bernadette Goldston,logged-in,Blackboard Learn,2021-02-08,17:06:18
jsb79,Janice Bonilla,logged-in,Tux,2021-02-08,21:03:21
wjn202,Wayne Nutter,logged-in,Blackboard Learn,2021-02-08,22:39:11
rsr328,Rose Ruffin,logged-in,Tux,2021-02-08,22:42:22
cdv30,Charles Vanderpool,logged-in,Blackboard Learn,2021-02-09,01:59:12
smm37,Susan Moore,logged-in,PuTTY,2021-02-09,02:16:36
jmj13,Jonathan Johnson,logged-in,Degree Works,2021-02-09,04:16:32
sjs70,Steven Smith,logged-in,McGraw-Hill Connect,2021-02-09,06:48:05
bhh51,Burton Hudson,logged-in,McGraw-Hill Connect,2021-02-09,10:17:52
evm40,Emma Mccluer,logged-in,McGraw-Hill Connect,2021-02-09,10:47:50
mrt48,Mellissa Turcotte,logged-in,PuTTY,2021-02-09,11:17:01
ppl33,Paul Long,accessed,Zoom,2021-02-09,13:41:47
rkc828,Robert Cline,logged-in,McGraw-Hill Connect,2021-02-09,15:56:22
nsb44,Nichole Bennett,logged-in,Tux,2021-02-09,17:41:31
peg586,Paul Gibson,logged-in,McGraw-Hill Connect,2021-02-09,19:26:27
dgv79,Donald Vrabel,logged-in,Blackboard Learn,2021-02-09,21:38:35
tas47,Tomeka Sirois,logged-in,McGraw-Hill Connect,2021-02-09,22:32:45
jkg511,Joseph Grigg,logged-in,Tux,2021-02-09,23:49:31
pkk76,Patricia Kio,logged-in,McGraw-Hill Connect,2021-02-10,01:44:14
lfj96,Lydia Jolly,logged-in,McGraw-Hill Connect,2021-02-10,01:52:52
jmc13,Julia Christo,logged-in,Tux,2021-02-10,04:06:58
sml99,Shin Lassiter,logged-in,Tux,2021-02-10,06:08:22
cag59,Carolina Gallegos,logged-in,Blackboard Learn,2021-02-10,07:03:57
vcb499,Vernon Barker,logged-in,McGraw-Hill Connect,2021-02-10,09:23:40
msp29,Michael Pointer,logged-in,Degree Works,2021-02-10,10:33:53
jjg92,Jeffrey Gay,logged-in,Tux,2021-02-10,11:26:20
jrh75,James Huizar,logged-in,McGraw-Hill Connect,2021-02-10,14:23:49
mnc282,Mary Chavez,logged-in,McGraw-Hill Connect,2021-02-10,15:02:28
jct918,Josette Turner,accessed,Zoom,2021-02-10,15:47:51
jrj87,Jamison Johnson,logged-in,Degree Works,2021-02-10,17:45:41
dbj16,David Jones,accessed,Zoom,2021-02-10,19:07:19
dhh39,Dora Howard,logged-in,PuTTY,2021-02-10,22:53:18
jdd74,Joel Demarais,logged-in,PuTTY,2021-02-11,01:36:19
jcb50,Johanna Bender,logged-in,Tux,2021-02-11,04:35:07
rml50,Rhonda Lariviere,logged-in,PuTTY,2021-02-11,08:15:46
djg532,Douglas Gavin,created-room,Zoom,2021-02-11,10:44:44
lcb57,Lindsay Byrd,created-room,Zoom,2021-02-11,14:11:00
pjs96,Paul Still,logged-in,Degree Works,2021-02-11,15:00:47
anp93,Alfonso Perkins,logged-in,PuTTY,2021-02-11,16:50:45
kbb97,Kathy Bolton,logged-in,Tux,2021-02-11,17:28:58
rjg69,Robert Gardner,logged-in,McGraw-Hill Connect,2021-02-11,20:21:15
djh32,Dale Hall,logged-in,Tux,2021-02-11,22:59:47
ktk42,Karen Kennedy,accessed,Zoom,2021-02-12,01:10:03
lkr95,Lovetta Rumph,logged-in,Tux,2021-02-12,02:29:07
ebh96,Emilie Hawkins,logged-in,Degree Works,2021-02-12,02:41:47
vlw50,Vicki Walter,logged-in,Tux,2021-02-12,03:22:59
pas91,Priscilla Stupak,logged-in,PuTTY,2021-02-12,04:00:17
sjp50,Samuel Paul,logged-in,Blackboard Learn,2021-02-12,07:59:50
mab976,Maureen Bradley,logged-in,Blackboard Learn,2021-02-12,08:46:47
mab82,Michael Barnes,logged-in,Degree Works,2021-02-12,11:09:49
mmr97,Mary Rush,logged-in,PuTTY,2021-02-12,14:01:36
pmr75,Pam Roberts,accessed,Zoom,2021-02-12,17:49:20
wks60,William Sampson,logged-in,Degree Works,2021-02-12,18:36:15
cjw48,Carol Wallace,logged-in,McGraw-Hill Connect,2021-02-12,18:56:47
ews85,Eric Santiago,accessed,Zoom,2021-02-12,20:06:39
jmn53,James Nasers,logged-in,PuTTY,2021-02-12,20:21:27
rwm37,Ryan Manning,logged-in,Blackboard Learn,2021-02-12,21:39:29
bjh86,Bobby Herron,logged-in,McGraw-Hill Connect,2021-02-13,00:25:34
rag21,Ronald Gonzalez,logged-in,Degree Works,2021-02-13,00:59:47
vsc25,Vito Campbell,logged-in,McGraw-Hill Connect,2021-02-13,02:06:08
sco17,Sandra Osborne,logged-in,McGraw-Hill Connect,2021-02-13,02:54:28
vls368,Victoria Scott,logged-in,Tux,2021-02-13,05:34:36
bcp20,Brian Phelan,logged-in,Tux,2021-02-13,08:31:12
ddp78,Dinah Polo,created-room,Zoom,2021-02-13,12:11:17
has47,Harold Santos,logged-in,Blackboard Learn,2021-02-13,12:30:26
bvd529,Brenda Dartez,logged-in,McGraw-Hill Connect,2021-02-13,13:30:09
emr16,Earline Roddy,logged-in,Blackboard Learn,2021-02-13,15:37:11
baa10,Betty Alexander,logged-in,Degree Works,2021-02-13,17:56:24
lch503,Lydia High,created-room,Zoom,2021-02-13,20:01:43
abb62,Ann Bridge,logged-in,Tux,2021-02-13,23:45:48
ppm35,Phyllis Medina,logged-in,Tux,2021-02-14,03:35:37
jdh72,Jerry Henke,logged-in,McGraw-Hill Connect,2021-02-14,05:48:19
atb26,Aaron Bryant,logged-in,Degree Works,2021-02-14,06:04:02
rar98,Ryan Rivera,logged-in,Degree Works,2021-02-14,08:26:53
dtf74,Donald Felberbaum,logged-in,McGraw-Hill Connect,2021-02-14,10:31:50
mbl837,Monica Leverenz,logged-in,Degree Works,2021-02-14,14:17:34
agm60,Ann Macklin,logged-in,Blackboard Learn,2021-02-14,16:37:26
klt729,Kara Thomas,logged-in,Blackboard Learn,2021-02-14,16:46:14
jcb61,Jonathan Brown,accessed,Zoom,2021-02-14,20:22:30
jlm48,Jose Morin,logged-in,Blackboard Learn,2021-02-15,00:10:53
mac38,Melissa Coleman,logged-in,Degree Works,2021-02-15,02:27:30
lti54,Louise Ikehara,logged-in,Tux,2021-02-15,04:41:34
kdg43,Kristopher Garcia,logged-in,Tux,2021-02-15,08:15:46
mlh58,Mary Huber,logged-in,McGraw-Hill Connect,2021-02-15,11:55:20
grf29,Gary Fralick,logged-in,McGraw-Hill Connect,2021-02-15,12:39:03
cac434,Clifford Creech,accessed,Zoom,2021-02-15,16:11:30
les66,Lisa Salinas,logged-in,Blackboard Learn,2021-02-15,18:31:39
arr28,Arthur Robinson,logged-in,Blackboard Learn,2021-02-15,21:44:53
nin71,Norman Newman,logged-in,Degree Works,2021-02-16,00:04:03
mjt34,Maria Trader,logged-in,Tux,2021-02-16,02:03:45
wjs90,Wm Swearinger,logged-in,PuTTY,2021-02-16,05:58:00
arr72,Arden Richardson,logged-in,McGraw-Hill Connect,2021-02-16,06:41:57
ljb55,Lawrence Billups,logged-in,McGraw-Hill Connect,2021-02-16,10:26:54
jth89,John Hankins,logged-in,McGraw-Hill Connect,2021-02-16,14:09:28
mgr28,Mary Ross,logged-in,Degree Works,2021-02-16,15:34:16
jkd15,Jay Dorsey,logged-in,PuTTY,2021-02-16,16:32:22
jlb283,Judy Birkland,logged-in,PuTTY,2021-02-16,17:05:33
dmy54,Dean Yingst,logged-in,Degree Works,2021-02-16,20:12:13
rjg39,Robert Good,logged-in,Degree Works,2021-02-16,22:43:47
amk83,Annie Kearney,logged-in,McGraw-Hill Connect,2021-02-17,01:27:43
lmd98,Leroy Donahue,logged-in,Blackboard Learn,2021-02-17,02:49:15
gda17,George Anderson,logged-in,Tux,2021-02-17,03:48:07
fkw83,Faye Williams,logged-in,Blackboard Learn,2021-02-17,06:02:46
msf18,Merna Ferretti,logged-in,Blackboard Learn,2021-02-17,06:52:28
lem99,Lawrence Mercer,logged-in,PuTTY,2021-02-17,08:36:40
egc42,Elizabeth Cox,logged-in,PuTTY,2021-02-17,09:36:02
aeb744,Anthony Booker,logged-in,Degree Works,2021-02-17,09:49:42
ren74,Ronald North,accessed,Zoom,2021-02-17,11:53:22
mah54,Michael Harris,accessed,Zoom,2021-02-17,12:37:24
lkr95,Lovetta Rumph,logged-in,McGraw-Hill Connect,2021-02-17,15:29:12
dlc85,David Cline,logged-in,Degree Works,2021-02-17,19:14:06
ajb107,Alida Baptiste,logged-in,Tux,2021-02-17,21:05:48
jbs75,Juan Stensrud,logged-in,PuTTY,2021-02-18,00:59:30
jes67,Joseph Smith,logged-in,Degree Works,2021-02-18,04:04:02
bcs995,Betty Stanely,logged-in,Blackboard Learn,2021-02-18,07:31:26
meb54,Marc Beecher,logged-in,Blackboard Learn,2021-02-18,07:37:35
apt186,Albert Taylor,logged-in,Degree Works,2021-02-18,09:48:44
jah49,Janie Hayden,logged-in,McGraw-Hill Connect,2021-02-18,13:47:34
apa463,Alan Alvidrez,accessed,Zoom,2021-02-18,16:44:01
kws32,Keith Shepherd,created-room,Zoom,2021-02-18,17:21:16
rjg63,Robert Greene,logged-in,PuTTY,2021-02-18,17:28:42
ljh42,Larry Haar,accessed,Zoom,2021-02-18,18:52:34
ceb39,Charles Belcher,logged-in,PuTTY,2021-02-18,21:11:33
jsy99,John Yates,logged-in,Blackboard Learn,2021-02-18,23:36:18
bjm28,Billy Marrow,accessed,Zoom,2021-02-19,02:05:52
lkp79,Lucina Presler,logged-in,Blackboard Learn,2021-02-19,05:37:27
gpp80,George Perkins,logged-in,McGraw-Hill Connect,2021-02-19,09:32:21
pkc15,Patricia Cook,logged-in,PuTTY,2021-02-19,09:42:26
pgl11,Patricia Lines,logged-in,Degree Works,2021-02-19,11:49:08
pmg41,Philip Goularte,logged-in,PuTTY,2021-02-19,14:33:56
tha85,Thomas Anderson,logged-in,Degree Works,2021-02-19,14:58:03
dmw94,David Wuest,logged-in,Tux,2021-02-19,16:43:21
wdi53,William Irby,logged-in,PuTTY,2021-02-19,16:48:14
jab61,Joan Beaudoin,logged-in,McGraw-Hill Connect,2021-02-19,17:20:22
kme16,Kendrick Edwards,logged-in,Blackboard Learn,2021-02-19,20:16:32
kkp95,Kenneth Pittman,logged-in,McGraw-Hill Connect,2021-02-19,23:48:33
rbd151,Ronald Doiron,logged-in,Blackboard Learn,2021-02-20,03:14:46
sjk78,Steven Kruse,logged-in,Degree Works,2021-02-20,06:32:20
jkc66,James Cloud,logged-in,Tux,2021-02-20,07:41:45
klr82,Kevin Rogers,logged-in,Tux,2021-02-20,07:56:05
ees51,Elvin Smith,logged-in,Degree Works,2021-02-20,10:32:33
jdd22,John Dillon,logged-in,Degree Works,2021-02-20,13:09:13
rbo395,Robert Oconor,logged-in,Blackboard Learn,2021-02-20,13:30:40
jjw944,Jarvis Woodberry,logged-in,McGraw-Hill Connect,2021-02-20,14:15:26
dll98,Dorothy Lewis,logged-in,PuTTY,2021-02-20,17:42:44
hmc85,Helene Carlson,accessed,Zoom,2021-02-20,18:08:45
jjr96,Jimmy Rodriguez,logged-in,McGraw-Hill Connect,2021-02-20,18:32:17
jbs90,Jean Swan,logged-in,Degree Works,2021-02-20,19:31:45
rdf48,Roy Foster,accessed,Zoom,2021-02-20,23:22:13
jnh152,Jamie Hughes,logged-in,PuTTY,2021-02-21,00:48:08
rks86,Richard Surber,logged-in,McGraw-Hill Connect,2021-02-21,01:03:21
jjs94,Joshua Sims,logged-in,McGraw-Hill Connect,2021-02-21,01:13:31
aah89,Angie Haughney,logged-in,McGraw-Hill Connect,2021-02-21,02:48:55
pef369,Paul Fierro,logged-in,Degree Works,2021-02-21,06:46:34
jvw31,Joann Wright,created-room,Zoom,2021-02-21,09:43:36
ert71,Edward Tucker,logged-in,Tux,2021-02-21,12:42:57
jjc85,Jenna Cox,logged-in,Tux,2021-02-21,15:39:30
tmb72,Tammy Burnett,logged-in,Blackboard Learn,2021-02-21,18:16:12
amm16,Amy Malley,logged-in,PuTTY,2021-02-21,21:58:42
ejr92,Elvin Ramirez,logged-in,McGraw-Hill Connect,2021-02-21,22:29:43
cpk35,Carrie Khalid,accessed,Zoom,2021-02-22,02:20:11
kfh34,Kenneth Hruska,logged-in,PuTTY,2021-02-22,02:54:57
jgs73,Janice Southard,logged-in,Tux,2021-02-22,04:44:41
krh62,Kenny Helems,logged-in,Tux,2021-02-22,07:01:55
bcs59,Betty Spader,logged-in,McGraw-Hill Connect,2021-02-22,09:21:01
bjh86,Bobby Herron,logged-in,Tux,2021-02-22,12:43:29
mmh33,Martha Hufford,logged-in,PuTTY,2021-02-22,15:04:17
bcy65,Beatrice Yoes,logged-in,Degree Works,2021-02-22,18:36:33
krd43,Kandi Dodge,logged-in,Blackboard Learn,2021-02-22,22:01:10
psp606,Peter Pigman,created-room,Zoom,2021-02-22,23:31:42
ibs358,Irma Sager,logged-in,PuTTY,2021-02-22,23:50:17
caw74,Cynthia Walker,logged-in,PuTTY,2021-02-23,01:11:08
gjv46,George Vallone,logged-in,Tux,2021-02-23,04:37:51
mfl77,Mark Lavoie,logged-in,Degree Works,2021-02-23,04:41:33
jjc763,James Chaffin,created-room,Zoom,2021-02-23,05:30:36
feg16,Frieda Gale,logged-in,Tux,2021-02-23,05:42:47
bkr15,Brandy Ramsey,logged-in,McGraw-Hill Connect,2021-02-23,09:08:10
naw97,Nancy Willoughby,logged-in,Blackboard Learn,2021-02-23,09:25:28
flp568,Francisco Page,logged-in,Degree Works,2021-02-23,12:45:19
jbl38,John Long,logged-in,Degree Works,2021-02-23,14:09:18
kam30,Karen Magaldi,logged-in,Tux,2021-02-23,17:46:34
tec41,Trudie Capone,logged-in,McGraw-Hill Connect,2021-02-23,20:45:26
bln60,Bryan Nickson,logged-in,Tux,2021-02-24,00:15:54
ltl11,Lucille Lundy,accessed,Zoom,2021-02-24,03:43:17
mms39,Mary Stacey,logged-in,Blackboard Learn,2021-02-24,07:37:30
njd45,Neal Doiron,logged-in,Tux,2021-02-24,09:56:03
dob91,Dylan Beaty,accessed,Zoom,2021-02-24,10:27:37
tdr31,Tina Richter,logged-in,Blackboard Learn,2021-02-24,14:22:58
onc698,Olga Cartagena,logged-in,Blackboard Learn,2021-02-24,16:16:40
rmb72,Robert Ballew,logged-in,Tux,2021-02-24,16:44:25
jbd755,Joaquin Driscoll,logged-in,PuTTY,2021-02-24,18:14:00
ssf616,Stephen Farris,logged-in,PuTTY,2021-02-24,21:18:13
cmp96,Caitlin Patten,logged-in,Blackboard Learn,2021-02-24,23:28:35
bmj48,Betty Jahr,logged-in,Tux,2021-02-25,03:22:04
hpg462,Harvey Gonzales,logged-in,PuTTY,2021-02-25,06:20:16
wlw33,Willie Williams,logged-in,Blackboard Learn,2021-02-25,09:22:33
mkm44,Mary Miller,logged-in,PuTTY,2021-02-25,12:34:41
bhn44,Brad Noe,logged-in,Blackboard Learn,2021-02-25,14:17:04
rbe72,Robert Eichelberger,logged-in,McGraw-Hill Connect,2021-02-25,16:06:31
tjh59,Theodore Hansen,logged-in,Degree Works,2021-02-25,18:36:46
jjg88,Jeanette Garcia,logged-in,McGraw-Hill Connect,2021-02-25,20:16:07
mmc13,Mildred Cruzan,logged-in,Degree Works,2021-02-25,21:59:13
cdp95,Cheryl Person,logged-in,Degree Works,2021-02-25,23:22:25
ddm21,Dennis Mathieu,logged-in,Degree Works,2021-02-26,01:18:21
