drexelID,name,action,location,date,time
vjj24,Vern Johnson,scanned in to,Drexel Recreation Center,2021-03-14,05:53:37
bkf76,Betsy Fleming,scanned in to,Drexel Recreation Center,2021-03-14,07:56:08
mlb59,Martha Baez,scanned in to,Drexel Recreation Center,2021-03-14,08:01:48
jpu21,Jane Ulloa,scanned in to,Drexel Recreation Center,2021-03-14,10:10:56
rsj964,Rosetta Jones,scanned in to,Drexel Recreation Center,2021-03-14,10:50:12
jwt85,Jose Thompson,scanned in to,Drexel Recreation Center,2021-03-14,14:23:45
lew11,Lauren Wiemer,scanned in to,Drexel Recreation Center,2021-03-14,17:26:30
rdt44,Ramon Tewell,scanned in to,Drexel Recreation Center,2021-03-14,18:57:48
pmw70,Pauline Wilson,scanned in to,Drexel Recreation Center,2021-03-14,22:47:11
ajm91,Amy Mackey,scanned in to,Drexel Recreation Center,2021-03-14,23:33:30
alc621,Andrea Casares,scanned in to,Drexel Recreation Center,2021-03-15,01:11:14
rhb43,Rogelio Benitez,scanned in to,Drexel Recreation Center,2021-03-15,01:43:25
mjl24,Michael Lehmberg,scanned in to,Drexel Recreation Center,2021-03-15,02:21:49
bac832,Barbara Courter,scanned in to,Drexel Recreation Center,2021-03-15,05:25:12
fws23,Frank Scott,scanned in to,Drexel Recreation Center,2021-03-15,07:01:53
bjr87,Billy Robles,scanned in to,Drexel Recreation Center,2021-03-15,10:20:55
haw92,Helen Wilson,scanned in to,Drexel Recreation Center,2021-03-15,13:36:26
hsk591,Helen Kimmerle,scanned in to,Drexel Recreation Center,2021-03-15,17:25:13
bbd37,Bruce Danger,scanned in to,Drexel Recreation Center,2021-03-15,19:49:33
svm76,Stephanie Mcdonald,scanned in to,Drexel Recreation Center,2021-03-15,23:28:45
lmf88,Leona Ferguson,scanned in to,Drexel Recreation Center,2021-03-15,23:42:04
rnc73,Ronald Carhart,scanned in to,Drexel Recreation Center,2021-03-16,02:53:59
ras92,Roy Setzer,scanned in to,Drexel Recreation Center,2021-03-16,03:30:11
bkh18,Benjamin Hansen,scanned in to,Drexel Recreation Center,2021-03-16,04:44:39
hdg77,Henry Gray,scanned in to,Drexel Recreation Center,2021-03-16,07:53:54
kke139,Kristen Emory,scanned in to,Drexel Recreation Center,2021-03-16,10:58:14
jtk83,Juan Kontos,scanned in to,Drexel Recreation Center,2021-03-16,14:52:52
rfs47,Russell Scrivens,scanned in to,Drexel Recreation Center,2021-03-16,16:27:56
fjb48,Franklin Burmeister,scanned in to,Drexel Recreation Center,2021-03-16,19:56:33
wrm58,William Measom,scanned in to,Drexel Recreation Center,2021-03-16,20:13:57
jjs35,Joann Shaffer,scanned in to,Drexel Recreation Center,2021-03-16,21:38:38
aec55,April Couzens,scanned in to,Drexel Recreation Center,2021-03-17,00:20:10
wmr71,William Rickard,scanned in to,Drexel Recreation Center,2021-03-17,01:12:01
acm656,Alfred Moses,scanned in to,Drexel Recreation Center,2021-03-17,04:23:20
sab57,Stephanie Benjamin,scanned in to,Drexel Recreation Center,2021-03-17,08:02:30
jta944,Jo Ault,scanned in to,Drexel Recreation Center,2021-03-17,08:27:40
rgl77,Robert Laford,scanned in to,Drexel Recreation Center,2021-03-17,09:42:47
jlp94,John Pickens,scanned in to,Drexel Recreation Center,2021-03-17,10:49:55
fbh80,Francisco Holland,scanned in to,Drexel Recreation Center,2021-03-17,13:31:04
jkd67,John Delarosa,scanned in to,Drexel Recreation Center,2021-03-17,14:13:20
alc69,Alene Cox,scanned in to,Drexel Recreation Center,2021-03-17,14:56:21
avk596,Amy Kimura,scanned in to,Drexel Recreation Center,2021-03-17,15:57:54
rsc47,Richard Caldwell,scanned in to,Drexel Recreation Center,2021-03-17,17:52:03
dhw96,Dorothy Weaver,scanned in to,Drexel Recreation Center,2021-03-17,18:50:31
kab18,Karen Bruner,scanned in to,Drexel Recreation Center,2021-03-17,20:08:55
pnt225,Priscilla Talley,scanned in to,Drexel Recreation Center,2021-03-17,23:52:01
cmh98,Carlotta Holloway,scanned in to,Drexel Recreation Center,2021-03-18,01:44:59
jcg608,Jessica Gerecke,scanned in to,Drexel Recreation Center,2021-03-18,02:35:54
ceh92,Carol Hafley,scanned in to,Drexel Recreation Center,2021-03-18,04:37:03
blc519,Bryan Cruz,scanned in to,Drexel Recreation Center,2021-03-18,05:02:35
lra38,Lynn Avila,scanned in to,Drexel Recreation Center,2021-03-18,07:49:31
rwd27,Ronald Dolan,scanned in to,Drexel Recreation Center,2021-03-18,08:22:01
ajr39,Angelo Roper,scanned in to,Drexel Recreation Center,2021-03-18,08:29:37
lfe68,Lori Espitia,scanned in to,Drexel Recreation Center,2021-03-18,10:41:20
tbt207,Thomas Trudell,scanned in to,Drexel Recreation Center,2021-03-18,12:05:29
dac72,Dante Chase,scanned in to,Drexel Recreation Center,2021-03-18,12:52:21
ljd35,Linda Diclaudio,scanned in to,Drexel Recreation Center,2021-03-18,15:15:39
mta838,Matthew Andrews,scanned in to,Drexel Recreation Center,2021-03-18,19:15:27
mjt22,Mary Taylor,scanned in to,Drexel Recreation Center,2021-03-18,19:53:57
jam56,Jessica Meeks,scanned in to,Drexel Recreation Center,2021-03-18,21:58:13
jdh32,Jimmy Humphrey,scanned in to,Drexel Recreation Center,2021-03-19,00:41:09
sjc77,Stephanie Camacho,scanned in to,Drexel Recreation Center,2021-03-19,02:02:10
mlb70,Misty Brisco,scanned in to,Drexel Recreation Center,2021-03-19,05:39:25
sss358,Sabra Stribley,scanned in to,Drexel Recreation Center,2021-03-19,08:06:08
cop649,Cheryl Porter,scanned in to,Drexel Recreation Center,2021-03-19,09:31:24
rej593,Richard Johnson,scanned in to,Drexel Recreation Center,2021-03-19,09:43:03
djw72,Dorothy White,scanned in to,Drexel Recreation Center,2021-03-19,09:54:43
jrs17,Jeremy Spencer,scanned in to,Drexel Recreation Center,2021-03-19,13:21:51
jwl86,John Luce,scanned in to,Drexel Recreation Center,2021-03-19,14:41:29
dba45,David Alexander,scanned in to,Drexel Recreation Center,2021-03-19,16:14:00
mkj66,Michelle Jarnigan,scanned in to,Drexel Recreation Center,2021-03-19,18:41:26
abg72,Antoinette Goad,scanned in to,Drexel Recreation Center,2021-03-19,22:40:02
bcb677,Betty Barnas,scanned in to,Drexel Recreation Center,2021-03-20,00:48:20
ckb11,Christine Baldwin,scanned in to,Drexel Recreation Center,2021-03-20,02:19:28
hrr234,Helen Rodriguez,scanned in to,Drexel Recreation Center,2021-03-20,05:27:03
adw79,Aaron Willis,scanned in to,Drexel Recreation Center,2021-03-20,08:16:52
mgh436,Martha Ho,scanned in to,Drexel Recreation Center,2021-03-20,09:43:11
bkb50,Barbara Brown,scanned in to,Drexel Recreation Center,2021-03-20,12:55:41
dpw63,Doris Woods,scanned in to,Drexel Recreation Center,2021-03-20,14:33:53
kmm18,Kathryn Mccord,scanned in to,Drexel Recreation Center,2021-03-20,16:06:09
bcb654,Bradley Brick,scanned in to,Drexel Recreation Center,2021-03-20,17:55:57
pak70,Peggy Keller,scanned in to,Drexel Recreation Center,2021-03-20,21:14:18
mrm16,Mary Mckelvey,scanned in to,Drexel Recreation Center,2021-03-21,00:19:29
emr16,Earline Roddy,scanned in to,Drexel Recreation Center,2021-03-21,03:54:03
kjw62,Kevin Whitaker,scanned in to,Drexel Recreation Center,2021-03-21,04:26:29
arw62,Armando Weston,scanned in to,Drexel Recreation Center,2021-03-21,06:22:04
dht90,David Taylor,scanned in to,Drexel Recreation Center,2021-03-21,10:11:53
rrm71,Ralph Mccormick,scanned in to,Drexel Recreation Center,2021-03-21,14:00:01
mgr40,Micah Roesch,scanned in to,Drexel Recreation Center,2021-03-21,15:41:43
rml38,Ronnie Lee,scanned in to,Drexel Recreation Center,2021-03-21,17:32:42
mps19,Margaret Stoneback,scanned in to,Drexel Recreation Center,2021-03-21,19:13:50
tph92,Thomas Hunking,scanned in to,Drexel Recreation Center,2021-03-21,20:48:52
mtg26,Michael Gilbert,scanned in to,Drexel Recreation Center,2021-03-21,21:22:15
mvs13,Michelle Stephens,scanned in to,Drexel Recreation Center,2021-03-22,00:49:40
htb11,Helen Brumfield,scanned in to,Drexel Recreation Center,2021-03-22,04:23:14
cmr21,Constance Rodriguez,scanned in to,Drexel Recreation Center,2021-03-22,07:42:04
bcl46,Bonnie Larson,scanned in to,Drexel Recreation Center,2021-03-22,11:00:23
mrw37,Mary Walker,scanned in to,Drexel Recreation Center,2021-03-22,13:47:08
mdm90,Mary Maclean,scanned in to,Drexel Recreation Center,2021-03-22,14:19:55
mnk45,Melissa Knight,scanned in to,Drexel Recreation Center,2021-03-22,18:16:21
dno26,Diana Oliver,scanned in to,Drexel Recreation Center,2021-03-22,19:50:46
llt52,Laurie Tyler,scanned in to,Drexel Recreation Center,2021-03-22,20:32:08
cmr94,Chanda Rogers,scanned in to,Drexel Recreation Center,2021-03-22,22:56:57
mms658,Mathew Sprague,scanned in to,Drexel Recreation Center,2021-03-23,01:15:44
kfs903,Kacey Shannon,scanned in to,Drexel Recreation Center,2021-03-23,04:01:58
lgs12,Laura Self,scanned in to,Drexel Recreation Center,2021-03-23,06:08:17
brn245,Brice Nakamura,scanned in to,Drexel Recreation Center,2021-03-23,06:09:27
aht204,Angela Tyler,scanned in to,Drexel Recreation Center,2021-03-23,09:15:02
tcb34,Thomas Brickhouse,scanned in to,Drexel Recreation Center,2021-03-23,11:13:32
ljb61,Leroy Benson,scanned in to,Drexel Recreation Center,2021-03-23,13:36:38
dgv67,Duane Vassallo,scanned in to,Drexel Recreation Center,2021-03-23,15:08:58
jrs84,John Spain,scanned in to,Drexel Recreation Center,2021-03-23,16:17:25
agc931,Adam Collins,scanned in to,Drexel Recreation Center,2021-03-23,19:43:37
jpn29,James Nelson,scanned in to,Drexel Recreation Center,2021-03-23,20:22:34
cam94,Clayton Mileski,scanned in to,Drexel Recreation Center,2021-03-23,20:28:49
pem67,Philomena Moore,scanned in to,Drexel Recreation Center,2021-03-23,23:50:37
arc74,Allen Cox,scanned in to,Drexel Recreation Center,2021-03-24,03:23:28
sgs14,Shelton Stepnoski,scanned in to,Drexel Recreation Center,2021-03-24,05:46:20
cmg61,Carrie Grande,scanned in to,Drexel Recreation Center,2021-03-24,07:41:17
kgh23,Kim Hopper,scanned in to,Drexel Recreation Center,2021-03-24,09:03:57
amg55,Albert Guerrero,scanned in to,Drexel Recreation Center,2021-03-24,11:05:29
cjp19,Carmelita Pettus,scanned in to,Drexel Recreation Center,2021-03-24,11:25:32
bak35,Brenda King,scanned in to,Drexel Recreation Center,2021-03-24,14:21:38
fom92,Frederick Moore,scanned in to,Drexel Recreation Center,2021-03-24,14:55:08
elc99,Ethel Carr,scanned in to,Drexel Recreation Center,2021-03-24,18:50:13
djg51,Damian Gill,scanned in to,Drexel Recreation Center,2021-03-24,19:14:14
ckb15,Cynthia Becker,scanned in to,Drexel Recreation Center,2021-03-24,19:35:04
drg78,David Gurwell,scanned in to,Drexel Recreation Center,2021-03-24,22:45:17
sem52,Shannon Monroe,scanned in to,Drexel Recreation Center,2021-03-24,22:55:20
jsm343,Joan Murillo,scanned in to,Drexel Recreation Center,2021-03-25,02:00:54
gwm351,Gary Munroe,scanned in to,Drexel Recreation Center,2021-03-25,03:38:29
ech36,Edwina Hernandez,scanned in to,Drexel Recreation Center,2021-03-25,05:26:11
mes92,Mary Scott,scanned in to,Drexel Recreation Center,2021-03-25,09:04:05
tmf66,Tonja Freeman,scanned in to,Drexel Recreation Center,2021-03-25,09:32:28
ard52,Austin Dugan,scanned in to,Drexel Recreation Center,2021-03-25,12:35:25
jrb82,Judy Bremer,scanned in to,Drexel Recreation Center,2021-03-25,15:10:17
mdw89,Melissa Wheeler,scanned in to,Drexel Recreation Center,2021-03-25,17:44:55
cps808,Christopher Scott,scanned in to,Drexel Recreation Center,2021-03-25,20:05:53
ckt692,Chad Trudeau,scanned in to,Drexel Recreation Center,2021-03-25,22:08:34
jjn40,Judith Nettles,scanned in to,Drexel Recreation Center,2021-03-26,00:21:59
ter60,Tammy Rao,scanned in to,Drexel Recreation Center,2021-03-26,04:21:05
lls42,Latisha Squires,scanned in to,Drexel Recreation Center,2021-03-26,07:39:00
trw375,Troy Walker,scanned in to,Drexel Recreation Center,2021-03-26,09:55:39
hgw53,Haley Williams,scanned in to,Drexel Recreation Center,2021-03-26,12:15:03
ljp73,Lenore Phillips,scanned in to,Drexel Recreation Center,2021-03-26,16:09:08
rje96,Rosie Eisele,scanned in to,Drexel Recreation Center,2021-03-26,19:47:49
khh274,Keith Hummel,scanned in to,Drexel Recreation Center,2021-03-26,21:24:53
ccv10,Charles Valdez,scanned in to,Drexel Recreation Center,2021-03-26,23:23:47
kky875,Kim Yeargin,scanned in to,Drexel Recreation Center,2021-03-27,03:05:49
mhr33,Melvin Rawlins,scanned in to,Drexel Recreation Center,2021-03-27,05:23:20
ppr85,Peggy Ro,scanned in to,Drexel Recreation Center,2021-03-27,08:54:00
mwm72,Marvin Maxfield,scanned in to,Drexel Recreation Center,2021-03-27,10:22:29
rcp88,Rosemary Pelayo,scanned in to,Drexel Recreation Center,2021-03-27,13:10:36
rdm957,Ronnie Mailes,scanned in to,Drexel Recreation Center,2021-03-27,16:20:12
rfp50,Robert Pearson,scanned in to,Drexel Recreation Center,2021-03-27,19:44:24
wrp63,William Price,scanned in to,Drexel Recreation Center,2021-03-27,19:53:39
jes82,Juan Shirley,scanned in to,Drexel Recreation Center,2021-03-27,22:51:11
jts26,Jeremy Schultz,scanned in to,Drexel Recreation Center,2021-03-27,23:56:46
rew84,Robert Walker,scanned in to,Drexel Recreation Center,2021-03-28,01:22:59
hsb229,Hattie Bailey,scanned in to,Drexel Recreation Center,2021-03-28,05:17:26
jgs94,John Shelton,scanned in to,Drexel Recreation Center,2021-03-28,07:29:38
mbn71,Monty Nazario,scanned in to,Drexel Recreation Center,2021-03-28,11:11:17
esp191,Eugene Pierrot,scanned in to,Drexel Recreation Center,2021-03-28,13:48:37
yjb727,Young Beyer,scanned in to,Drexel Recreation Center,2021-03-28,15:26:26
dea21,Deborah Anderson,scanned in to,Drexel Recreation Center,2021-03-28,18:59:58
dcc662,Danny Cole,scanned in to,Drexel Recreation Center,2021-03-28,19:09:17
avd71,Anna Dahlheimer,scanned in to,Drexel Recreation Center,2021-03-28,20:40:51
vsc25,Vito Campbell,scanned in to,Drexel Recreation Center,2021-03-29,00:27:34
bgd16,Barbara Dick,scanned in to,Drexel Recreation Center,2021-03-29,02:55:22
rmb66,Russel Brandwein,scanned in to,Drexel Recreation Center,2021-03-29,06:20:44
tlc42,Teresa Chisholm,scanned in to,Drexel Recreation Center,2021-03-29,08:38:56
mka67,Mary Allen,scanned in to,Drexel Recreation Center,2021-03-29,09:02:50
bmc81,Brenda Carney,scanned in to,Drexel Recreation Center,2021-03-29,10:30:59
ljc974,Lauren Craun,scanned in to,Drexel Recreation Center,2021-03-29,14:15:45
jrs41,Judy Singleton,scanned in to,Drexel Recreation Center,2021-03-29,14:27:07
mfr54,Mary Roper,scanned in to,Drexel Recreation Center,2021-03-29,15:18:12
tbm739,Thomas Myers,scanned in to,Drexel Recreation Center,2021-03-29,18:23:07
ecd77,Earl Degasperis,scanned in to,Drexel Recreation Center,2021-03-29,20:06:51
cva18,Charles Aumiller,scanned in to,Drexel Recreation Center,2021-03-29,22:25:34
ccj84,Charlotte Johnson,scanned in to,Drexel Recreation Center,2021-03-30,02:01:28
gre464,Gregory Erkkila,scanned in to,Drexel Recreation Center,2021-03-30,04:50:49
gdm86,Gregory Mullins,scanned in to,Drexel Recreation Center,2021-03-30,06:57:50
mhr89,Michael Rucker,scanned in to,Drexel Recreation Center,2021-03-30,08:47:25
djl93,David Little,scanned in to,Drexel Recreation Center,2021-03-30,08:51:09
krc89,Kevin Crawford,scanned in to,Drexel Recreation Center,2021-03-30,12:46:40
sjb65,Stephany Brown,scanned in to,Drexel Recreation Center,2021-03-30,13:44:03
jlb22,Jerry Blessing,scanned in to,Drexel Recreation Center,2021-03-30,17:20:38
csp205,Corey Pappas,scanned in to,Drexel Recreation Center,2021-03-30,18:37:47
prd88,Pedro Dorado,scanned in to,Drexel Recreation Center,2021-03-30,20:12:53
pah75,Patricia Huff,scanned in to,Drexel Recreation Center,2021-03-30,23:56:31
psp18,Pearl Pacheco,scanned in to,Drexel Recreation Center,2021-03-31,00:44:28
wrh28,William Holden,scanned in to,Drexel Recreation Center,2021-03-31,04:11:02
mpq33,Mark Quinones,scanned in to,Drexel Recreation Center,2021-03-31,05:47:50
jmg44,Jo Garcia,scanned in to,Drexel Recreation Center,2021-03-31,08:45:19
ens80,Ernestine Scanlon,scanned in to,Drexel Recreation Center,2021-03-31,09:02:57
hfd65,Helen Dunham,scanned in to,Drexel Recreation Center,2021-03-31,11:28:34
spr95,Sherri Redman,scanned in to,Drexel Recreation Center,2021-03-31,12:14:03
rdw24,Ricky Williams,scanned in to,Drexel Recreation Center,2021-03-31,13:54:45
cdm411,Charles Mihelich,scanned in to,Drexel Recreation Center,2021-03-31,14:53:02
iac26,Irving Collins,scanned in to,Drexel Recreation Center,2021-03-31,15:05:20
rkf25,Randall Farmer,scanned in to,Drexel Recreation Center,2021-03-31,16:39:21
srk66,Sandy Kliment,scanned in to,Drexel Recreation Center,2021-03-31,17:15:56
rjf91,Rachel Fischer,scanned in to,Drexel Recreation Center,2021-03-31,20:57:43
gdc85,Gary Cultice,scanned in to,Drexel Recreation Center,2021-03-31,21:23:14
hls87,Hugh Southern,scanned in to,Drexel Recreation Center,2021-03-31,22:28:43
mbb74,Marta Best,scanned in to,Drexel Recreation Center,2021-04-01,02:15:56
hma761,Hazel Aguiniga,scanned in to,Drexel Recreation Center,2021-04-01,05:51:43
dkg16,David Gabbard,scanned in to,Drexel Recreation Center,2021-04-01,09:23:56
ajc13,Arthur Colon,scanned in to,Drexel Recreation Center,2021-04-01,10:06:48
tph16,Tracy Henderson,scanned in to,Drexel Recreation Center,2021-04-01,12:05:13
rdk25,Ruth Koppenhaver,scanned in to,Drexel Recreation Center,2021-04-01,15:52:27
fjg18,Frank Gaines,scanned in to,Drexel Recreation Center,2021-04-01,18:34:01
drh94,David Hunsucker,scanned in to,Drexel Recreation Center,2021-04-01,21:21:19
ltk852,Louise Keeling,scanned in to,Drexel Recreation Center,2021-04-02,01:14:57
jms31,Jennifer Stephan,scanned in to,Drexel Recreation Center,2021-04-02,02:01:12
jrb30,Jayne Bullock,scanned in to,Drexel Recreation Center,2021-04-02,03:39:14
rjo46,Riley Oneal,scanned in to,Drexel Recreation Center,2021-04-02,07:05:27
pmw38,Phyllis Wright,scanned in to,Drexel Recreation Center,2021-04-02,10:47:39
rdj19,Renee Jefferson,scanned in to,Drexel Recreation Center,2021-04-02,14:14:08
drp571,Devin Pierce,scanned in to,Drexel Recreation Center,2021-04-02,16:35:58
ems80,Estela Solar,scanned in to,Drexel Recreation Center,2021-04-02,20:24:36
gjj778,Gerard Jacobs,scanned in to,Drexel Recreation Center,2021-04-02,23:33:15
rio70,Rosalind Orouke,scanned in to,Drexel Recreation Center,2021-04-03,01:22:07
kjg13,Kimberly Griffis,scanned in to,Drexel Recreation Center,2021-04-03,01:44:30
rrc22,Roland Clark,scanned in to,Drexel Recreation Center,2021-04-03,05:07:01
dlb60,David Brooks,scanned in to,Drexel Recreation Center,2021-04-03,06:48:34
wce18,William Edwards,scanned in to,Drexel Recreation Center,2021-04-03,10:30:43
dlt22,Dale Taylor,scanned in to,Drexel Recreation Center,2021-04-03,14:18:48
pwp78,Pamela Perkins,scanned in to,Drexel Recreation Center,2021-04-03,17:04:44
ldi66,Lisa Iraheta,scanned in to,Drexel Recreation Center,2021-04-03,19:50:45
cmg12,Carole Gibson,scanned in to,Drexel Recreation Center,2021-04-03,21:50:06
jca46,Jamie Anderson,scanned in to,Drexel Recreation Center,2021-04-03,23:41:10
arc17,Anthony Cottrell,scanned in to,Drexel Recreation Center,2021-04-04,01:02:18
cjd84,Christine Dominguez,scanned in to,Drexel Recreation Center,2021-04-04,04:21:12
ddw818,Dawn Wagner,scanned in to,Drexel Recreation Center,2021-04-04,05:33:26
jmb11,Julia Butterfield,scanned in to,Drexel Recreation Center,2021-04-04,06:01:38
sjg65,Sylvia George,scanned in to,Drexel Recreation Center,2021-04-04,10:01:23
cgb12,Calvin Bracamonte,scanned in to,Drexel Recreation Center,2021-04-04,11:34:29
ccd62,Carmine Dopler,scanned in to,Drexel Recreation Center,2021-04-04,12:35:57
jjj20,James James,scanned in to,Drexel Recreation Center,2021-04-04,14:14:55
jds446,John Skinner,scanned in to,Drexel Recreation Center,2021-04-04,15:34:38
yms99,Yolanda Santoyo,scanned in to,Drexel Recreation Center,2021-04-04,18:26:43
eyf199,Emily Fountain,scanned in to,Drexel Recreation Center,2021-04-04,19:33:32
pdd89,Peter Davis,scanned in to,Drexel Recreation Center,2021-04-04,21:02:51
pdl15,Paula Livingston,scanned in to,Drexel Recreation Center,2021-04-04,21:30:18
bdo36,Bernie Obannon,scanned in to,Drexel Recreation Center,2021-04-04,22:34:34
rkw633,Robert Williams,scanned in to,Drexel Recreation Center,2021-04-05,02:32:06
jar469,John Roberson,scanned in to,Drexel Recreation Center,2021-04-05,04:41:44
mes35,Marianne Sims,scanned in to,Drexel Recreation Center,2021-04-05,08:26:03
ctp26,Christopher Penland,scanned in to,Drexel Recreation Center,2021-04-05,12:20:31
edt86,Edith Thompson,scanned in to,Drexel Recreation Center,2021-04-05,16:05:52
cjb49,Carmen Bolla,scanned in to,Drexel Recreation Center,2021-04-05,18:28:57
ckm68,Cathy Moore,scanned in to,Drexel Recreation Center,2021-04-05,20:45:38
mhd198,Melissa Davis,scanned in to,Drexel Recreation Center,2021-04-05,20:46:46
crd72,Christopher Dellinger,scanned in to,Drexel Recreation Center,2021-04-05,22:35:56
bnr29,Brandon Rybowiak,scanned in to,Drexel Recreation Center,2021-04-06,01:49:27
lkf68,Lawrence Fernandez,scanned in to,Drexel Recreation Center,2021-04-06,02:54:31
eaw878,Esther Wickersham,scanned in to,Drexel Recreation Center,2021-04-06,05:35:19
jjk63,John King,scanned in to,Drexel Recreation Center,2021-04-06,06:54:04
mfk18,Martin Kingston,scanned in to,Drexel Recreation Center,2021-04-06,09:14:43
ckm68,Cathy Moore,scanned in to,Drexel Recreation Center,2021-04-06,09:25:00
ajm58,Amy Macdonald,scanned in to,Drexel Recreation Center,2021-04-06,12:56:13
slj77,Sonja Jones,scanned in to,Drexel Recreation Center,2021-04-06,13:01:42
gll91,Gabriella Levi,scanned in to,Drexel Recreation Center,2021-04-06,16:14:41
rls50,Rebecca Sallee,scanned in to,Drexel Recreation Center,2021-04-06,18:11:26
mac76,Meghan Cato,scanned in to,Drexel Recreation Center,2021-04-06,21:39:25
dml34,Dawn Lynch,scanned in to,Drexel Recreation Center,2021-04-07,01:04:03
hac28,Holly Camacho,scanned in to,Drexel Recreation Center,2021-04-07,03:39:16
ebd583,Ellis Doman,scanned in to,Drexel Recreation Center,2021-04-07,06:06:46
mst634,Martin Taylor,scanned in to,Drexel Recreation Center,2021-04-07,09:34:24
jcr97,Jerry Ramsey,scanned in to,Drexel Recreation Center,2021-04-07,09:52:44
asm90,Allison Mcallister,scanned in to,Drexel Recreation Center,2021-04-07,13:52:19
vwh94,Virginia Hyde,scanned in to,Drexel Recreation Center,2021-04-07,15:02:02
jhr55,Janice Robinson,scanned in to,Drexel Recreation Center,2021-04-07,16:37:29
lcs24,Linda Stephens,scanned in to,Drexel Recreation Center,2021-04-07,17:02:17
wrf75,William Furman,scanned in to,Drexel Recreation Center,2021-04-07,19:24:44
ktk42,Karen Kennedy,scanned in to,Drexel Recreation Center,2021-04-07,22:07:59
bma372,Beau Angelo,scanned in to,Drexel Recreation Center,2021-04-08,00:36:11
mls191,Maggie Stanton,scanned in to,Drexel Recreation Center,2021-04-08,02:27:07
jrk595,James Keck,scanned in to,Drexel Recreation Center,2021-04-08,02:35:26
als88,Alicia Spachtholz,scanned in to,Drexel Recreation Center,2021-04-08,04:39:30
slh16,Steven Hayes,scanned in to,Drexel Recreation Center,2021-04-08,05:07:00
