Drexel ID,Annual Salary,Date of Birth,Full Name,Job Title,Year Started,Employer,Time Reporting Period,Direct Deposit,Electronic W2 Form,Turbo Tax Option
ava31,102032,10/9/1994,Anthony V Assetto,Professor,2014,Drexel University,semi-monthly,True,True,Included
rar85,97205,7/23/1976,Rob A Rumburg,Professor,2002,Drexel University,biweekly,False,True,Opt Out
ssp47,106725,12/14/1985,Samir S Patel,Professor,2010,Drexel University,semi-monthly,False,True,Opt Out
dm978,105591,6/4/1985,David Murray,Professor,2011,Drexel University,semi-monthly,False,True,Opt Out
deb59,88955,9/22/1958,Daniel E Brown,Professor,1983,Drexel University,semi-monthly,True,True,Included
jw488,110824,11/22/1994,Jeremiah Woodring,Professor,2017,Drexel University,semi-monthly,False,False,Opt Out
gef86,112510,7/5/1980,Georgeanna E Foley,Professor,2004,Drexel University,biweekly,True,True,Included
ajs64,98636,2/19/1963,Alex J Stadel,Professor,1997,Drexel University,biweekly,True,False,Opt Out
mro51,89204,8/24/1979,Mark R Odorizzi,Professor,2015,Drexel University,semi-monthly,True,False,Opt Out
air82,88651,10/5/1977,Alesa I Rubendall,Professor,2000,Drexel University,biweekly,False,False,Opt Out
jwr80,83843,4/23/1983,James W Rowe,Professor,2005,Drexel University,biweekly,False,True,Included
rho19,108596,8/27/1963,Rich H Olaya,Professor,2002,Drexel University,semi-monthly,False,True,Opt Out
am328,97122,7/21/1995,Antonio Martinez-Molina,Professor,2020,Drexel University,biweekly,True,False,Included
jdp14,84692,6/15/1968,James D Piscopo,Professor,1993,Drexel University,biweekly,False,False,Opt Out
bm121,98371,8/28/1989,Brendan McGrath,Professor,2014,Drexel University,semi-monthly,False,True,Opt Out
cac51,92302,10/9/1956,Charles A Capaldi,Professor,1977,Drexel University,semi-monthly,True,True,Opt Out
rmp79,101888,8/5/1953,Robert M Piasecki,Professor,1983,Drexel University,biweekly,False,True,Opt Out
mry87,91349,4/18/1953,Michael R Ytterberg,Professor,1984,Drexel University,semi-monthly,False,True,Opt Out
wda851,106450,9/21/1982,Wolfram D Arendt,Professor,2003,Drexel University,semi-monthly,False,False,Included
uj775,96742,5/6/1953,Uk Jung,Professor,1980,Drexel University,biweekly,True,True,Opt Out
jta393,98324,4/4/1965,Jason T Austin,Professor,2005,Drexel University,biweekly,False,False,Included
sje487,94535,8/13/1992,Samuel J Emory,Professor,2012,Drexel University,biweekly,False,True,Included
arb96,91962,2/8/1954,Alexa R Bosse,Professor,1985,Drexel University,biweekly,False,False,Included
dsn90,112192,7/19/1967,Dee S Nicholas,Professor,1997,Drexel University,biweekly,False,False,Opt Out
emk843,84380,2/13/1956,Elise M Krespan,Professor,1990,Drexel University,biweekly,False,False,Included
nmf88,96238,6/1/1950,Nicole M Feller-Johnson,Professor,1984,Drexel University,semi-monthly,True,True,Opt Out
dh892,100340,6/24/1983,David Hood,Professor,2006,Drexel University,biweekly,False,True,Included
ad328,85493,6/1/1980,Andrew Dobshinsky,Professor,2014,Drexel University,biweekly,True,False,Included
mr591,86467,9/11/1980,Murali Ramaswami,Professor,2006,Drexel University,semi-monthly,False,False,Included
tpk736,93099,1/28/1986,Thomas P Kirchner,Professor,2013,Drexel University,biweekly,True,True,Included
sc656,99483,12/2/1961,Stephen Cantando,Professor,1990,Drexel University,biweekly,True,True,Opt Out
ja928,84512,9/18/1992,Joanne Aitken,Professor,2017,Drexel University,semi-monthly,True,False,Opt Out
kfv72,101249,3/21/1973,Kelly F Vresilovic,Professor,1993,Drexel University,biweekly,False,False,Included
cgb58,110901,4/12/1973,Catherine G Broh,Professor,2008,Drexel University,semi-monthly,False,True,Opt Out
jtd81,97728,3/17/1985,John T Defazio,Professor,2008,Drexel University,biweekly,False,False,Included
dmj305,110261,4/21/1958,Don M Jones,Professor,1979,Drexel University,semi-monthly,False,True,Included
rk217,93454,1/26/1989,Richard King,Professor,2014,Drexel University,semi-monthly,False,True,Opt Out
jfk47,106095,11/28/1976,Jeffrey F Krieger,Professor,2006,Drexel University,semi-monthly,True,False,Included
ren961,93399,5/15/1953,Robert E Nalls,Professor,1983,Drexel University,biweekly,False,False,Opt Out
mah394,92192,7/14/1957,Matthew A Heckendorn,Professor,1984,Drexel University,biweekly,True,True,Opt Out
pb241,99810,11/27/1951,Pia Brancaccio,Professor,1982,Drexel University,biweekly,True,False,Opt Out
jfg11,95963,11/17/1968,Joseph F Gregory,Professor,1996,Drexel University,semi-monthly,False,False,Included
dls37,111861,4/5/1980,Delia L Solomons,Professor,2003,Drexel University,semi-monthly,True,False,Included
hgm30,87080,7/17/1958,Heather G Moqtaderi,Professor,1985,Drexel University,biweekly,False,True,Included
jhl24,89963,6/3/1984,Joseph H Larnerd,Professor,2004,Drexel University,biweekly,True,True,Opt Out
mb265,82392,6/17/1977,Monica B Stevens Smyth,Professor,2010,Drexel University,biweekly,True,True,Opt Out
ks557,99389,7/27/1955,Katie Sabo,Professor,1985,Drexel University,semi-monthly,True,False,Opt Out
km328,97491,5/2/1987,Kenneth Metzner,Professor,2008,Drexel University,biweekly,True,True,Opt Out
sme792,88774,1/11/1995,Sharon M Erwin,Professor,2016,Drexel University,biweekly,True,True,Opt Out
nkv317,87239,12/14/1982,Neville K Vakharia,Professor,2007,Drexel University,semi-monthly,True,False,Opt Out
ceh242,102381,1/18/1982,Catherine E Hernandez,Professor,2009,Drexel University,biweekly,True,False,Opt Out
jrg92,99171,5/25/1985,Julie R Goodman,Professor,2007,Drexel University,semi-monthly,False,True,Opt Out
py222,92072,2/5/1974,Pamela Yau,Professor,2000,Drexel University,semi-monthly,True,False,Included
jej87,98399,2/4/1975,Jasmine E Johnson,Professor,2000,Drexel University,semi-monthly,True,False,Opt Out
lsc244,85512,1/8/1991,Laura-Edythe S Coleman,Professor,2012,Drexel University,biweekly,True,False,Opt Out
ljb219,96395,2/3/1983,Lindsay J Browning,Professor,2004,Drexel University,biweekly,False,False,Opt Out
cem18,107958,11/17/1950,Camille E Moten,Professor,1989,Drexel University,biweekly,False,False,Included
bh286,91717,5/19/1957,Blanca Huertas-Agnew,Professor,1981,Drexel University,semi-monthly,True,False,Opt Out
jsm98,106455,11/21/1963,Jennifer S Morley,Professor,1992,Drexel University,biweekly,True,False,Included
bwf36,112443,10/1/1975,Britt W Fishel,Professor,2015,Drexel University,biweekly,True,True,Opt Out
ce395,96831,6/10/1965,Clyde Evans,Professor,1985,Drexel University,biweekly,True,True,Opt Out
aq817,111217,9/9/1968,Albert Quesada,Professor,2005,Drexel University,biweekly,False,True,Opt Out
djm27,108253,3/27/1995,Dara J Meredith,Professor,2022,Drexel University,semi-monthly,False,True,Opt Out
mf161,108137,12/21/1994,Meghan Frederick,Professor,2021,Drexel University,biweekly,True,False,Included
vji396,83999,1/22/1976,Val J Ifill,Professor,2015,Drexel University,semi-monthly,False,True,Included
hs984,110479,9/21/1976,Hassan Syed,Professor,2014,Drexel University,semi-monthly,True,True,Included
ast492,102307,12/1/1959,Abigail S Toll,Professor,1988,Drexel University,semi-monthly,True,True,Opt Out
okp85,90334,2/9/1976,Olive K Prince,Professor,2005,Drexel University,semi-monthly,True,True,Opt Out
sed21,100920,11/6/1960,Susan E Deutsch,Professor,1996,Drexel University,semi-monthly,True,True,Opt Out
mcd87,98170,12/15/1953,Maureen C DeSimone,Professor,1993,Drexel University,biweekly,False,True,Included
cdb86,103833,11/11/1993,Chris D Baeza,Professor,2013,Drexel University,semi-monthly,False,False,Included
nac12,94631,12/1/1963,Nick A Cassway,Professor,1997,Drexel University,biweekly,False,False,Opt Out
knm38,99287,12/2/1967,Kimberly N McGlonn,Professor,1990,Drexel University,semi-monthly,False,False,Opt Out
adm29,91876,6/21/1964,Alphonso D McClendon,Professor,1991,Drexel University,semi-monthly,True,False,Opt Out
rah531,90084,3/17/1975,Rachel A Higgins,Professor,2003,Drexel University,semi-monthly,False,False,Opt Out
tkk41,99144,7/24/1950,Tsz K Kwok,Professor,1982,Drexel University,biweekly,True,False,Included
cq552,83217,2/27/1958,Catherine Quay,Professor,1997,Drexel University,biweekly,True,False,Opt Out
jh619,82196,9/28/1958,June He,Professor,1981,Drexel University,biweekly,True,False,Opt Out
gm473,89770,10/13/1962,Glen Muschio,Professor,1991,Drexel University,semi-monthly,True,True,Included
mep16,83612,3/13/1954,Mark E Petrovich,Professor,1987,Drexel University,biweekly,False,True,Included
kmg39,89677,5/15/1989,Kevin M Gross,Professor,2015,Drexel University,semi-monthly,False,True,Opt Out
mgw896,99783,2/20/1994,Michael G Wagner,Professor,2015,Drexel University,biweekly,True,False,Included
rel40,104439,2/16/1953,Rob E Lloyd,Professor,1992,Drexel University,semi-monthly,False,True,Included
nej54,92434,8/8/1993,Nicholas E Jushchyshyn,Professor,2017,Drexel University,semi-monthly,False,True,Opt Out
tar82,101174,3/13/1957,Tony A Rowe,Professor,1982,Drexel University,semi-monthly,False,True,Included
msb72,86852,5/5/1984,Milady S Bridges,Professor,2007,Drexel University,semi-monthly,True,True,Included
fjl703,85582,3/15/1992,Frank J Lee,Professor,2018,Drexel University,biweekly,False,True,Opt Out
mcm66,110394,7/5/1966,Maria Cecilia Mouat,Professor,1987,Drexel University,semi-monthly,True,True,Included
ep219,97255,3/27/1978,Emil Polyak,Professor,2007,Drexel University,biweekly,True,False,Opt Out
ats32,98685,7/9/1968,Abigail T Stein,Professor,1988,Drexel University,biweekly,True,False,Opt Out
sr455,91409,9/11/1961,Stefan Rank,Professor,1982,Drexel University,biweekly,True,True,Included
pjd564,82534,6/8/1995,Paul J Diefenbach,Professor,2015,Drexel University,semi-monthly,True,True,Included
jmw26,84621,1/9/1960,Jeanne M Waite,Professor,1980,Drexel University,semi-monthly,True,True,Included
sl798,102282,11/28/1990,Shannon Lacek,Professor,2011,Drexel University,semi-monthly,True,False,Included
tnl846,104319,6/17/1953,Taneshia N Laird,Professor,1978,Drexel University,biweekly,False,False,Included
bpm93,85744,3/15/1989,Brian P Moore,Professor,2014,Drexel University,biweekly,False,True,Included
al597,102843,6/15/1991,Ali L Howell Abolo,Professor,2018,Drexel University,biweekly,True,True,Opt Out
eg943,89658,11/1/1967,Elizabeth Goldberg-Johnson,Professor,1996,Drexel University,biweekly,True,False,Included
cag69,107265,1/18/1982,Cynthia A Golembuski,Professor,2003,Drexel University,biweekly,True,True,Opt Out
tsg53,105229,9/9/1960,Twyla S Grider,Professor,1991,Drexel University,semi-monthly,True,False,Opt Out
lcb324,87494,11/13/1987,Lucy C Butler,Professor,2013,Drexel University,biweekly,False,False,Opt Out
kg836,90503,11/21/1953,Kristine Go,Professor,1981,Drexel University,biweekly,True,True,Included
jj797,95059,3/5/1971,Jaeyoon Jeong,Professor,2008,Drexel University,semi-monthly,False,False,Included
hak27,108519,7/9/1971,Hyun A Kim,Professor,2010,Drexel University,semi-monthly,True,False,Opt Out
dcc84,112708,2/20/1962,DC C Claassen,Professor,1999,Drexel University,biweekly,True,False,Included
jk306,102853,7/6/1975,Jackie Kilmartin,Professor,2013,Drexel University,semi-monthly,False,True,Opt Out
dsv37,108455,12/20/1981,Domenica S Vinci-Finocchiaro,Professor,2007,Drexel University,biweekly,True,False,Opt Out
llh14,96114,1/10/1990,Lisa L Hayes,Professor,2010,Drexel University,semi-monthly,True,True,Opt Out
kcm659,89239,9/24/1989,Kathleen C Martin,Professor,2013,Drexel University,semi-monthly,True,True,Included
sy129,88108,3/12/1960,Shushi Yoshinaga,Professor,1990,Drexel University,semi-monthly,False,False,Included
mdg45,84219,9/20/1969,Michael D Glaser,Professor,2009,Drexel University,semi-monthly,False,False,Opt Out
am402,95354,5/15/1994,Adrienne Manno,Professor,2015,Drexel University,biweekly,False,False,Included
jah90,86342,10/8/1961,Jordan A Haddad,Professor,1996,Drexel University,biweekly,False,False,Opt Out
oss30,92943,8/24/1993,Ornella Santoni Stichter,Professor,2017,Drexel University,semi-monthly,True,False,Opt Out
zar42,112420,7/18/1989,Zachary A Reese,Professor,2013,Drexel University,semi-monthly,True,True,Included
dai32,95762,1/11/1950,Darby A Irrgang,Professor,1988,Drexel University,semi-monthly,False,False,Included
teq75,93394,8/20/1994,Thomas E Quinn,Professor,2021,Drexel University,biweekly,False,False,Opt Out
css26,104062,5/25/1951,Charles S Smith,Professor,1991,Drexel University,biweekly,True,False,Opt Out
jrt43,104653,11/3/1980,Jocelyn R Tarquini,Professor,2014,Drexel University,semi-monthly,False,True,Included
dmt13,107188,11/25/1984,David M Trimber,Professor,2011,Drexel University,biweekly,True,False,Opt Out
jad753,84406,3/28/1971,Joseph A DiVita,Professor,2002,Drexel University,biweekly,True,False,Included
dpd76,112439,1/23/1984,David P Deneen,Professor,2010,Drexel University,biweekly,True,True,Included
ads35,96735,1/12/1995,Alison D Standefer,Professor,2019,Drexel University,semi-monthly,True,True,Opt Out
bsw97,90358,10/20/1955,Benjamin S Wong,Professor,1986,Drexel University,semi-monthly,True,True,Opt Out
dmb94,94941,9/15/1980,Danny M Benevento,Professor,2014,Drexel University,biweekly,False,True,Included
tpq876,93498,1/23/1979,Tom P Quigley,Professor,2004,Drexel University,biweekly,True,False,Included
das96,109384,11/23/1951,David A Schwartz,Professor,1971,Drexel University,biweekly,False,False,Included
dms53,88442,3/26/1954,David M Smith,Professor,1977,Drexel University,biweekly,True,True,Included
bmk88,82584,9/9/1961,Benjamin M Kalina,Professor,1999,Drexel University,biweekly,True,False,Opt Out
pp476,110909,10/22/1956,Paolo Pilladi,Professor,1984,Drexel University,semi-monthly,True,True,Included
jb167,104487,8/5/1990,Jackie Borock,Professor,2013,Drexel University,biweekly,False,True,Included
abs99,88360,12/15/1974,Andrew B Susskind,Professor,2007,Drexel University,biweekly,False,True,Included
jva20,82827,2/12/1968,John V Avarese,Professor,1996,Drexel University,semi-monthly,False,True,Included
hv568,84579,2/23/1968,Henry Vazquez,Professor,2005,Drexel University,biweekly,True,True,Included
bm114,90743,11/16/1952,Brigitte McCray,Professor,1977,Drexel University,biweekly,True,False,Included
de792,103504,8/23/1951,Daryl Evans,Professor,1984,Drexel University,semi-monthly,True,False,Opt Out
dgb40,85124,4/25/1969,Douglas G Bailey,Professor,2001,Drexel University,biweekly,False,True,Included
kk726,102729,7/12/1976,Karin Kelly,Professor,2009,Drexel University,biweekly,True,True,Opt Out
gmh95,89626,6/28/1966,Gerard M Hooper,Professor,2005,Drexel University,semi-monthly,True,False,Opt Out
njn61,108543,3/8/1955,Nicholas J Natalicchio,Professor,1992,Drexel University,biweekly,False,True,Opt Out
pms23,87350,7/21/1963,Perry M Santulli,Professor,2000,Drexel University,biweekly,False,True,Opt Out
jjm86,109213,6/18/1966,Jeff J Maisonneuve,Professor,1990,Drexel University,biweekly,True,False,Opt Out
sed71,86875,7/4/1952,Steven E Denisevicz,Professor,1980,Drexel University,semi-monthly,True,False,Opt Out
dkw12,98531,2/20/1953,Darren K Woodland,Professor,1976,Drexel University,biweekly,True,True,Opt Out
ats78,83074,11/2/1974,Adrian T Sandoval,Professor,2004,Drexel University,biweekly,True,False,Included
tdb673,85375,4/25/1952,Thomas D Burdak,Professor,1992,Drexel University,semi-monthly,True,True,Opt Out
kc372,109072,4/11/1964,Kenneth Chen,Professor,2001,Drexel University,semi-monthly,False,True,Opt Out
rcn28,87319,7/7/1959,Robert C Nally,Professor,1994,Drexel University,semi-monthly,True,False,Included
dam149,111744,9/27/1952,Debbie A McGrody,Professor,1975,Drexel University,biweekly,False,True,Opt Out
bbr991,95642,3/12/1950,Bill B Rees,Professor,1978,Drexel University,semi-monthly,False,True,Included
kwb97,104411,4/5/1961,Kristen W Beck,Professor,1985,Drexel University,semi-monthly,False,True,Included
epk50,109917,10/20/1964,Eric P Karnes,Professor,1991,Drexel University,biweekly,True,False,Opt Out
jbh29,109179,10/8/1963,Jake B Herschman,Professor,1992,Drexel University,semi-monthly,False,True,Included
eb466,103591,4/13/1990,Erica Benamy,Professor,2014,Drexel University,biweekly,False,False,Opt Out
scl288,86156,11/5/1965,Samuel C Lee,Professor,1986,Drexel University,biweekly,True,True,Opt Out
ss724,93665,12/24/1972,Sandra Stewart,Professor,1995,Drexel University,biweekly,True,False,Included
rjw66,112185,5/8/1957,Robert J Warkulwiz,Professor,1977,Drexel University,biweekly,False,True,Included
kev85,108194,5/9/1995,Kayla E Velocci,Professor,2018,Drexel University,biweekly,False,True,Included
jlc90,84752,5/19/1976,Julia L Colton,Professor,2008,Drexel University,biweekly,False,False,Included
mew78,93820,10/10/1982,Mark E Willie,Professor,2008,Drexel University,semi-monthly,True,False,Opt Out
rad628,102372,12/16/1955,Rose A Drew,Professor,1983,Drexel University,biweekly,False,True,Included
jgg87,86847,7/8/1983,Josh G Gdovin,Professor,2010,Drexel University,biweekly,False,True,Opt Out
rm286,99181,6/11/1956,Rosemary Murphy,Professor,1976,Drexel University,biweekly,True,False,Opt Out
sjs79,107342,6/27/1958,Sarah J Steinwachs,Professor,1981,Drexel University,biweekly,False,True,Included
jlg44,85386,7/12/1983,Jody L Graff,Professor,2006,Drexel University,semi-monthly,True,False,Opt Out
dmh11,98751,8/12/1987,Donald M Haring,Professor,2009,Drexel University,biweekly,False,True,Included
jgm49,96516,12/7/1952,Jenna G McBride,Professor,1987,Drexel University,semi-monthly,False,False,Included
db404,108275,8/24/1972,Darielle Brown-Davis,Professor,2012,Drexel University,semi-monthly,False,True,Included
cc313,90562,8/24/1954,Chester Cunanan,Professor,1991,Drexel University,biweekly,True,False,Included
ab599,97248,6/14/1970,Antonia Brown,Professor,1995,Drexel University,semi-monthly,True,False,Opt Out
cej73,86551,2/14/1961,Chelsea E Jones,Professor,1990,Drexel University,semi-monthly,True,False,Included
twf97,111918,7/24/1954,Troy W Finamore,Professor,1987,Drexel University,semi-monthly,False,False,Opt Out
pjs44,101388,10/18/1966,Philip J Sinatra,Professor,2003,Drexel University,biweekly,True,True,Opt Out
pp308,96299,2/10/1991,Paul Phan,Professor,2013,Drexel University,biweekly,False,True,Included
jwt26,91600,9/22/1978,Jervis W Thompson,Professor,2009,Drexel University,semi-monthly,False,True,Opt Out
cks308,103732,8/13/1969,Caroline K Scheinfeld,Professor,2002,Drexel University,semi-monthly,False,True,Opt Out
rg669,111108,2/8/1956,Remi Gurak,Professor,1977,Drexel University,biweekly,True,False,Included
sfw86,103320,12/14/1980,Sheri F Watson,Professor,2012,Drexel University,biweekly,False,False,Opt Out
dbn86,102010,1/4/1969,Daniel B Newman,Professor,1993,Drexel University,semi-monthly,True,False,Included
sg152,87236,8/26/1988,Sara Girotto,Professor,2010,Drexel University,semi-monthly,False,True,Included
mmm72,94883,3/11/1993,Megan M Mastrobattista,Professor,2017,Drexel University,semi-monthly,False,False,Included
rpc25,97658,8/25/1950,Rena P Cumby,Professor,1984,Drexel University,semi-monthly,False,True,Included
scr29,112583,2/23/1979,Stephen C Rafferty,Professor,1999,Drexel University,biweekly,True,False,Included
ljp455,85932,4/25/1982,Lisa J Patusky,Professor,2004,Drexel University,biweekly,False,False,Included
amh87,109901,10/7/1952,Annette M Hladio,Professor,1974,Drexel University,biweekly,False,False,Included
amt53,108890,11/6/1980,Ada M Tremonte,Professor,2016,Drexel University,biweekly,False,True,Opt Out
arp23,105075,8/9/1992,Anne R Portner,Professor,2017,Drexel University,semi-monthly,False,False,Opt Out
js388,104860,1/14/1966,Jihyun Song,Professor,1998,Drexel University,biweekly,True,True,Opt Out
kbp61,88245,6/10/1954,Karen B Pelzer,Professor,1994,Drexel University,biweekly,True,False,Opt Out
fkr19,82016,1/17/1952,Francis K Rapisarda,Professor,1989,Drexel University,biweekly,False,False,Included
fpt25,111180,1/11/1981,Frances P Temple-West,Professor,2002,Drexel University,semi-monthly,True,False,Opt Out
skl153,92367,4/24/1969,Sarah K Lippmann,Professor,2000,Drexel University,biweekly,False,False,Opt Out
js424,89264,4/25/1967,Jeanne Scandura,Professor,1990,Drexel University,biweekly,True,False,Included
snh21,96789,11/13/1987,Sequoyah N Hunter-Cuyjet,Professor,2007,Drexel University,biweekly,False,False,Included
fjb69,111671,6/7/1980,Floss J Barber,Professor,2012,Drexel University,semi-monthly,False,True,Opt Out
wjm193,96283,7/7/1961,William J Mangold,Professor,1984,Drexel University,semi-monthly,True,False,Included
hgm98,92347,2/27/1992,Heather G McLaughlin,Professor,2012,Drexel University,semi-monthly,True,True,Included
sac723,91842,5/25/1987,Scott A Cooper,Professor,2012,Drexel University,biweekly,False,True,Included
dag54,94150,10/7/1959,Derek A Gillman,Professor,1989,Drexel University,biweekly,False,True,Opt Out
pgm83,89310,4/16/1985,Polly G McKenna-Cress,Professor,2008,Drexel University,semi-monthly,False,False,Opt Out
dms57,93361,3/26/1966,Daniel M Spratlan,Professor,2003,Drexel University,semi-monthly,True,True,Included
sdb95,88169,9/20/1988,Scott D Bacon,Professor,2013,Drexel University,semi-monthly,False,True,Included
pjb272,112508,9/28/1956,Patrick J Bailey,Professor,1977,Drexel University,biweekly,False,True,Included
bw352,82564,7/27/1971,Brent White,Professor,1991,Drexel University,semi-monthly,False,True,Opt Out
rme101,94553,6/18/1976,Rosalind M Erwin,Professor,1997,Drexel University,semi-monthly,False,True,Opt Out
eaf99,107712,5/13/1983,Eve A Friedman,Professor,2010,Drexel University,semi-monthly,False,True,Opt Out
mcr44,103833,10/27/1994,Madeleine C Riley,Professor,2014,Drexel University,semi-monthly,False,True,Opt Out
meb79,105176,11/10/1980,Mark E Beecher,Professor,2018,Drexel University,semi-monthly,True,False,Opt Out
bk777,106328,12/15/1995,Bruce Kaminsky,Professor,2016,Drexel University,semi-monthly,False,True,Opt Out
djp14,111687,6/22/1987,Domenic J Pisano,Professor,2008,Drexel University,semi-monthly,True,False,Included
gjw68,82702,12/27/1981,Gregory J Wright,Professor,2002,Drexel University,biweekly,True,True,Opt Out
kmb74,92541,4/23/1974,Karen M Banos,Professor,2003,Drexel University,biweekly,True,True,Opt Out
dhf19,112006,9/21/1994,Dennis H Fortune,Professor,2020,Drexel University,biweekly,True,True,Included
laa76,90268,9/5/1973,Luke A Abruzzo,Professor,2000,Drexel University,biweekly,False,False,Included
bmd23,108670,8/26/1968,Brian M Dilts,Professor,1995,Drexel University,semi-monthly,True,True,Opt Out
wlc93,97689,7/2/1971,Wanda L Canfield,Professor,2011,Drexel University,semi-monthly,True,False,Opt Out
rls21,86875,4/8/1991,Rebecca L Siler,Professor,2013,Drexel University,biweekly,True,True,Included
ka748,104823,10/23/1995,Katy Avery,Professor,2022,Drexel University,biweekly,True,False,Included
cbf976,96278,4/11/1974,Christopher B Farrell,Professor,1997,Drexel University,semi-monthly,True,False,Included
jes84,91929,8/7/1978,Jonathan E Shaw,Professor,2008,Drexel University,biweekly,True,False,Opt Out
mcg63,102034,11/13/1985,Matthew C Gould,Professor,2007,Drexel University,biweekly,True,True,Included
hg561,104627,10/4/1973,Harley Givler,Professor,2003,Drexel University,semi-monthly,True,True,Included
svl993,91129,12/3/1960,Susan V Lerner,Professor,1980,Drexel University,biweekly,False,False,Included
sgb17,101594,9/19/1980,Sean G Bailey,Professor,2020,Drexel University,semi-monthly,True,True,Opt Out
jra25,87512,6/22/1972,Jeffrey R Apruzzese,Professor,2000,Drexel University,biweekly,False,True,Included
jss16,95617,9/17/1964,Joseph S Steinhardt,Professor,2001,Drexel University,biweekly,True,True,Opt Out
tts94,84005,8/1/1981,Toby T Seay,Professor,2007,Drexel University,semi-monthly,True,False,Included
bfb54,100508,10/17/1950,Brian F Bricklin,Professor,1973,Drexel University,semi-monthly,True,True,Opt Out
clt30,84741,12/11/1976,Cyrille L Taillandier,Professor,2009,Drexel University,semi-monthly,False,True,Opt Out
tmd41,100784,11/20/1961,Tony M Dofat,Professor,1995,Drexel University,biweekly,False,False,Included
rjs58,92181,2/8/1969,Ryan J Schwabe,Professor,1993,Drexel University,semi-monthly,True,True,Opt Out
ib511,97062,8/4/1951,Ivan Barias,Professor,1985,Drexel University,semi-monthly,False,True,Opt Out
kab36,107215,3/13/1977,Kaisha A Blackstone,Professor,2009,Drexel University,semi-monthly,False,True,Opt Out
maj73,111496,12/11/1956,Monika A Julien,Professor,1980,Drexel University,biweekly,True,False,Opt Out
mw794,94589,9/13/1965,Marie Wade,Professor,1988,Drexel University,semi-monthly,False,True,Included
